source,public_time,content,topic,url
百家号,2021-01-02,今夜，是一个月圆之夜。一个与世隔绝的村庄中，一直与小女孩相依为命的祖母突然消失不见。“我看到一个老太太往黑森林去了。”小女孩得到一些人的提示。为了寻找奶奶，她不得不披上了红色披风，一个人往黑暗的、充满谜团的黑森林走去……《月圆之夜》这款游戏的故事来源于小红帽童话，是由国内的“Dida”工作室制作的游戏。玩家在游戏中将扮演故事中的“小红帽”，踏上寻找失踪祖母的冒险旅程。如果你看腻了给小孩子看的童话，厌倦了无聊的大团圆结局，希望看到一个黑暗气息的童话，那这款游戏一定能满足你的期待。游戏中不只会有原本故事中的小红帽、狼。祖母等人物，还会出现青梅竹马的原创人物小木匠，各种黑森林中植物、动物变异的“鬼怪”，甚至会有狼人、女巫等更具幻想元素的人物出现。每个人物都有自己的故事并且有中英文两套语音台词。所以带着你的好奇心不断前进吧，也许你会在终点找到属于你的“真相”。游戏的玩法是“卡牌构建”，就是使用卡牌与敌人对战，在你升级、打开宝箱、进入商店后都有可能获得新的卡牌。你会在不同卡牌的取舍中不断前进，最终构建出一套属于你自己的“最强卡组”与BOSS进行对战。BOSS的卡组也会十分强力，如果在之前只是毫无章法的选择卡牌，或者对战时随意出牌，你真的有可能被BOSS打倒。游戏中除了卡牌之外还会有“天赋”系统，“装备”系统，不同的天赋，装备和卡组会组合出完全不同的效果。在你进入游戏前，《月圆之夜》还会为你提供“骑士”、“游侠”、“修女”等多种不同的职业进行选择，每种职业都会有自己专属的卡牌和天赋。这些元素组合到一起，绝对能让你每次的游戏都有完全不同的体验。当然，这次没有通关没有关系，如同我之前推荐的《以撒的结合》一样，《月圆之夜》是一款可以不断重复游玩的游戏。而且就算你一次通关也不要太骄傲，游戏在普通的故事模式之上还提供了“噩梦”难度，从噩梦一到噩梦七，难度逐级递增。因此轻度玩家和硬核玩家在游玩过程中都能得到不错的体验。小编个人看来，《月圆之夜》这款游戏最值得称道的还是其故事与游戏性的结合。你打倒的敌人不一定是传统意义上的坏人，甚至有的人是为了保护你才拦在村庄通往黑森林的路上。即使你历经千辛万苦，打败了一个又一个关底BOSS，最后打败最终BOSS，看到了故事的“结局”，也并不代表游戏的终点，因为这一次你看到的，也许并不是故事的全部“真相”……最重要的是，在应用商店中，这款游戏免费下载！免费版本的游戏也会提供四个职业供你游玩，如果觉得好玩再入手剩下的五个职业（也很便宜）。元旦假期快要过完了，小编在这里向你推荐这款独特的游戏，希望它能陪伴你度过余下的元旦时光。（关注我看更多游戏、主播、电竞相关文章，每天更新哦~）,元旦宅家游戏推荐02-月圆之夜,https://baijiahao.baidu.com/s?id=1687772033934277063&wfr=spider&for=pc
百家号,2021-01-02,1月1日上午在长官杂技小镇国家级非遗代表性项目肘阁抬阁拉开了庆元旦文艺演出的序幕此次演出以“非遗过大年、迈进新生活”为主题由县文化旅游体育局主办县文化馆、长官镇文化站承办旨在弘扬优秀传统文化加强非遗项目保护丰富群众文化生活激励各界在新的一年创造新业绩助力乡村振兴在文艺演出中，广场舞《山美水美中国美》、腰鼓舞《信天游咏唱中国梦》展现了我县女性热爱祖国、追求健康、追求时尚的精神风貌；戏歌《沁园春·雪》让观众感受到传统戏曲和现代歌曲结合的魅力；十名杂技小学员在舞台上展示出自己过硬的杂技基本功。随后，大鼓书、唢呐演奏、口技、笛子独奏等节目先后上演，受到当地群众和游客的欢迎。同日下午“全面奔小康焕彩新临泉”新年喜乐会文艺演出在长官杂技小镇小剧场内举办演出中，歌伴舞《我们都是追梦人》、口技《鸟语花香赞临泉》、舞蹈《回家》、杂技《犇腾》、《绸吊》、合唱《我的祖国》等节目精彩纷呈，现场气氛热烈。此次活动由县委宣传部、文化旅游体育局主办群众在活动中感受到节日的欢乐和我县各项事业发展成果激发了自身昂扬向上投身家乡发展的积极性,"元旦当天,长官杂技小镇乐翻天!",https://baijiahao.baidu.com/s?id=1687771928106209457&wfr=spider&for=pc
百家号,2021-01-02,元旦坚守平安相伴为确保元旦节日期间城市管理安全有序，城市管理人坚守岗位，确保市民尽享节日的喜庆与欢乐。现场调度高井规划一路建设工作为加快推进重点工程建设，1月2日下午，区城市管理委组织现场调度会，协调市排水集团、区市政所、麻峪农工商等市、区单位配合开展交地进场事宜，解决了麻峪雨水泵站施工车辆临时停放问题，明确了影响匝道桩基施工的围墙腾退、交地时间。在施工驻地召开工程推进会，重点对高井规划一路征拆进展、存在困难及下一步计划安排等情况进行了调度。要求：做好高井规划一路、北辛安路南段、锅炉厂南路的倒排工期计划，按节点推进施工进度。继续加强统筹协调，明确工作事项的责任人、完成时限，每周对工程进行调度。区交通委积极开展元旦假期交通领域疫情防控检查工作区交通委严格落实“干部在岗，群众过节”的工作要求积极开展全区交通领域疫情防控检查工作1月1日下午，区交通委先后对苹果园663路公交场站、6号线杨庄地铁站、实兴大街道路停车电子收费路段等点位进行了检查，针对公共空间消杀、人员体温测量、健康宝记录等情况进行了逐项检查，未发现疫情防控漏洞。1月2日，区交通委对所管石景山区个体出租车管理站开展疫情防控和安全生产检查，要求：01强化疫情防控宣传教育利用短信平台和微信群等方式发布防疫知识和提醒，全面加强驾驶员自我防护和车辆消毒教育，将防控意识深植驾驶员心中。02落实好各项防控措施加强内外部防控，落实对本单位工作人员和前来办事的驾驶员进行体温检测和扫码登记。督促驾驶员在运营中落实口罩佩戴和车辆消毒通风等措施，做好新上岗的驾驶员核酸检测工作，切实将防控举措精准落实到位。03落实冬季安全生产工作开展车辆安全隐患排查，要对车内消防设备配备情况重点检查，提高驾驶员运营服务和安全意识，为乘客提供优质服务，坚决杜绝拒载、绕路、多收费等违章行为发生。全力营造安全、有序的营运环境，确保我区个体出租车安全无事故。与此同时，区交通委全力配合做好非机动车停放秩序保障工作，加大统筹调度，保障非机动车停放秩序。下一步，区交通委继续坚持巡检工作机制，积极对接公交、地铁等运营部门，压实“四方责任”，确保交通领域疫情防控措施落实到位。节日期间加大资源化处置场所检查力度为做好节日期间资源化处置场所的管理工作，确保我区建筑垃圾规范消纳，1月1日，区城市管理委对首钢建筑垃圾资源化处置场所、衙门口临时资源化处置设施，节日期间落实安全生产、防疫、环保措施等情况进行了专项检查。要求资源化处置场所对裸露地面、暂存渣土、再生骨料加强苫盖，落实环保防尘降尘措施，落实工作人员日常测温及进出人员、车辆登记、测温和健康宝查验等防疫要求。加大公厕防疫消杀检查力度结合我区实际，“元旦”节日期间，区城市管理委对全区200余座公厕的消毒消杀情况进行检查督导，指导公厕保洁员规范防疫消杀工作，坚持公厕每日消毒不少于6次，确保如厕市民的防疫安全。自疫情防控以来，区城市管理委共出动检查人员739人次，出动检查车辆267台次，共检查我区公共厕所2512座次，发现问题49个，指导培训保洁人员规范作业3486人次，目前问题已全部整改完毕。全力做好节日供热服务保障区城市管理委牵头供热单位全力做好节日供热服务保障。石景山分公司组织公司全体人员，对锅炉房、热力站、重要保障单位的供热运行情况进行排查、检查。严格按照供热运行曲线调整锅炉参数，对室外温度进行24小时监测，随时根据室外气温变化，稳步调整锅炉和管网供回水温度，同时加大对各个小区室外管网平衡调节力度，对重点保障点位入户检测室内温度，确保整个区片热量均衡，确保生产运行平稳，设备运行正常。对八角卫生服务站、老山社区服务中心保健科、鲁谷街道社区卫生服务中心保健科、石景山妇幼保健院保健科、石景山医院预防保健科等单位走访测温，室温均舒适达标。全力保障节日期间安全供水石景山自来水公司成立疫情防控领导小组，严格落实安全生产责任制，加强水厂院内安保措施。落实应急抢修机制，严格执行公司应急预案，做好抢修人员、设备和车辆准备，节日期间24小时待命。石景山监测站每日进行常规9项检测，同时做好应对突发事件的快速水质检测准备，保障水质安全，确保供水服务热线电话24小时通讯畅通。加强石景山水厂在施工地疫情防控施工现场封闭管理，实名制登记，要求所有进入施工现场的人员严格验码、测温、登记。对从业人员每日进行体温监测，及时掌握人员健康状况。加强对施工现场的厨师、配菜、采购、服务、保洁、保安等重点人群的个人健康监测，严格规范食品、食材、尤其是冷链食品采购渠道。加强室内场所通风消毒，做好防疫物资常态化储备，健全完善施工现场突发疫情应急预案，实施疫情防控日报告、零报告制度。责任在肩使命在心城市管理不停休……end扫描二维码获取更多精彩石景山城市管理,元旦坚守 平安相伴,https://baijiahao.baidu.com/s?id=1687771564874643787&wfr=spider&for=pc
百家号,2021-01-02,2021元旦假期来临少不了庆祝、聚会活动在享受和家人、朋友的愉快时光的同时也要不忘消防安全对于人流物流比较集中容易藏有火灾隐患的场所一定要提高消防意识欢度节日，安全勿忘！-End-【来源：哈尔滨消防】声明：转载此文是出于传递更多信息之目的。若有来源标注错误或侵犯了您的合法权益，请作者持权属证明与本网联系，我们将及时更正、删除，谢谢。邮箱地址：newmedia@xxcb.cn,"元旦进行时,安全记心间",https://baijiahao.baidu.com/s?id=1687771325841450122&wfr=spider&for=pc
百家号,2021-01-02,2021年新年元旦，在众多庆贺新年的祝福中，可以看到不少人硬生生地扯上“牛年”。元旦与“牛年”，还真是风马牛不相及。元旦属公历，“牛年”属农历，属于两套不同的历法系统，扯不到一起的。现在，我们国家公历与农历两套历法并存并用，带给人们很多的困惑。公历，也叫阳历，是以太阳运转规律来纪年的历法，本质上属于西方历法系统。元旦是公历历法系统中的新年开始。农历，也叫阴历，是以月亮的运转规律来纪年的历法，这是中国土生土长的传统历法。公历是中国的推行，是西方文化进入中国的结果。在辛亥革命之后，民国的建立，公历正式成为中国的法定历法。如果从热爱传统文化的角度看，我们应该大力弘扬农历，但是，事实上，从社会生活中应用的广泛性来看，公历显然要胜过农历。平常，我们关注几月几日，一般想到的就是公历，要说农历的几月初几，那可能还是拿出手机来查看一下，才会知道。由于农历是本土历法，几千年来与中国的传统文化融为一体，中国的传统节日，就一定要依据农历。春节，作为农历新年的开始，其地位至今还是要远远高于公历的元旦。在很多人们的心目中，元旦似乎可有可无，而春节是一定要隆重热闹地度过。真正的过年，是春节，而不是元旦。庆祝元旦，发个朋友圈就可以。过春节，一定要合家团圆，要大操大办。因为中西文化的交融，中国现在是公历农历两套历法并存。我们有两套历法，比西方国家还多一套，这可能会让一些人感到很自豪。事实上，两套历法并存，也会给人们带来很多麻烦，让人感到很困惑。比如，学校的寒暑假放假时间，就是按这两套历来定义的。众所周知，学校是每年的9月1日新学期开学，这是按公历来定的时间。而放寒假，则是在春节前十来天，放完寒假开学的时间，差不多是正月十六的样子，这是按农历来定的。暑假按公历定，寒假按农历定。而农历的闰年是闰一个月。这样一来，搞得学校的上下两个学期，就有长有短，给学校的教学进度带来许多的麻烦。如果取消农历，只设一套历法，那麻烦就没有了。只是，取消农历，是不是意味着春节也要取消了？这，显然是人们在情感上无法接受的事。中国现在公历与农历两套历法并存，是中西文化交流交融的结果。两套历法并存的麻烦，从某种意义上看，就是中西文化碰撞而出现的矛盾。这种矛盾，将长期存在。,元旦庆贺新年为什么要扯“牛年”,https://baijiahao.baidu.com/s?id=1687770933699673771&wfr=spider&for=pc
百家号,2021-01-02,2021元旦HappyNewYear为了维护好元旦假期社会平安稳定，区公安分局精心组织，周密部署，牢牢把握统筹抓好常态化疫情防控条件下节日安保维稳形势特点，抓紧抓好防风险、保安全、护稳定各项措施落实，坚决维护节日期间辖区政治安全和社会大局持续稳定。全区公安机关广大民警、辅警顶寒风冒严寒，日夜坚守节日安保执勤岗位，为群众欢度元旦佳节创造良好的社会治安环境。12月31日下午，市公安局党委委员、政治部主任李海峰，在经文保支队副支队长隋健陪同下，到济阳区就国际航班境外入济人员集中隔离留观接待准备工作实地检查。区委常委、常务副区长高继峰，副区长、区公安分局局长纪东明，副区长牟晓丽，区公安分局副局长罗斌陪同检查。李海峰同志在我区两个隔离留观点实地检查调度了我区机场接机、人员入住、服务保障、安保维稳、应急处置等情况，对济阳区前期准备工作给予充分肯定。为切实做好国际航班入济人员隔离留观安保维稳工作，区公安分局按照上级统一部署，成立了由副区长、区公安分局局长纪东明为组长，政委吴玉泉和其他党委成员任副组长，各警种、派出所主要负责人为成员的安保领导小组，制订了详细的安保和应急处置方案，组织50余名警力强化转运安保、留观点保卫、社会面管控、突发事件处置等工作措施，并加强实战演练，全力确保国际航班境外人员入济隔离留观工作安全顺利。1月1日10时，纪东明同志，吴玉泉同志及相关警种部门值守人员，在分局一体化联勤指挥部集体收听收看公安部、省厅元旦安保视频调度会。视频调度会后，纪东明同志在指挥中心主任赵德春的陪同下到济北派出所督导检查元旦安保工作。纪东明同志详细了解了派出所值班备勤、案件办理和疫情防控等方面的工作情况，并向全体民警、辅警送上节日祝福。派出所负责人张立波详细汇报了2020年的工作成果以及2021年将继续在打击防范、基层基础及执法规范化等方面创新业绩的工作打算。纪东明同志对济北派出所2020年取得的工作成绩给予充分肯定。中午，纪东明同志一行在派出所餐厅同值班民警共进午餐，并勉励第一天到所报到就值班的新警房泽乾要踏下身子，苦学本领，尽快成长。随后，纪东明同志一行分别到两个隔离留观点督导检查入境人员隔离留观工作。与现场带队执勤副局长朱洪亮、朱磊交流了留观点工作开展情况，实地查看各项防疫措施落实情况，并对统筹做好疫情防控和元旦安保工作提出了具体要求。1月1日上午，区公安分局副局长罗斌、朱洪亮、朱磊带领治安、交警、济北所、回河所及相关警种警力100余人，在济南国际机场圆满完成了国际航班境外入济人员接机任务，并顺利安排入境人员入住集中隔离留观点。1月2日10时，副书记徐家武及相关警种部门值守人员，在分局一体化联勤指挥部集体收听收看公安部、省厅元旦安保视频调度会。12月31日下午，市局寄递物流支队到分局检查指导元旦期间寄递物流业安全管理工作。1月1日，太平派出所接到太平街道小寺城村韩某报警称，其放在家中床褥下的1000多元现金被盗。民警迅速赶往现场，韩某是一名孤寡老人，也是一名贫困户，现在已经80岁高龄，并且家中物品摆放杂乱无章，根据以往经验民警推测其忘记把钱放在何处的可能性较大，民警在其屋内仔细寻找，功夫不负有心人，通过整屋寻找终于在一个不起眼的帽子下边找到了这笔钱，韩某对民警的帮助表示由衷的感谢。全面加强道路交通疏导管控，积极应对节日人流、车流高峰，克服冰冻天气集中多发等不利因素影响，全力提高应急处置能力，全力做好防事故、保安全、保畅通工作，坚决防止发生长时间、长距离交通拥堵和群死群伤交通事故。强化巡防打击、平安守护，维护社会大局稳定。全面启动社会面高等级巡防勤务，最大限度将警力、警车摆上街面，加强对“三区三圈”等人员密集场所和重点路段时段的治安巡逻，切实提升两节期间群众的安全感、获得感、幸福感。审核：赵德春责编：德杰【来源：济阳公安】声明：转载此文是出于传递更多信息之目的。若有来源标注错误或侵犯了您的合法权益，请作者持权属证明与本网联系，我们将及时更正、删除，谢谢。邮箱地址：newmedia@xxcb.cn,"「平安济阳」2021年元旦,我们这样过!",https://baijiahao.baidu.com/s?id=1687770742072636296&wfr=spider&for=pc
百家号,2021-01-02,"旅行途中用相机刻录时光、行摄乡土、看古村镇，平凡的生活风景无需华丽只需熟悉。黄杨军与你共享生活中平凡又熟悉的景色。时间匆匆转眼一年又不知觉的从我们的生活中走过了，过去一年很不平凡发生的很多事情都能够让我们记忆深刻，不管过去发生的是喜还是忧都已经成为过去，我们仍需过好当下期待未来的美好。旧的一年与新的一年交替之时是令人激动满怀期待的，元旦小长假更是新的一年中人们度过的第一个假期。元旦，即公历的1月1日，是世界多数国家通称的“新年”。元，谓“始”，凡数之始称为“元”；旦，谓“日”；“元旦”意即“初始之日”。“元旦”一词在我国文学作品中最早出现于《晋书》。中国历史上的“元旦”指的是“正月一日”，“正月”的计算方法，在汉武帝时期以前是很不统一的，历代的元旦日期并不一致。辛亥革命后，为了“行夏正，所以顺农时，从西历，所以便统计”，民国元年决定使用公历（实际使用是1912年），并规定阳历1月1日为“新年”，但并不叫“元旦”。1949年中华人民共和国以公历1月1日为元旦，因此“元旦”在中国也被称为“阳历年”、“新历年”或“公历年”。2021年元旦，1月1日至3日放假，共3天。江南宋城历史文化旅游区在今年无疑是赣州最热门的一个旅游打卡地之一了，随着方方面面的不断完善这里已成为文化与旅游完美展现的地方。江南宋城历文化旅游区以宋文化为核心,是集古城观光、文化体验、文娱休闲、旅居度假于一体的历史文化景区。“一座赣州城,整部宋代史。”赣州在宋代是36大城市之一,素有“江南宋城”和“宋城博物馆”之美誉。景区以宋城、四贤、阳明、客家四大文化脉络,体现古城赣州仁义礼智人文品格;以赣州市井风情、多样丰富业态,呈现赣南民俗与人文景观,实现穿越千年、铺铺有花、步步有景、一店一景、人景一体的体验,将赣州独具风韵的景观和文化展现给每一位前来的游客。南方的冬天有暖暖的阳光对于每一个人而言无疑是很幸福的，在假期中在暖阳下行走于充满市井味道的江南宋城里足以让每一个人都感受到当下的美好。冬日暖阳下的江南宋城，元旦小长假人从众，赣州旅游热门打卡地。拍植物、拍农村、拍老屋、拍古建筑古村镇这些我们身边亲切的存在，生活中的风景无需华丽只需熟悉。欢迎关注、收藏、转发、留下你的只言片语。","冬日暖阳下的江南宋城,元旦小长假人从众,赣州旅游热门打卡地",https://baijiahao.baidu.com/s?id=1687770317323727175&wfr=spider&for=pc
百家号,2021-01-02,李佳芯虽然贵为TVB视后，外貌又相当能打，但选择男友的眼光却不敢恭维，与ViuTV艺人陈炳铨拍拖6年一直不被外界看好，甚至无线高层都曾不断施加压力，希望她和陈炳铨一刀两断。毕竟以商业角度来看，TVB和ViuTV处于竞争关系，旗下艺人感情太好的话，可能会损害到电视台的利益，而且陈炳铨的样貌又十分狂野，和李佳芯在一起，堪称“美女和野兽”，怎么看都不相配。可惜李佳芯被陈炳铨的才华所吸引，对外在不甚在意，所以两人的感情一向不错。不过自从李佳芯因立场争议而被TVB投闲散置后，她与陈炳铨的关系就出现了些许裂痕。俗话说得好，贫穷夫妻百事哀，当工作量骤减的李佳芯收入大打折扣时，陈炳铨也被爆出事业出现危机，原本靠着李佳芯的视后光环，陈炳铨在ViuTV还算如鱼得水，不仅能客串拍下剧还获看重监制综艺节目，可是《全民造星》热度上升后，监制花姐的权力极具膨胀，此消彼长，陈炳铨自然受到打压，更因此面临失业困境。突然间两人同时陷入低潮，李佳芯的心态肯定有所波动。于是早前记者跟拍他们外出时，就发现这对小情侣愁眉苦脸，没有以往的甜蜜惬意。然而没过多久，李佳芯就被TVB重新启用，除了接拍《智能爱人》外，还拿下了美容院的广告，生活压力瞬间减轻了不少！所以两人的关系也没出现大变化！原以为度过难关后，他们或许能开花结果。谁知跨入2021年的元旦，却有港媒报道两人恋情生变，已经分手4个月，李佳芯更搬离和男方同居的西贡独立屋，在市区另觅新住处。期间受到情伤困扰的李佳芯，还在账户内感性发文，“贰零贰零，再不完美都走过了，继续安静地把自己找回来，拿出勇气，继续相信好好去爱，不需完美，但求活得无怨无悔，继续走下去。”种种迹象都表明李佳芯这次是真的斩断情丝，想要开启新生活！不过事后当记者求证时，李佳芯却表示自己是因拍剧需要而暂时搬出爱巢，目前居住在服务式住宅内是方便自己多点时间休息。虽然这番解释间接否认了分手传闻，但也不是没有疑点，毕竟李佳芯从影经历也有8年之久，期间拍摄的电视剧不下二十部，为何以前都不用迁就工作而寻觅住所，单单这一次就出现例外呢？想来一段关系维持太久，肯定会有不和与摩擦，李佳芯此举未尝没有让自己平静一段时间，给彼此一定空间来沉淀的意思！其实翻查历史，拿过视后奖杯的女星中也不乏分手的例子！最轰动一时的就是胡杏儿黄宗泽这对昔日的金童玉女，明明颁奖礼上胡杏儿还甜蜜宣告，要和黄宗泽走到最后，但时隔半年之久，两人就成了最熟悉的陌生人。好在如今的胡杏儿已经组建家庭，更完成了生三个孩子的愿望，也算得到了幸福！此外2015年一直活在五花阴影下的胡定欣终于等到高层变动，被曾励珍收入麾下的她虽在《鬼同你OT》中的表现不如田蕊妮，但仍旧强势的拿下最佳女主角。此后备受重用的胡定欣便开启了拼命三娘的模式，由于事业心太强，原本和音乐人陈明道屡传婚讯的她最终选择分手。之后在TVB刻意安排下，她和陈展鹏组成了荧幕情侣档，按理说这种合约情人成功几率不大，但当时处于空窗期的胡定欣却假戏真做，真的喜欢上了陈展鹏，只是男方一直保持着理智，对她并没有感觉，所以胡定欣注定苦恋无果，成为笑柄！接着有着“绝世好女友”之称的唐诗咏也步入胡定欣后尘。彼时和洪永城已恋爱2年的她虽被传出分手的新闻，但却一直没有承认，直到《不懂撒娇的女人》播完，她才正式表态和洪永城分道扬镳，但临近颁奖礼期间，她又不断和洪永城见面，似乎想要复合，只是当夺得视后宝座，她还是选择了前程，放弃了爱情！现今不知李佳芯能否打破视后魔咒，与另一半甜蜜生活在一起！,"TVB视后元旦发文意有所指,疑与拍拖6年的男友分手,当事人却否认",https://baijiahao.baidu.com/s?id=1687768752462582221&wfr=spider&for=pc
百家号,2021-01-02,文/晓梅妈妈聊育儿“新年新气象”随着阳历新年元旦的结束。经过短暂的休息后，很多幼儿园的老师再次上岗。为农历新年做最后的贡献。伴随着元旦的结束，老师与家长的“战斗”仍在继续。这不，元旦刚过，某幼儿园老师的一条朋友圈就让家长“炸锅”，这其中园长最委屈，直呼自己“很无辜”！元旦刚过，老师发圈：“以后我会对大宇更好”王姐家的孩子4岁了，上幼儿园半年了。本来上半年应该送去的，但因为疫情原因，孩子只去了幼儿园几个月。这不圣诞节孩子们送了老师“礼物”，元旦时，王姐就没心思再给孩子买点啥。但无奈的是，元旦刚过去，老师就在朋友圈里发了这样一条信息。连同王姐在内的几个家长“炸锅”了。老师在朋友圈中这样发到：“感谢大宇妈妈发来的大红包，也祝你新年快乐，以后我会对大宇更好”。这正是这句“以后我会对大宇更好”，让王姐和几个家长“炸锅”，大家都是一个班级的，说这样的话，肯定会引发家长意见啊！但这名老师却丝毫不介意，在这条朋友圈后，老师又接连晒了几个孩子家长的红包。这更加让王姐和其他没发红包的家长气愤了！于是几名家长商量后，直接去到了园长家，质问园长该如何杜绝收礼现象，但园长表示自己很无辜，更加表示这不是自己的锅，自己不背。园长的原话是这样说的：“家长与老师之间的事情，管理确实不到位。但这种情况一个巴掌拍不响，我辞退了这个员工，下一个员工，下一个家长也会这样的。你说我该如何办呢？”园长的话虽然很中肯，但在家长们的眼中，这就是逃避的一种方式。而那名老师也没有“师德”。从现实生活中看，无论是幼儿园老师，还是中小学甚至高中老师，都是存在这样的现象的。而且属于制止无用的状态。“送礼”好像成为了一种普遍现象，但这让很多耿直的家长无法承受。面对老师乱收礼的现象的，有关部门也是有所规定的。因此，家长可以收集证据到有关部门去检举。但要注意一个良心问题，不要误解老师行为，不要胡乱检举。那么关于老师乱收礼，发表不当言论，作为家长的该如何处理呢？面对老师的朋友圈，家长应如何处理呢面对老师的朋友圈，家长应该如何处理呢？随着社交的便利，很多学校都会组织家长群，有什么通知也都会在家长群里通知。但需要单独沟通的时候，很多人都会主动或被动的加老师好友。这就造成了，很多家长会看到老师的朋友圈，对于家长来说，有这3种做法可以选择。第一种：直接屏蔽老师朋友圈。当老师加你或你加老师的时候，就直接点选“屏蔽”。这样漫不经心不烦。老师也不会主动来问你，说看没看见自己的第一条动态吧！第二种：不加老师。当老师加你或需要你主动加老师时。你可以选择不加老师，但这种方式很被动。很容易造成老师与家长的矛盾，建议谨慎使用。同时，对于现在的家长来说，很少有不使用智能手机的。第三种：在老师动态下只评论，不表示。当你看见老师的动态时，你只需要评论告诉她你知道了，不对老师进行表示即可。但评论的内容要中立，不要夸赞或叫好。这对你来说非常不利。例如这个老师的“以后我会对大宇更好的”，你可以在下面评论：“老师的爱情真顺利，未来的婆婆很有爱”当她强调是学生的时候，你就可以说：“是吗？您教的学生真乖巧，我家孩子在您的教导下，一定会更乖巧听话的。有您教，我就放心了”。或者直接说：“你真是教导有方啊！咱班的孩子以后跟着您学习我们做家长太放心了。”很多时候，看到老师的动态可以置之不理就不要理，以免老师的回复让你生气。面对老师“要礼”和“乱收礼”现象，只要家长们同结一心，保持一致就不会给好老师要礼物的机会。同时也建议选择一所公办的幼儿园，避免这种收礼现象。家长也要注意监督彼此，不要让别的家长上赶着送礼。老师教育学生是拿了工资的，无论老师的权力有多大，她的首要责任都是教书育人，而不是收礼看学生教导。家长不要误会老师这个职业！今日话题：你对老师“收礼”行为怎么看。欢迎留言你的点赞是我的源动力。若是喜欢我的文章记得分享收藏，关注我哦！（本文全部图片来源于网络，如有侵权，请联系删除）,"元旦刚过,老师发的朋友圈就让家长“炸锅”,这是咋回事呢?",https://baijiahao.baidu.com/s?id=1687749843010492726&wfr=spider&for=pc
百家号,2021-01-02,2021年的日历已经翻开新年已经到来元旦假期也在进行中许多人选择趁着好天气出门游玩可是，你知道吗？保障你出行一路畅通无阻的背后是他们在无私奉献、默默付出安徽公安交警元旦假期里全省公安交警坚守岗位全力维护安全、有序的交通秩序他们就在我们身边在每一个繁忙的路口你都能看到他们繁忙的身影合肥元旦我在岗淮北元旦我在岗亳州元旦我在岗宿州元旦我在岗阜阳元旦我在岗淮南元旦我在岗滁州元旦我在岗六安元旦我在岗马鞍山元旦我在岗芜湖元旦我在岗宣城元旦我在岗铜陵元旦我在岗新的一年，安徽公安交警依旧在交通第一线立足岗位、辛勤耕耘，不忘初心、继续前进，守护平凡每一天里的路畅人安。来源：安徽公安交警在线,"你的元旦出行,安徽公安交警来守护!",https://baijiahao.baidu.com/s?id=1687768003299682991&wfr=spider&for=pc
