source,public_time,content,topic,url
百家号,2021-01-02,"目前疫情初步得到控制2020年12月18日0时至2021年1月1日24时,北京市共报告本地新冠肺炎确诊病例25例。目前疫情初步得到控制,但我们必须继续保持清醒头脑。 战斗还...","北京局部疫情初步被控制,但战斗还未结束!发布会要点速览",https://baijiahao.baidu.com/s?id=1687765502943511884&wfr=spider&for=pc
网易新闻,2021-01-02,"结尾还是疫情 近日国内不少地方出现了本土病例 一再提醒着大家,口罩不能摘! 即将迎来的春节 你可能已经做好计划 如果你要去往外地 一定要多关注疫情消息 目的地有...",持续关注!国内多地出现本土病例!赶紧查看全国疫情最新消息!,http://dy.163.com/article/FVC79BJ80525BKP8.html
澎湃新闻,2021-01-02,"2020疫情之年,人们的生命安全受到威胁,生活形态被扭曲变形,对高质量信息的需求愈发迫切,也使得主流媒体的价值得以更加彰显。在这样一个特殊的年份,中国主流媒体呈现出...",CTR年终特稿:疫情重压下奋力撑起的中国主流媒体,http://www.thepaper.cn/newsDetail_forward_10637328
腾讯网,2021-01-02,"最近国内疫情持续反弹,这主要与境外输入和气温降低有关。目前疫情比较严重的省市有北京、大连、沈阳。 那近期疫情不断升级,还会出现全国封城封村的情况吗?20年春节全...","北京、大连、沈阳疫情持续反弹,过年期间还会出现封城、封村吗?",https://new.qq.com/omn/20210102/20210102A086WV00.html
澎湃新闻,2021-01-02,"陆冰是我的主人,我在他手机里已经住了好几年,以前,他只有在有优惠券的时候才想到我,疫情期间,他每天至少会打开我三次,为自己家、父母家屯口粮,让我太有存在...","疫情后,你最离不开的是啥?",http://www.thepaper.cn/newsDetail_forward_10634375
网易新闻,2021-01-02,"1传18是如何造成的?记者梳理了病例之间的相关性,尹某某自解除集中隔离回家后,先后多次出入诊所、医院等人口密集场所,这也直接导致了疫情传播。 ",沈阳疫情1传18是如何造成的?详解!,http://dy.163.com/article/FVBD3ED605149JCU.html
百家号,2021-01-02,"1月1日当天,日本天皇和皇后在皇宫虽依旧举行了接受皇族与三权之长等祝贺新年的“新年祝贺之仪”,但由于疫情防控,规模和人数不可与去年同日而语。在宫殿“松之间...","全球疫情依然肆虐,冷清中迎来2021年",https://baijiahao.baidu.com/s?id=1687741993340466141&wfr=spider&for=pc
腾讯网,2021-01-02,"为全面贯彻落实2020年12月31日上午市委常委会和全市疫情防控工作电视电话会议精神,切实加强市直卫生健康系统疫情防控工作,市卫生健康委于当日下午召开党组扩大会议,传达...",紧急预警!防控疫情!秦皇岛多个县区发布最新消息!事关每一个人……,http://new.qq.com/omn/ENT20190/20210102A0CN5200.html
百家号,2021-01-02,"最典型就是这次的疫情,我们看到,直到现在,都没有很好的解决办法,为此,疫情在全世界继续蔓延。而很多国家,疫情更是继续严重,最典型就是下面这个国家,堪称第二个...","第二个确诊超1000万国家诞生,全国死亡14万人,疫情全面爆发",https://baijiahao.baidu.com/s?id=1687784060783641717&wfr=spider&for=pc
福州新闻网,2021-01-02,"1月2日,北京市政府新闻办举行疫情防控第199场例行新闻发布会,北京市委宣传部副部长、市政府新闻办主任、市政府新闻发言人徐和建在通报时表示,北京疫情初步得到控制。",北京:此次局部聚集性疫情初步得到控制,http://news.fznews.com.cn/dsxw/20210102/5ff031b7923cc.shtml
