source,public_time,content,topic,url
腾讯网,2021-01-04,"科比传人塔图姆2.9秒绝杀活塞!小伙子真是拧了! 北京时间1月4日讯 上场就曾交手的活塞和凯尔特人再战,凭借塔图姆在最后2.9秒的中投准绝杀,此前爆冷输球的凯尔特...",科比传人塔图姆2.9秒绝杀活塞!小伙子真是拧了!,https://new.qq.com/omn/20210104/20210104A0F8HG00.html
腾讯网,2021-01-04,"据统计,詹姆斯在湖人队三双场次超越了球队名宿科比,升至队史第三人。截止上一场比赛,詹姆斯为湖人队出战了128场比赛,效力的第三个赛季,而就在湖人的第三个赛季,...","仅用3个赛季,詹姆斯刷新了科比20年才达成的纪录",https://new.qq.com/omn/20210104/20210104A0D7U600.html
百家号,2021-01-03,"到这个月26号,科比和女儿Gigi离开我们已经一年的时间。相信不少人提起他,依然会有心疼和惋惜的感觉。而对于科比的家人来说,过去的一年,更是在难以言喻的悲伤中,...","唏嘘!科比去世后妻子官司不断,被亲妈勒索3000万遗产?",https://baijiahao.baidu.com/s?id=1687869550482029523&wfr=spider&for=pc
直播吧,2021-01-04,"直播吧1月4日讯 勇士今日主场对阵开拓者,本场比赛,库里狂轰62分。 32岁的库里也是NBA历史第二老砍下60+的球员,仅次2016年37岁的科比。 ",库里是历史第二老砍下60+球员 仅次2016年的科比,https://news.zhibo8.cc/nba/2021-01-04/5ff29668ba263.htm
百家号,2021-01-04,"曾经有人不解,中国这些和科比远隔大洋、大多数仅仅通过屏幕见过他的球迷们,为何会如此伤心?提问的人以为,科比只是个篮球明星。 资料图:科比。 科比不只是球星而已。",科比、马拉多纳……2020年带走了多少人的青春?,https://baijiahao.baidu.com/s?id=1687940000532951374&wfr=spider&for=pc
东方体育,2021-01-04,"前段时间,一张瓦妮莎高中时代的旧照曝光,只见这个满脸胶原蛋白的女孩子,拿着结业证书,学生味十足,生气勃勃。难怪,科比能对她一见钟情!而作为一个女性,瓦妮莎这些年...","瓦妮莎嫁给科比21年,一直都很美!5次怀孕身材走样,乐观守寡",https://sports.eastday.com/a/210104173442239000000-2.html
百家号,2021-01-04,"他上半场就高效的拿到了32分,到了第三节的时候,科比单节13中7,加上频繁的突破造成杀伤,单节独取30分。仅仅用了三节比赛,科比就31投18中的轰下了62分8篮板...","同样是单场62分,库里出手31次,科比甜瓜和麦迪呢?",https://baijiahao.baidu.com/s?id=1687941953624433058&wfr=spider&for=pc
百家号,2021-01-03,"科比离开已经四个多月了,一场飞机事故夺走了所有人的生命,NBA超级巨星科比和他的女儿Gigi在飞机事故中离开了我们,整个NBA甚至所有喜欢他的粉丝都感到心痛,但最心痛...","真挚的爱的爱情,凡妮莎·科比的情话纹在身上,网友:还没结婚?",https://baijiahao.baidu.com/s?id=1687873015630735164&wfr=spider&for=pc
百家号,2021-01-04,"不知不觉,科比和吉安娜已经走了快一年时间里,本来幸福的六口之家,如今只剩下瓦妮莎孑身一人,带着三个未成年的女儿生活,虽然物质上,这一家人不用发愁,但情感上...","38岁瓦妮莎从小美到老!高中颜值巅峰,科比一见钟情,容颜如玉",https://baijiahao.baidu.com/s?id=1687941587263644519&wfr=spider&for=pc
虎扑网,2021-01-04,"虎扑01月04日讯 今天,公牛118-108战胜独行侠。赛后,公牛后卫科比-怀特接受了记者的采访。 公牛前锋丹尼尔-加福德本场比赛出场19分钟,得到12分3篮板1助攻。在劳里...","科比-怀特:加福德始终做好准备,他想证明自己",https://voice.hupu.com/nba/2680599.html
