source,public_time,content,topic,sensitive_word,theme,id,up_num,retweet_num,comment_num,nickname,sex,province,following,followed,publish_place,publish_tool
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:19,"干画小能手:No.24,Kobe Bryant#素描##科比# 干画小能手的微博视频  ",科比,   科比,科比,JBExYp6xx,0,0,1,干画小能手,女,广东,37,14,无,Android
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:16,NBA动感地带:#NBA动感地带[超话]#科比-怀特23分7篮板4助攻 VS 独行侠队#nba##NBA动感地带# NBA动感地带的微博视频  ,NBA动感地带,   科比,NBA动感地带,JBEwPwa0t,0,0,0,NBA动感地带,男,广东,1478,814,无,NBA超话
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:14,湖人官网:瓦嫂更新ins：晒出手指折痕“KB”！她无时无刻都在思念着他！#瓦妮莎思念科比##mambaforever# 湖人官网的微博视频  ,mambaforever,   科比,mambaforever,JBEvWysf0,2,0,0,湖人官网,女,福建,457,474454,无,科比超话
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:07,阿C丶7:回顾科比突破阿里扎扣篮！#我的青春有科比# 阿C丶7的微博视频  ,我的青春有科比,   科比,我的青春有科比,JBEt948UB,1,0,0,阿C丶7,男,福建,754,1796944,无,iPhone 8
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:01,今日说球:麦迪，科比，乔丹，J博士，伦纳德你觉得谁的单手持球最好看？#NBA##NBA吐槽大会##体育明星#  [组图共5张] 原图 ,体育明星,   科比,体育明星,JBEqMhXIs,121,0,0,今日说球,男,北京,84,1283833,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 19:59,NBA吐槽帝:各位还记得这是哪场比赛？这球进了么？#NBA老照片# #科比#  原图 ,科比,   科比,科比,JBEqan0rJ,0,0,0,NBA吐槽帝,男,海外,428,1263822,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 19:59,黑曼巴经典视频:一张图看NBA各队总得分榜，为一支球队拿到3万分的只有科比，马龙和诺维茨基3人。有3支球队的历史总得分王，目前效力湖人。#科比##詹姆斯##NBA吐槽大会#  [组图共9张] 原图 ,NBA吐槽大会,   科比,NBA吐槽大会,JBEq3jLVX,1,0,0,黑曼巴经典视频,男,重庆,2,878287,无,黑曼巴经典视频超话
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 19:59,艮寅体育:nba2020-2021赛季常规赛，公牛vs独行侠，科比-怀特23分7篮板4助攻集锦  艮寅体育的微博视频  ,,   科比,,JBEq34kQd,0,0,0,艮寅体育,男,海外,180,4916,无,微博视频
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:55,篮球新鲜事:这可能是科比生涯最糗的一次吧！#NBA吐槽大会##科比# 篮球新鲜事的微博视频  ,科比,   科比,科比,JBEokFsa0,1,0,0,篮球新鲜事,男,天津,109,100477,无,科比超话
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:47,曼8体育:瓦妮莎更新Instagram，拇指皮肤折痕KB #MambaForever##瓦妮莎思念科比# 曼8体育的微博视频  ,瓦妮莎思念科比,   科比,瓦妮莎思念科比,JBElehtQh,2,0,0,曼8体育,男,海外,248,2280515,无,洛杉矶湖人超话
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:47,郝好-好郝:只要你我心中有科比那人人其实就都是科比  原图 ,,   科比,,JBEl2r6Ww,0,0,0,郝好-好郝,男,湖北,701,2968,无,iPhone 11 Pro
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:42,是我爱的泥:#泥塑##科比#泥塑大师向科比致敬，这技术我说殿堂级不为过吧？神了！ 是我爱的泥的微博视频  ,科比,   科比,科比,JBEjhbJHY,0,0,0,是我爱的泥,女,北京,6,66286,无,微博网页
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:42,我是体院地板流:科比！  [组图共3张] 原图 ,,   科比,,JBEjgvIax,1,0,0,我是体院地板流,男,天津,703,1098612,无,iPhone 8
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:39,篮球大图:今天库里成为科比之后第二个对阵开拓者砍下60+的球员！在2007年3月16日，科比在对阵开拓者的比赛里砍下了65分7板，带领湖人战胜开拓者！请欣赏科比65分精彩集锦！ 篮球大图的微博视频  ,,   科比,,JBEi2BpJM,30,13,6,篮球大图,男,福建,251,9124239,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:37,之叔:想要的，看我主页置顶博文！NBA里最有影响力的几位#詹姆斯[超话]#  爱豆们想不想拥有！科比签名照片！库里签名照片！詹姆斯签名照片！等 NBA明星！ 签名球衣！签名篮球！！有兴趣的人，留言！！让我看见你！ 可签TO！！！（有各类明星签名物品！均由“李林林LT”提供！） [组图共9张] 原图 ,詹姆斯[超话],   科比,詹姆斯[超话],JBEhhz7aC,0,0,0,之叔,男,湖南,23,670325,无,詹姆斯超话
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:37,阿C丶7:看着真想他！#我的青春有科比# 阿C丶7的微博视频  ,我的青春有科比,   科比,我的青春有科比,JBEhbnZk6,1,0,0,阿C丶7,男,福建,754,1796944,无,iPhone 8
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:36,栀子花仲夏:时间它从不骗人#科比# 344  [组图共3张] 原图 ,科比,   科比,科比,JBEgR1VcB,0,0,0,栀子花仲夏,女,北京,294,4613,无,HUAWEI P40 Pro 5G
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=2,2021-01-04 19:32,icon零别殷勤:#体育#英格拉姆本赛季至今的非常强集锦！2019的莺歌前进真的非常大，不但当选了全明星，另有有望拿下前进非常迅速球员，持球越来越有杜兰特和科比的滋味了，连接眷注！ 篮球大历史的微博视频  ,体育,   科比,体育,JBEfe1JjY,0,0,1,icon零别殷勤,女,广西,418,1083,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=3,2021-01-04 19:32,黎公主的体育日记:今天，勇士击败开拓者，库里砍下了职业生涯新高62分。2007年3月16日，湖人对阵开拓者时，科比砍下了65分。库里也成为了自科比之后，首位对阵开拓者可以砍下60+的球员。  原图 ,,   科比,,JBEfcuDXk,0,0,0,黎公主的体育日记,女,广东,691,5541,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%A7%91%E6%AF%94&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=3,2021-01-04 19:30,阿C丶7:投篮美如画的科比！#我的青春有科比# 阿C丶7的微博视频  ,我的青春有科比,   科比,我的青春有科比,JBEetwszP,0,0,0,阿C丶7,男,福建,754,1796944,无,iPhone 8
