source,public_time,content,topic,url
百家号,2021-01-04,"1月 4 日,采购数字化赛道企业商越科技宣布完成 A+ 轮融资,均为老股东加码,红杉资本中国基金领投,元璟资本、赛意产业基金、峰瑞资本、执一资本、惠友资本跟投。商...","商越科技完成 A+ 轮融资,红杉资本中国基金领投",https://baijiahao.baidu.com/s?id=1687937592079210111&wfr=spider&for=pc
百家号,2021-01-04,"本场比赛,勇士球星库里发挥出色,31投18中,三分球16投8中,罚球19罚18中,狂砍62分5篮板4助攻。 名嘴A-史密斯在推特上点评了库里的表现:“我在许多许多场合都说...",A-史密斯:库里是人类历史最伟大射手 等不及看到他与克莱重聚,https://baijiahao.baidu.com/s?id=1687928493431747750&wfr=spider&for=pc
网易新闻,2021-01-04,"2020年11月底,锦秋A-Level学院雅思+A-Level+留学申请一站式计划的学员徐同学,凭借雅思7.5分、A-Level四门A*的成绩和国际物理及计算机竞赛“两金一银”的优秀实力...",新航道锦秋A-Level学院:本科留学赛道初露锋芒的“新标杆”,https://news.163.com/21/0104/18/FVH1U00D00019OH3.html
donews,2021-01-04,"两个项目所有过程域均达到了A-SPICE 2级能力维要求,且导航地图SDK项目部分领域提前达到3级水准。 地图及导航作为智能网联汽车行业的数字基座,是汽车乃至整个智慧交通...","腾讯地图及出行多个项目通过A-SPICE L2认证,为汽车行业提供成熟...",https://www.donews.com/news/detail/4/3131176.html
百家号,2021-01-04,"两市成交明显放大,全天成交超1.1万亿。 2021年首个交易日,大A迎来开门红,久违的万亿成交额让口罩哥不禁想起我A去年七月时那热火朝天的氛围,不过银行股就比较难...","大A开门红,久违的万亿成交额",https://baijiahao.baidu.com/s?id=1687951196146863126&wfr=spider&for=pc
中华网,2021-01-04,"中华网财经讯,据上海证监局消息,上海联影医疗科技股份有限公司(以下简称“联影医疗”)已于12月25日同中信证券、中金公司签署辅导协议,正式启动科创板上市流程。 A轮...",联影医疗拟科创板IPO:A轮融资后估值333亿 中信、中金均参投,https://finance.china.com/stock/13003071/20210104/37247887.html
全景网,2021-01-04,"同时,创耀还向公司A采购芯片成品,2017-2019年及2020上半年的采购金额,分别占到总比重的26.30%、79.78%、34.58%及11.17%。 ",...研发、销售三条“命脉” 谁是操控创耀科技命运的神秘“公司A”,http://www.p5w.net/kuaixun/202101/t20210104_2500228.htm
电子产品世界,2021-01-04,"同时,为协助企业加速打造 AIoT 创新应用,研华近年来一直不断创新WISE-PaaS 工业物联网云平台的应用及架构功能。2020 年,为打造“可集成”的工业App,研华推出了工...",以软件加值硬件 嵌入式创新引领AIoT新未来 新年开篇:专访研华嵌入...,http://www.eepw.com.cn/article/202101/421770.htm
东方财富网,2021-01-04,"1月4日,复合型移动机器人供应商“优艾智合”获得A+轮投资,由蓝驰资本领投。 据介绍,公司融资后将加速产品研发以及市场拓展。 公开资料显示,优艾智合于今年6月...",2020年连拿3轮累计超亿元 优艾智合又完成A+轮融资,http://finance.eastmoney.com/a/202101041760525781.html
澎湃新闻,2021-01-04,"Tank full, rudder steady -- this giant ship is sailing full speed ahead, braving wind and waves towards a brighter future.A Showcase of Opening up ...",Mao Chaofeng: A Showcase of Opening up in China,http://www.thepaper.cn/newsDetail_forward_10646978
