source,public_time,content,topic,url
百家号,2021-01-04,"国家主席习近平日前同阿根廷总统费尔南德斯互致信函,双方就进一步深化两国关系和抗疫等领域合作交换意见。 习近平强调,总统先生就任以来,我们通电话并多次互致信函,就深...",习近平同阿根廷总统费尔南德斯互致信函,https://baijiahao.baidu.com/s?id=1687925060490934431&wfr=spider&for=pc
百家号,2021-01-04,"坚持以人民为中心的发展思想,既是中国共产党的根本宗旨一脉相承的深刻体现,也生动呈现了党的十八大以来以习近平同志为核心的党中央深厚的人民情怀。 悠悠百姓事,枝...",瞭望丨习近平的人民情怀,https://baijiahao.baidu.com/s?id=1687917422838657925&wfr=spider&for=pc
百家号,2021-01-03,"面对多重复合型冲击,习近平总书记以非常之举应对非常之难,沉着应对、科学决策,运筹帷幄、兑现承诺。2020年春节前夕,武汉同济医院心血管内科副主任医师周宁进行了一场...",2020年 习近平这样引领中国,https://baijiahao.baidu.com/s?id=1687856584481006199&wfr=spider&for=pc
百家号,2021-01-04,"党的十八大以来,以习近平同志为核心的党中央把宣传思想工作摆在全局工作的重要位置,作出一系列重大决策,实施一系列重大举措,党的理论创新全面推进,中国特色社会主义和...",新时代党的宣传思想工作的根本遵循——学习习近平《论党的宣传...,https://baijiahao.baidu.com/s?id=1687928323288638780&wfr=spider&for=pc
百家号,2021-01-03,"刚刚结束开年首访,习近平总书记从缅甸回国便直接前往云南考察,向全国人民拜年,再一次部署脱贫攻坚总决战。 此时的中国,正铆足了劲,决心再用一年时间彻底打赢脱贫攻...",风卷红旗过大关——以习近平同志为核心的党中央领航中国为实现第...,https://baijiahao.baidu.com/s?id=1687846585946564990&wfr=spider&for=pc
央视网,2021-01-04,"习近平总书记在中共中央政治局第二十五次集体学习时的重要讲话,为我国知识产权保护工作指明了方向、作出了重要部署、提供了根本遵循,具有重大理论意义、实践意义、时代...",践行习近平法治思想 全面加强知识产权司法保护,http://news.cctv.com/2021/01/04/ARTISBDJpP5L1NGhyNRYTlew210104.shtml
百家号,2021-01-03,"聆听着2021年走来的脚步声,感受着习近平主席新年贺词传递的温暖。一声声暖心的问候、一句句真挚的“点赞”,让我们笑中带泪却又满怀豪情。心怀美好梦想,每一位了...","习近平时间|勇往直前,创造更加灿烂的辉煌",https://baijiahao.baidu.com/s?id=1687869360000465863&wfr=spider&for=pc
央视网,2021-01-03,"央视网消息(新闻联播):习近平主席在新年贺词中指出,站在“两个一百年”的历史交汇点,全面建设社会主义现代化国家新征程即将开启。征途漫漫,惟有奋斗。我们通过奋斗,披...",永葆初心 牢记使命 奋进伟大时代——习近平主席新年贺词在全国...,http://news.cctv.com/2021/01/03/ARTIEqRhosCunMHFPoCa3NMJ210103.shtml
中国军网,2021-01-04,"“大道不孤,天下一家。经历了一年来的风雨,我们比任何时候都更加深切体会到人类命运共同体的意义。”在二〇二一年新年贺词中,习近平主席回望过去一年推动疫情防控国际...","习近平主席二〇二一年新年贺词启示录:大道不孤,天下一家",http://www.81.cn/yw/2021-01/04/content_9962217.htm
百家号,2021-01-03,"新华社北京1月3日电 《习近平调研指导过的贫困村脱贫纪实》近日由人民出版社出版,在全国发行。 该书由17篇调研报告和3集电视专题片视频二维码组成。党的十八大以来...",《习近平调研指导过的贫困村脱贫纪实》出版发行,https://baijiahao.baidu.com/s?id=1687829627705423457&wfr=spider&for=pc
