source,public_time,content,topic,url
腾讯网,2021-01-04,"这要从“北京时间”的确定说起 在过去很长的一段时间里,人们都是靠太阳来确定时间的。 我们现在都知道,地球是圆的。如果都按太阳来计算时间,各地就会存在时差。","你知道吗,北京时间其实不是北京时间!",https://new.qq.com/omn/20210104/20210104A0335I00.html
百家号,2021-01-04,"在北京,入驻国贸商圈,曾经是创业公司的执念,因为这里是打工人的圣地,只要说公司在国贸,招人都容易很多。在很多人眼里,国贸是一个商务核心区,到处都是手里端着星巴...","中小企业“逃离国贸”,北京写字楼空置率创新高",https://baijiahao.baidu.com/s?id=1687921367925914716&wfr=spider&for=pc
财经网,2021-01-04,"1月3日晚间,北京文化公告称,因涉嫌信息披露违法违规,证监会决定对公司立案调查。 北京文化可谓电影圈的一匹黑马,近年来,凭借《我和我的家乡》、《战狼2》、《我不...","7万股东懵了 电影圈""黑马""北京文化遭证监会立案调查",http://stock.caijing.com.cn/20210104/4728670.shtml
腾讯网,2021-01-04,"北京文化再入风波。 1月3日晚,北京文化发布公告称,公司于2020年12月31日收到中国证监会《调查通知书》,因公司涉嫌信息披露违法违规,根据《中华人民共和国证券法》...","北京文化爆雷,涉嫌信披违规遭立案调查",https://new.qq.com/omn/20210104/20210104A02E4T00.html
乐居房产,2021-01-04,"  【北京恒大御峰】建筑面积约78-129㎡精工美宅约16500㎡新中式园林VIP登记火爆中 2万抵5万 最后倒计时热势如虹,预定从速! ","2W+的上车机会错过再无,北京抢房大战一触即发",https://bj.leju.com/news/2021-01-04/10296751685899693895788.shtml
网易新闻,2021-01-04,"一元复始,万象更新。今天凌晨,北京站2021年的第一趟旅客列车快7753次准时发出。旅客们带着美好心愿跨入新的一年。未来,铁路路网将展开新篇,发展红利惠及民生。北京...",北京站2021年首趟旅客列车发出,http://dy.163.com/article/FVG6Q5O00527NIBU.html
TechWeb,2021-01-04,"为进一步贯彻落实党中央、国务院以及市委市政府关于新冠肺炎疫情防控有关工作部署,做好出租汽车行业疫情防控有关工作,落实“四方责任”,根据北京市人民政府《关于进一步...",北京市交通委:网约车不得出京至中高风险区运营,http://www.techweb.com.cn/ucweb/news/id/2819066
网易新闻,2021-01-04,"据通报,1月1日0时至24时,北京新增7例本地确诊病例和1例无症状感染者;新增3例境外输入确诊病例和1例无症状感染者。其中5例新增确诊病例位于北京顺义区。 通报...","自1日开始,北京疫情防控全面升级",http://dy.163.com/article/FVG3RDN705483VAG.html
央视网,2021-01-04,"中国天气网讯 预计今天(1月4日)白天,北京多云转晴,受弱冷空气影响,有3、4级北风,阵风6级左右,最高气温-1℃,叠加风寒效应,体感十分寒冷。 昨天白天,北京以...",开工冷!今日北京最高气温零下1℃ 周后期新一股冷空气再“来袭”,http://news.cctv.com/2021/01/04/ARTI0N3KAo9HYJahc3tzMsEH210104.shtml
央视网,2021-01-04,"北京市委宣传部副部长、市政府新闻办主任、市政府新闻发言人徐和建表示,200场疫情防控新闻发布会,陪伴市民走过冬春夏秋冬,“每个人都了不起”。 昨天下午,北京市第...",北京新冠疫苗接种者未现严重不良反应,http://news.cctv.com/2021/01/04/ARTIbiqTRBaxEgaaV5bFnhp0210104.shtml
