source,public_time,content,topic,url
央视网,2021-01-04,"中新网1月4日电 据日本放送协会(NHK)报道,1月3日,日本国内新增新冠确诊病例3158例,累计确诊已超24.5万例;新增死亡病例60例,累计死亡为3621例。鉴于疫情持续...",日本新增新冠确诊3158例 当局考虑再次进入紧急状态,http://news.cctv.com/2021/01/04/ARTIhsr8BVjW3AjQM6DV6A1G210104.shtml
腾讯网,2021-01-04,"据辽宁省委卫健委消息,1月3日0时至24时,辽宁省新增6例本土新冠肺炎确诊病例,其中沈阳市报告5例(1例为无症状感染者转归病例),大连市报告1例。 ",警惕!又一地进入战时状态!多地汽车零部件检出新冠病毒!,https://new.qq.com/omn/20210104/20210104A03BML00.html
澎湃新闻,2021-01-04,"新冠疫情下的新年假期:封锁、谎言与转机? 2020年的最后一个月,新冠疫情并没有退潮,相反随着冬季的到来以及变种病毒的出现,世界多国都出现了程度不同的疫情反弹。",澎湃思想周报|新冠疫情下的各国新年;脱欧之后的英欧未来,http://www.thepaper.cn/newsDetail_forward_10639837
网易新闻,2021-01-04,"中国新冠病毒疫苗获批上市啦 而且是全民免费提供!!! 12月31日,国务院联防联控机制发布,国药集团中国生物新冠灭活疫苗已获得国家药监局批准附条件上市。 已有数据显示...",厉害了我的国!新冠病毒疫苗获批上市!全民免费!成都这些区可预约...,http://dy.163.com/article/FVG7PIA5053569U2.html
百家号,2021-01-03,"据新加坡联合早报刚刚消息,泰国已出现英国新冠病毒变异毒株感染的病例。 当地时间1月3日,泰国朱拉隆功大学医学院病毒学研究中心主任普沃拉宛表示,变异毒株是来自一个从...",泰国出现英国新冠病毒变异毒株感染病例,https://baijiahao.baidu.com/s?id=1687871798494845047&wfr=spider&for=pc
腾讯网,2021-01-04,"据权威新冠模型预测,随着美国进入疫情最严重的阶段,预计下个月美国还将有15万人死于新冠。 华盛顿大学健康指标与评估研究所的预测显示,下个月美国的新冠死亡人数可...",最新模型预测:下个月美国将有15万人死于新冠,https://new.qq.com/omn/20210104/20210104A02Z6T00.html
澎湃新闻,2021-01-03,"根据世界卫生组织最新发布的信息,从全球对新冠病毒变异的监测情况看,尚无证据证明病毒变异会使现有的新冠病毒疫苗失效。 但是世界卫生组织持续关注这个问题,通过全球...","关于新冠疫苗,又有最新信息!",http://www.thepaper.cn/newsDetail_forward_10643518
百家号,2021-01-04,"北京市卫健委新闻发言人高小俊昨日介绍,北京自1月1日组织各区对9类重点人群开展新冠疫苗接种工作,1月1日至2日,共接种新冠疫苗73537剂,未发生严重不良反应。北京...",北京两天接种新冠疫苗7万余剂 已有220个疫苗接种点启动使用,https://baijiahao.baidu.com/s?id=1687909358919283008&wfr=spider&for=pc
央视网,2021-01-04,"目前,本市正在对9类重点人群进行新冠疫苗接种工作,截至1月2日,全市共接种新冠疫苗73537剂,未发生严重不良反应。昨天,北京市第200场新冠肺炎疫情防控工作新闻发布...",北京新冠疫苗接种者未现严重不良反应,http://news.cctv.com/2021/01/04/ARTIbiqTRBaxEgaaV5bFnhp0210104.shtml
百家号,2021-01-04,"可在离境前所做的新冠检测中,桃田贤斗的检测结果呈阳性,他被确诊感染了新冠,他只能放弃在泰国的比赛,日本羽毛球队全队也取消了前往泰国的安排,退出了接下来的...","劲爆!日本一哥神庙许愿后率队出国比赛,在登机前被确诊感染新冠",https://baijiahao.baidu.com/s?id=1687921912775962802&wfr=spider&for=pc
