source,public_time,content,topic,url
百家号,2021-01-04,来源：中国新闻网中新网1月4日电据韩媒报道，韩国新冠疫情“第三次大流行”已持续超过一个半月。韩国中央防疫对策本部4日通报，截至当地时间当天0时，韩国新增1020例新冠确诊病例，累计确诊达64264例。时隔三天，单日新增确诊病例数再次回升至千例以上。受新年连休检测量较少的影响，此前几日单日新增病例数虽然下降，但由于首尔东部拘留所和光州疗养设施发生的集体感染持续发酵，确诊人数再次增加。当天新增病例中，社区感染病例985例，其中首都圈685例。另有境外输入性病例35例。此外，当天韩国还新增19例死亡病例，累计死亡已达981例。为遏制疫情蔓延，韩国防疫部门4日起，将首都圈和非首都圈地区目前实施的2.5级和2级防疫响应措施延长至1月17日。并将原本只适用于首都圈的禁止5人以上聚会措施的实施范围扩大至韩国全国。由此，任何形式的5人以上聚会均被禁止，但人口较多的家庭和需要照顾老人小孩的情况不受此限。餐厅最多只可接受4人预定，5人分桌就餐的情况也被禁止。另外，韩国政府还放宽部分适用于补习班和滑雪场等冬季体育设施运营的限制措施。允许9人以下的补习班恢复运营，滑雪场、雪橇场、冰场有条件地恢复开放，人员不得超过可容纳人员总数的三分之一，且当地时间晚9时后必须停止营业。,韩国新冠单日新增再超千例 政府延长现行防疫措施,https://baijiahao.baidu.com/s?id=1687935284827237793&wfr=spider&for=pc
百家号,2021-01-04,1月4日，宁夏应对新型冠状病毒肺炎疫情工作指挥部发布最新全区新冠肺炎疫情通报。截至2021年1月3日24时，全区无新增新冠肺炎确诊病例，无新增疑似病例，无无症状感染者报告。全区连续306天无新增确诊病例，累计报告确诊病例75例。【来源：银川市卫生健康委员会】声明：转载此文是出于传递更多信息之目的。若有来源标注错误或侵犯了您的合法权益，请作者持权属证明与本网联系，我们将及时更正、删除，谢谢。邮箱地址：newmedia@xxcb.cn,1月3日全区新冠肺炎疫情情况,https://baijiahao.baidu.com/s?id=1687934139376952719&wfr=spider&for=pc
百家号,2021-01-04,"赫芬顿邮报在1月3日撰文探讨加拿大疫情结束的时间表。目前有两种疫苗在加拿大获得批准，全世界还有几十种疫苗处于各种试验阶段。但要让全加拿大的人都接种疫苗，可能还需要一段时间。与此同时，病例数量激增，一些省份的医院正面临令人担忧的处理疫情能力问题。专家们表示，疫情今后的发展方向很复杂。并且，关于“有多少人将接种疫苗”以及“疫苗在阻止病毒传播方面的效果如何“的疑问也一直困扰着人们。所有制定计划的重要前提都取决于这些因素。很可能要到2021年年底，生活才会感觉更正常一些。位于温尼伯的流行病学家辛西娅・卡尔告诉赫芬顿邮报，要想根除一种疾病，人们需要两样东西：治疗方法和使群体免疫的疫苗。当有足够多的人感染一种疾病并对其产生免疫力时，就会出现群体免疫力，从而使其不再传播。基于这些标准，卡尔表示，新冠病毒极不可能完全消失。它很可能继续流通，并且它可能像其他病毒一样是季节性的。因此，疫苗对卫生保健系统的协助程度十分重要。如果疫苗能够缓解一些对系统的直接影响，那么人群就可能在更安全的情况下聚集。但这很可能要等到2021年。随着基于社区的传播和严重健康影响的比率下降，各地区可能会做出重新开放的决定。多伦多大学健康网络感染预防和控制的医疗主任苏西・霍塔博士表示，最终是否重新开放取决于有多少人使用疫苗。AngusReid12月的一项民调显示，48%的加拿大人希望尽快接种疫苗，高于一个月前的40%。即使一些加拿大人接种了疫苗，其他人也需要继续遵守公共卫生指南。霍塔表示，疫苗接种的整个情况将决定开始考虑开放的具体时间点。有些人将无法获得疫苗。比如，孕妇没有被纳入临床试验，加拿大卫生部也警告对疫苗成分过敏的人不要接种。这意味着有些人可能还是会采取安全防范措施，比如继续戴口罩或企业限制员工数。人们仍然需要对疫情保持警惕。在2021年底将会逐渐重新开放。她补充道，希望人们不要因为等待而气馁，生活会慢慢变好的。政府会根据社会影响力大小来决定重新开放的顺序。希望逐步重开的一部分能让加拿大人有机会安全地与家人和朋友有更多的社会联系。麦吉尔大学传染病部门的教授迈克尔・利伯曼告诉《赫芬顿邮报》，虽然一些地区可能有如此高的新冠病例数，以至于自然的群体免疫力是可能的，不过在大多数情况下，加拿大正在依靠疫苗来实现这一点。目前的估计表明，有70%的人口要么接种疫苗，要么通过感染新冠病毒以带来群体免疫力。只要疫苗有效，可以让人们继续使用疫苗增强剂。这在疫苗世界中非常普遍，人们需要定期接种疫苗。卡尔表示，目前疫苗的功效仍然是一个主要的公共卫生问题，因为临床试验的数据显示疫苗使得疾病严重性减弱。不过，这还不足以影响群体免疫力，除非接种疫苗的人具有较低的病毒载量和较低的传染性。渥太华大学流行病学家、副教授雷瓦特・迪南丹表示，预计加拿大将能够在2021年夏天左右开始解除限制。假设疫苗能够防止传播，并且有足够的人接种。到2022年，这场疫情将被正式宣布结束，但很可能在一些国家仍然存在。这意味着国际旅行不会在几年内恢复“正常”。这也取决于""正常""的含义。人们可能永远不会回到2019年的生活方式，因为某些方面，如Zoom会议和远程学习，已经成为流行病期间日常生活中被广泛接受的部分。到目前为止，临床试验还没有验证疫苗对儿童的功效，所以学校有可能在2021年秋季仍然提供远程学习。到那时，孩子们的社交可能会更安全，迪南丹表示，因为如果年长的亲戚已经接种了疫苗并具有免疫力，那么他们感染病毒的可能性就会降低。不过，即使部分人群开始接种疫苗，也只有当新冠疫情在人群层面得到控制后，才能完全安全地恢复较为正常的活动。接种疫苗不意味考验已经结束，在所有人都安全之前，没有一个人是真正安全的。尽管存在未知数，但未来仍然是充满希望的。这场疫情已经极大地改变了日常生活的许多方面，包括对加拿大人的心理健康和国家中小企业的经营。卡尔表示，在这场危机中，其他的变化其实可能是积极的变化。现在加拿大人已经了解了很多关于病毒的传播方式和基础预防措施。戴口罩也可能成为“工具箱中的常用工具”，特别是在感冒和流感季节。利伯曼表示，目标并不是将感染新冠病毒的风险降至零，而是让这种风险与日常生活中承担的风险相适应。将新冠病毒作为生活的一部分接受。如果人们能够把新冠病毒降低到这个风险水平，那么，这就是生活中自然存在的风险。(加美财经)#加拿大#、#新冠疫情#、#2021年底#作者：申羽责编：帆子",加拿大新冠疫情何时结束?专家认为会是2021年底,https://baijiahao.baidu.com/s?id=1687933936880960319&wfr=spider&for=pc
百家号,2021-01-04,为了避免跨年倒数的人潮聚集，日本警方2020年12月31日在东京涩谷举牌引导民众离开。日本入冬以来的第三波疫情相当凶猛，东京上周更创下单日新增确诊破千人的纪录，成为整个东北亚的染疫重灾区，日本首都圈的4位知事也一同呼吁中央，尽速再次发布「紧急事态宣言」。日本首相菅义伟4日上午回应「目前正在检讨相关作为」，日媒则认为可能会在9日正式宣布。此外菅义伟也表示，日本可望在2月下旬开始施打新冠疫苗，由于台湾已经出现新冠变种病毒，台日之间的商务旅行也被叫停。首都圈的一都三县（东京、,"东京新冠疫情告急,菅义伟本周可能宣布「软性封城」",https://baijiahao.baidu.com/s?id=1687932616326917844&wfr=spider&for=pc
百家号,2021-01-04,"中国小康网1月4日讯老马德国卫生部长施潘（JensSpahn）周末对RTL电视台表示：""鉴于德国感染数字依然居高不下，有必要延长限制措施。""他指出，德国的重症监护病房收治大量新冠患者，无论如何都必须降低感染数字并持续将感染率维持在低水平。""这比过早放松限制、几周后又面临严重问题好。""空荡荡的德国街道德新报道，社、路透社、天主教通讯社巴伐利亚州长索德（MarkusSder）在接受周日版《图片报》采访时呼吁延长严格防疫限制三周。""封锁必须延长到一月底。过早放松会使情况大幅退步。""受到新冠疫情严重冲击的其他联邦州也在电话会议中要求延长封锁，一些疫情较为缓和的州则倾向两周后就再次评估。联邦政府对谨慎的一方表示支持。德国总理默克尔将在来临的周二（1月5日）与各州州长磋商是否延长封锁，此前的电话会议便是为此做准备。对于幼儿园和小学是否继续停课，各方的意见出现分歧。感染率高的联邦州呼吁继续关闭学校，个别联邦州则希望以交错上课或远程教学方式让高年级开课。汉堡市长辰薛尔（PeterTschentscher）在接受《星期日世界报》采访时呼吁联邦政府公开""是以什么科学依据或数据为基础，要求继续全面关闭幼儿园和学校；以及在此情况下，如何维持基本服务和医疗服务。""巴伐利亚州长索德则认为：""在感染数字如此高的情况下让教师和学生全面重返校园是不负责任的做法。""据德新社消息，未来是否在全国范围内强制高风险地区返国的旅客接受新冠筛检，也是各方在电话会议中讨论的话题。巴伐利亚目前已经实施强制性筛检。",德媒:德国封国后新冠疫情仍然猖獗 政府表示不行就继续封禁直到好转,https://baijiahao.baidu.com/s?id=1687932264405320899&wfr=spider&for=pc
百家号,2021-01-04,大连本轮疫情来源初步判定为俄罗斯籍货轮上的货物，这批货品曾被检测出新冠病毒呈阳性。经初步判定，曾搬运过这批阳性货物的5名码头工人则为大连本轮疫情的来源。北京时间1月3日，大连市召开疫情防控发布会，大连市卫健委副主任赵连出席发布会并通报:大连本轮疫情来源初步判定系5名码头工人，原因是这5名工人曾搬运俄罗斯籍货轮上的货物，这批货品曾被检测出来新冠病毒阳性。发布会透漏本次大连新冠疫情患者包括无症状感染者，主要工作、居住集中在金普新区。在已报告的全部患者当中男性患者占37%，女性患者占63%，患者当中年龄最小3个月最大88岁患者中位数则为46岁。本次大连疫情确定传染源后，基本传播途径也渐渐地浮出水面。本次大连疫情首先是搬运工感染后，经搬运工人在金座商厦内活动引发商户和顾客的感染，并经过感染商户和顾客引发家庭内传播，从而使疫情病毒从冷链码头传播到社区、商场、学校、医院，并涉及各类人群。1传11+33！大连本轮疫情出现超级传播！1月3日下午，大连市举行疫情防控工作新闻发布会。会上，大连市卫健委副主任赵连表示，初步判定，这次大连的本土疫情来源于污染了新冠病毒的进口冷链产品。图片来自网络赵连称，国家、省、市疾控中心对此次疫情确诊病例、无症状感染者及相关环境、货物样本病毒，进行了全基因组测序分析，病毒基因组与此前大连市以往的新冠病毒全基因组序列比对均不同源，排除本地新冠病毒的持续传播。此次疫情病毒符合L基因型欧洲家系L2分支L2.1的特征，结果支持传播源来自国外，疫情基因组和4条冷链产品中的病毒基因组及俄罗斯11月份流行的毒株高度同源，具有较强基因关联性。且全基因组序列与我国既往已报道的输入性病例以及国内本土病例不存在基因关联性，不是国内近几个月本土疫情的持续传播；与国际GISAID数据库、国内各省市本土疫情和境外新冠病毒输入基因库相比，未见高度同源的序列，是一次新的输入。初步判定这次大连的本土疫情来源于污染了新冠病毒的进口冷链产品。1、码头工人及后续传播疫情（10例）12月15日，在对从事进口冷链食品从业人员例行定期核酸检测时，刘某（病例1）、王某（病例2）、郭某（病例3）、赵某（病例4）核酸检测结果为阳性，4人均为浩涵劳务公司搬运工人，之后在对4人密切接触者的排查中发现，工人袁某（病例5）被感染。病例1等4人12月12日曾帮浩涵劳务公司经理张某（病例6）及妻子张某（病例7）搬家，搬家后共同到味味鲜家常菜馆聚餐，导致病例6、病例7、菜馆厨师兼老板张某（病例8）及妻子潘某（病例11）被感染。在对码头相关管控人群筛查检测中，又发现1例与上述病例有关联的码头工作人员李某（病例44）。2、除上述人员外的传播链分析（65人）现场流行病学调查和分子流行病学分析显示，高度怀疑后续传播由码头工人（病例5）通过个人活动传播引发。12月19日，对病例6所在的金润小区进行全员核酸检测，12月20日报告李某（病例9）核酸检测结果为阳性。12月20日起，在金普新区15个街道的全员大面积核酸检测结果当中，陆续发现孔某（病例10）、李某（病例12）、栗某（病例13）等阳性病例。经过流调溯源和大数据比对，发现上述病例均与金座商厦有关，均为金座商厦商户或顾客。自12月20日发现首例涉及金座商厦的病例以来，共报告65例（不包括病例5）与金座商厦有关，其中业主11例、顾客9例、密接等其他人员发病45例。12月20日开始在社区筛查及病例密接中陆续发现，主要集中在12月21日至12月27日内报告。报告发病日期最早的为12月15日，分别为业主金某和顾客刘某。码头工人（病例5）曾于12月11日到过金座商厦二楼卫生间，高度怀疑由码头搬运工人（病例5）通过个人活动传播引发。在金座商厦相关病例中，有一病例金某（病例35）在未发病时参与11人家庭聚会，造成后期其他10人全部感染。经过流行病学调查发现，金某为金座商厦业主，发病时间为12月15日，为其家庭中发病最早的人员，故判定金某为其家人的感染来源，且其感染来源为金座商厦。同时家庭中成员通过日常接触或环境暴露感染，截至2021年1月2日24时，金某相关确诊病例和无症状感染者累计33例，其中，确诊病例21例，无症状感染者12例。金某（病例35）的相关病例金某（病例32）、陈某（病例38）、卢某（病例39）、刘某（病例40）和张某（病例43）于12月17日、18日先后到大连医科大学附属第二医院就诊，造成了宁某（病例19）、王某（病例52）及陈某（病例62）的感染。（综合媒体报道来源：央视新闻客户端等）,1传11+33最新消息:大连本轮疫情来源初步判定 大连本轮疫情出现...,https://baijiahao.baidu.com/s?id=1687932262214029406&wfr=spider&for=pc
百家号,2021-01-04,"中国小康网1月4日讯老马周一是中小学开学的日子。教育部长布朗盖周日在接受媒体采访时表示，小学及初中学生将按原计划返校，他并承诺，各地学校将加强健康保护措施。由于在法国也发现来自英国的变种病毒，外界普遍担心随着中小学开学，疫情会进一步扩散。对此，布朗盖表示，将在学校加强检测。他表示，完全有把握组织好今天的中小学开学。法国教育部长布朗盖法国国际广播电台报道，法国卫生总署署长热罗姆・萨洛蒙周日也表示，这两种变种毒株对青年人威胁更大。“因此，我们将关注的重点放在大学及中学校园内”。萨罗姆特别指出，“由于学生是从法国或国外的不同地方返校，有可能改变病毒的传播路径”。在谈到1月20日100%高中生返校的目标，教育部长布朗盖表示，将尽最大的努力保证高中生1月20日完成返校。不过，如果届时某些地区疫情恶化，学校将采取具体措施。教育部长并希望学校教师能够尽快进行疫苗接种，“最迟在三月份进行疫苗接种""。另据法国卫生部周日晚间通报，法国新增确诊12489例，累计死亡病例突破6万5000例。由于法国处于节假日期间，确诊数字差别较大，从日增3000到21000例。但距政府定下限制在5000例的目标依然相去甚远。周日新增死亡病例657例，累计达到65037例。",法媒:法国初中小学今天按时开学 但法国新冠疫情正在恶化已出现...,https://baijiahao.baidu.com/s?id=1687932259646348009&wfr=spider&for=pc
百家号,2021-01-04,1月2日上午，朝阳区区委常委、常务副区长崔小浩到管庄第二社区卫生服务中心检查、指导新冠疫苗接种及疫情防控工作。地区工委书记万小兵，办事处主任汪宝成及相关领导、负责人员随行。一行人来到管庄第二社区卫生服务中心，地区工委书记万小兵简要汇报了新冠肺炎疫苗接种工作进展情况。查看了疫苗储存、接种、留观场地设置，疫苗接种的整个流程及疫情防控部署情况。副区长崔小浩强调，要高度重视疫苗接种工作，夯实责任落实，细化工作措施，严密防疫部署，规范有序实施，确保安全、圆满的完成疫苗接种工作。【来源：管庄地区】声明：转载此文是出于传递更多信息之目的。若有来源标注错误或侵犯了您的合法权益，请作者持权属证明与本网联系，我们将及时更正、删除，谢谢。邮箱地址：newmedia@xxcb.cn,朝阳区委常委、常务副区长崔小浩检查管庄地区新冠疫苗接种及疫情...,https://baijiahao.baidu.com/s?id=1687930249090714255&wfr=spider&for=pc
百家号,2021-01-04,来源：中产先生近日，又发现一条海外新冠病毒流入国内的隐秘渠道。-1-最近，各地依然有散发的新冠疫情，特别是大连，因为进口冷链产品发生物传人现象，并导致了1传44的超级传播。现在，散发疫情的传播基本上有两个源头，一个是境外人员，一个是进口冷链。这两个源头现在都有了切实的方案来防控，境外航班落地核酸检测然后14天隔离，进口冷链物品在接触前都要实施预防性全面消毒处理。看似万无一失，可还是出现了漏洞：成都疫情的源头是境外隔离人员的生活垃圾没有被按规定处理，被一个习惯捡垃圾的老太太捡走了，于是发生了物传人导致了成都疫情。一个小疏忽，代价何其沉重。而关于进口冷冻，我们以前觉得是检疫不够，这次检疫跟上了，我们却疏忽了另一个渠道：走私。来看两条新闻：今年元旦，广东佛山下力沙水岸边飘来4吨冷冻肉，包括猪脚、鸡脚、猪大肠等，周边居民闻讯赶来打捞食用。相关部门第一时间赶来控制现场，并且出动人员打捞，当地疾控中心也对冻品进行新冠病毒的检测，目前6份样本均为阴性。说起走私冻肉，我们并不陌生，而且广东沿海岸边发生冷冻走私肉被丢下海也不是一次两次了，今年7月份虎门就出现过一次。再来看一条，去年12月11日，河北献县查获了一批标注产地为印度的走私冷冻肉品，随后检测为阳性。两个事情合在一起，我们可以看到一条海外新冠“黑入”中国的隐秘渠道：走私肉。现在证实，新冠病毒可以通过物传人，所以走私肉也容易成为传播媒介。走私肉被扔下海有两种可能：1、一个是被海警缉私过程中匆忙丢下海；2、走私肉一直无法运上岸，船只费用不少，不划算就扔了。但是，半年也就发生两次，没有被扔下海的走私肉去哪了呢？它们有新冠病毒吗？-2-走私肉为何屡禁不止？主要有两点：1、暴利驱使，走私的成本只有正常报关的30%，也就是说一倒手就是近70%的利润。2、市场需求，中国人对肉类需求之大超乎想象，正规渠道的肉不够而且贵，很多小餐厅主动使用走私肉来降低成本，特别是外卖，几乎没有正规肉，一个大肉丸子三块钱，不用走私冻肉怎么可能。看个老数据，以进口大户牛肉为例，2013年，中国牛肉产量640万吨，合法进口牛肉29.7万吨。然而，市场上实际牛肉交易量接近900万吨。200多万吨牛肉都是走私来的，这还是2013年的数据，近几年的数据恐怕会更高。简单来说下走私的路径。最主要的有两条：海上：海外――香港――广东陆上：印度――越南――广西海上主要是远洋货轮到香港，据说香港港口常年都有数以万计的空置集装箱，当然不可能是空置的，因为里面有走私牛肉囤在港口，走私者用报废渔船把油舱改装成货舱，套用假船牌，盖上帆布伪装成普通货物趁着夜色偷运至内地。另一条路上主要是从印度报关上岸，陆路运到越南，然后通过广西走私入境，主要是牛羊猪肉。这些年中国猪肉价格暴涨，越南成为走私活猪最主要的通道，据说走私者为了躲避检查，还在山上挖了一条地图上看不到的路用来走私过车，甚至还有村民设置路障也来刮一点油水。走私的冻肉里，有来自美国的牛肉，巴西的鸡肉以及越南的猪肉，当然也包括海鲜。这些国家目前都是疫区，很容易夹带新冠病毒。在新冠疫情爆发之前，这些都是心照不宣的事情，国家要收税，百姓也要吃肉，睁一只眼闭一只，维持平衡就好。甚至，在很多批发市场，走私冻肉在市场商家和监管部门那里是都公开的秘密。很多餐馆小老板进货的时候会被直接问：要有证的还是没证的，没证的就是走私冻肉，当然用走私肉，便宜啊。餐馆成本越来越高，业内同行都用这种肉，如果用正规的肉，成本压力太大了。我大胆猜测下，我们在一些苍蝇馆子、平价餐厅、外卖里吃到的基本都是走私冻肉。而且更严重的是，因为走私肉的价格较低，一些正规的厂家也不得不采用走私肉来降低成本，这就更难保证居民餐桌安全了。但是现在疫情还未结束，想想还是有点后怕的，国家也在集中打击，不然也就不会发生把冻肉扔下海的事情了。-3-结语最近散发的新冠病例开始多了起来，但是好消息是新冠疫苗也开始免费接种了。今年冬天将是特别至关重要的一个冬天，如果防控得当，明年随着全球疫苗接种和夏季来临，新冠疫情很可能就结束了。所以，今年春节就有专家建议就地过年不要返乡，可见国家对疫情防控决心之大。春节是肉类消费最多的时间点，加上国内猪肉生产周期要到明年才能跟上，这个时期，千万不能让走私肉钻了空子。因此，大家买肉的时候，一定要注意去正规的大超市和线上平台，菜市场和社区小店就要留心问问有没有检疫标志。希望大家都能平安过冬。,"走私,一条海外新冠病毒流入国内的隐秘渠道",https://baijiahao.baidu.com/s?id=1687929788469755407&wfr=spider&for=pc
百家号,2021-01-04,2021年1月1日下午，顺义区新冠肺炎疫情防控工作领导小组召开第四十九次会议，传达贯彻市委书记蔡奇到顺义检查疫情处置和防控工作指示要求及市级相关会议精神，进一步调度部署当前疫情防控重点工作。顺义区委书记、区新冠肺炎疫情防控工作领导小组组长高朋主持会议，区委副书记、代理区长、区新冠肺炎疫情防控工作领导小组组长龚宗元，区人大常委会主任车克欣，区政协主席周颖博参加。会议指出，蔡奇书记到顺义检查时说，顺义区迅速响应、全区动员，进入战时状态，采取最严措施，果断处置，疫情初步得到控制。他对我区疫情防控工作的评价，既是对我们的鼓舞，也是对我们的鞭策。我们要振奋精神、不负重望，发扬连续作战精神，进一步压紧压实防疫责任，同时全面检视防疫工作中的短板不足，引以为戒、举一反三、认真全面整改，紧紧抓住关键时间、关键任务，持续加强当前各项防控措施，坚决打赢这场疫情歼灭战，吹响新一年工作的拼搏号角。会议强调，追踪管控重点人员是第一要务。要迅速及时判定密接者，对风险人群要持续、精准、快速、全面追踪，并采取相应管控措施。封闭管控区域管理要严之又严，服务保障要更加细致暖心。出现病例区域要迅速封控，并进行“兜底式”核酸检测筛查；封闭管控区域内人员要严格足不出户，集中隔离点要配足人员力量，严格确保各项防控措施落实到位，同时要进一步做好服务保障工作；密切关注在观人员健康情况，对老人儿童等群体要更加关心关爱。持续开展重点区域人员核酸检测工作。继续做好已封闭管控区域人员核酸复检工作，同时按要求对相关重点区域开展第二次核酸采样检测工作，总结好动员、组织、协调、对接等经验，改进提升工作方式，确保核酸检测安全、有序、高效、高质量开展。服务保障措施要再加强。关心关爱一线工作人员，保障充足防疫防寒物资，各部门、各属地要相互支援、做好配合；要做好暖心服务，密切干群关系，让在观人员安心、放心、暖心过节。重点行业防疫工作要再严格。切实抓好人员密集场所防疫工作，各行各业都要严格落实各项防控措施；全面检查区内小诊所、小药店防疫要求落实情况；做好国际航班机组和外航机组人员、入境进京人员、国内中高风险地区进京人员闭环管理，严格落实好各项防控措施和要求。会议要求，全区党政机关、事业单位、国有企业干部职工带头在“两节”期间在京在顺过节，做到非必要不出顺、不出京、不出境；提前谋划部署，倡导群众“两节”期间在京在顺过节。全力保障城市运行，更加用心用情落实相关服务保障措施，让群众在顺度过欢乐祥和安宁的节日。【来源：顺义区融媒体中心】声明：转载此文是出于传递更多信息之目的。若有来源标注错误或侵犯了您的合法权益，请作者持权属证明与本网联系，我们将及时更正、删除，谢谢。邮箱地址：newmedia@xxcb.cn,顺义区新冠肺炎疫情防控工作领导小组召开第四十九次会议,https://baijiahao.baidu.com/s?id=1687929763138474319&wfr=spider&for=pc
