source,public_time,content,topic,url
百家号,2021-01-04,"1月3日下午,市应对新冠肺炎疫情工作会议召开,认真落实省应对疫情工作领导小组会议和省应对疫情工作视频会议精神,针对我市藁城区出现确诊病例的实际,就做好疫情防控工...",石家庄召开应对新冠疫情工作会议:迅速进入战时状态!,https://baijiahao.baidu.com/s?id=1687913686821658638&wfr=spider&for=pc
百家号,2021-01-04,"不过,即使部分人群开始接种疫苗,也只有当新冠疫情在人群层面得到控制后,才能完全安全地恢复较为正常的活动。接种疫苗不意味考验已经结束,在所有人都安全之前,没有一...",加拿大新冠疫情何时结束?专家认为会是2021年底,https://baijiahao.baidu.com/s?id=1687933936880960319&wfr=spider&for=pc
澎湃新闻,2021-01-04,"新冠疫情下的新年假期:封锁、谎言与转机? 2020年的最后一个月,新冠疫情并没有退潮,相反随着冬季的到来以及变种病毒的出现,世界多国都出现了程度不同的疫情反弹。",澎湃思想周报|新冠疫情下的各国新年;脱欧之后的英欧未来,http://www.thepaper.cn/newsDetail_forward_10639837
网易新闻,2021-01-04,"编者按:今年以来,《中国日报》共发表了40多篇《经历》系列报道,讲述了新冠肺炎疫情期间在华外国人的故事。我们采访了其中一些人,听听他们的最新经历。 来自伊朗的西...",留下来帮助中国抗击新冠肺炎疫情的在华外国人们,http://dy.163.com/article/FVGA3QFK0534AMCS.html
网易新闻,2021-01-04,"“科技战疫”正在成为中国抗击新冠肺炎疫情的一支“硬核”力量。人们通过智慧物流、在线医疗、在线教育、视频会议、远程办公等技术应用,实现了“隔而不离”和大规模...","艰难打完新冠疫情一仗后,马化腾、钟南山等25人收到他的回信!",http://dy.163.com/article/FVGARIRO0531B4B8.html
百家号,2021-01-04,"2021年1月2日0-24时,大连市新增1例本土新冠肺炎确诊病例,本轮疫情累计报告确诊病例48例,正在实施医学观察的本地无症状感染者30例。 本次疫情中,金某(病例35)...",1传11+33!大连新冠疫情出现超级传播,https://baijiahao.baidu.com/s?id=1687914621629571637&wfr=spider&for=pc
百家号,2021-01-04,"新冠肺炎疫情在公牛球队内部继续延烧当中!根据《ESPN》记者梅贝瑞4日引用公牛总教练多诺万说法,公牛替补后卫萨托兰斯基与一名球队工作人员确定新冠检测呈现阳性,这是公牛...",新冠疫情又来搅局 公牛第2位球员中镖,https://baijiahao.baidu.com/s?id=1687923147596674841&wfr=spider&for=pc
新华报业网,2021-01-04,"1月3日下午,市应对新冠肺炎疫情工作会议召开,认真落实省应对疫情工作领导小组会议和省应对疫情工作视频会议精神,针对我市藁城区出现确诊病例的实际,就做好疫情防控工...",石家庄召开应对新冠疫情工作会议:迅速进入战时状态!_新华报业网,http://news.xhby.net/zt/zzccfkyq/yw/202101/t20210104_6935376.shtml
腾讯网,2021-01-04,"统计显示,在疫情非常严峻的形势下,依然有1430多万美国民众冒着感染和传播病毒的风险出行。正如美国卫生专家所担心的,上千万美国人出游之后,新冠疫情果然进一步加剧恶化...","1430万人出游后,美新冠确诊量冲破2千万,专家:将害死数十万人",http://new.qq.com/omn/ENT20190/20210104A03KO200.html
百家号,2021-01-04,"由于新冠疫情恶化,时任首相的安倍晋三去年4月7日先针对埼玉、千叶、东京、神奈川、大阪、兵库、福冈发布「紧急事态宣言」,4月16日该宣言扩及日本所有都道府县。","东京新冠疫情告急,菅义伟本周可能宣布「软性封城」",https://baijiahao.baidu.com/s?id=1687932616326917844&wfr=spider&for=pc
