source,public_time,content,topic,sensitive_word,theme,id,up_num,retweet_num,comment_num,nickname,sex,province,following,followed,publish_place,publish_tool
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=1,2021-01-04 14:21,陕西杨凌消防:【科学防控，共抗疫情】特殊时期，出门做好个人防护，回家马上洗手，保护好自己和家人，一定能战胜病毒！科学防控，共抗疫情！#我国首批新冠病毒疫苗开始接种# L上海消防的微博视频 上海消防的微博视频  ,我国首批新冠病毒疫苗开始接种,新冠疫情,我国首批新冠病毒疫苗开始接种,JBCd9CZFc,0,0,0,陕西杨凌消防,男,陕西,197,1060,无,360安全浏览器
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=1,2021-01-04 14:21,玺承电商学院官方微博:【吴晓波跨年演讲：预测2021年中国经济的八大趋势】#资讯# 知名财经作家吴晓波在跨年之际举办的“预见2021吴晓波年终秀”上，将中国经济的基本面形容为三班列车：工业革命、互联网革命、产业智能革命。无论新冠疫情如何爆发，无论中美 贸易摩擦激烈或趋缓到怎样的程度，它们都不会发生任何变化。基于这些判断，吴晓波认为2021年可能会发生以下现象和趋势：第一，进口替代科创热潮：发展“硬科技”完成“进口替代”，解决中国制造的“阿喀琉斯之踵”；第二，“云上中国”初露峥嵘：产业智能化建设，将成为中国制造业的未来；第三，2021年生态赋能，范式继承：自我革命的大型传统公司，正在贡献数字化转型的中国范式；第四，百万直播闹中国：万物皆可播，人人皆可播，场场皆可播；第五，品类流行替代品牌：品类创新催生新品牌，我主义的消费时代到来；第六，购物中心即将消亡：拐点时刻到来，服务性消费（体验）将全面替代物质性购物；第七，房产投资低空飞行：资本市场发生剧烈变化，需要重新思考对财富的配置；第八，超级城市大赛鸣枪：中国超级城市大赛，进入到白热化的阶段。 ,资讯,新冠疫情,资讯,JBCd6mYF8,0,0,1,玺承电商学院官方微博,男,广东,19,2291,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=1,2021-01-04 14:21,成华东客站管委会:【成华区三部地情文献出版发行】#成华新闻# 近日，记者从区地方志办公室获悉，由区地志办主编的《成华战疫》《成华年鉴》2020卷与《方志成华》（第四辑）共三本地情文献出版发行。《成华战疫-成都市成华区抗击新冠肺炎疫情纪实》是全市区（市）县中率先编著出版的疫情防控专题图书，该书记录了在省委省政府、市委市政府坚强领导下，成华区委、区政府带领全区人民积极投入抗疫战斗的壮举。全书共130万字，分为工作创新、坚强领导、全面落实、各界响应、驰援武汉、大事纪要、排查统计七个部分。 ,成华新闻,新冠疫情,成华新闻,JBCd5vXz1,0,0,0,成华东客站管委会,男,四川,244,1066,无,360安全浏览器
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=1,2021-01-04 14:21,中国文艺网:《#为天使造像# 》：摄影小分队3小时集结完毕  2020年2月20日，抗击#新冠肺炎# 疫情的湖北保卫战、武汉保卫战战况正是激烈之时，中国摄影家协会主席#李舸# 带领“中国摄影家协会赴湖北抗击疫情摄影小分队”毅然出征武汉。此番逆行，主要任务就是要为全国各地驰援湖北的4.2万余名医护人员拍摄肖像。  http://t.cn/A6qud5kX ,李舸,新冠疫情,李舸,JBCd3rRo2,0,0,0,中国文艺网,男,北京,919,74617,无,微博视频
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=1,2021-01-04 14:21,岳西发布:1月4日安徽省报告新冠肺炎疫情情况1月4日安徽省报告新冠肺炎疫情情况 安庆·岳西县  显示地图 ,,新冠疫情,,JBCd3ahT4,0,0,0,岳西发布,男,安徽,354,5385,无,iPhone客户端
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=1,2021-01-04 14:21,香港中通社:【市民隔離新政前急赴內地　深圳灣口岸大排長龍】據點新聞報道，深圳市收緊對香港經深圳灣口岸入境人士的防疫要求，明早10時起，除獲豁免入境隔離的人，其他入境人士除了要持有24小時內的核酸檢測陰性結果證明以外，亦必須出示14天集中隔離醫學觀察期間將入住的酒店預約確認單。不少市民趕在新政策生效前回內地。今日（4日），深圳灣口岸香港入境內地的方向大排長龍，警員架起鐵馬及拉起膠帶以維持秩序。早上9時許，在元朗西鐵站前往深圳灣口岸的巴士站，已有30多人帶同行李，等候乘坐首班車；進入深圳灣口岸前的一段公路亦出現車龍，現場交通擠塞。根據入境處數字，自深圳當局公布要求入境人士提前預約檢疫酒店，香港經深圳灣口岸往內地的人次逐漸增加，由12月29日的1894人次上升至1月2日的近3000人次，增幅達五成八。深圳市政府口岸辦公室表示，截至1月2日晚，未來4日共有3270間酒店房間已經被須檢疫旅客預訂。（圖源：點新聞）#香港疫情# #关注新冠肺炎# 原图 ,关注新冠肺炎,新冠疫情,关注新冠肺炎,JBCd0ts2C,0,0,0,香港中通社,男,香港,394,395451,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=1,2021-01-04 14:21,惠州日报:【东江实验室建设实施方案通过专家论证】先进能源科学与技术广东省实验室（东江实验室）2020年度工作总结会暨《建设实施方案》论证会日前在惠州召开，包括9位院士在内的多位能源科研领域的资深专家参加会议，东江实验室建设实施方案顺利通过专家论证。专家组指出，东江实验室建设实施方案的研究方向设置合理，发展定位准确，目标明确，意义重大，提出的技术路线和方法切实可行，应尽快按实施方案推进建设。今年以来，东江实验室克服新冠肺炎疫情的不利影响，坚持高起点高标准，坚持科技创新和体制创新双轮驱动，各项建设取得阶段性成效。东江实验室河桥园区动工建设，潼湖园区完成装修并投入使用。东江实验室已确定内部组织架构，出台并试行实验室管理制度，已引进首批12个研究团队。接下来，东江实验室将继续加强建设，推动基础与应用基础研究，在先进能源领域持续开展科学研究，结合惠州的产业基础和区位特色，注重在建设和研发过程中推进核心技术的转移转化，为做大做强离子产业，做优石化能源新材料产业提供强有力的科技创新支撑。（记者刘豪伟 通讯员刘传和） 原图 ,,新冠疫情,,JBCcYogyC,0,0,0,惠州日报,女,广东,910,208771,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=1,2021-01-04 14:21,辽阳身边事:【#辽阳#市疾病预防控制中心发布紧急健康提醒】 广大市民朋友：截至1月3日，国内疫情重点管控地区和重点关注地区分别为：重点管控地区：黑龙江省黑河市爱辉区；辽宁省大连市金普新区，大连市高新区凌水街道大有怡园社区，大连市沙河口区星海湾街道星海公园社区；北京市朝阳区酒仙桥街道，顺义区；辽宁省沈阳市于洪区北陵街道宏达社区、华润橡树湾二期、中海城星座小区，沈阳市皇姑区基业百花园小区、化工小区、昆山西路中海寰宇天下天悦园区、昆山西路向工小区东区、亿海阳光一期、溪水街1号楼、明廉路博客地带小区、舍利塔街道世纪学府、明廉街道亿海阳光二期，沈阳市铁西区北二东路沈铁兴工佳园小区；河北省石家庄市藁城区。重点关注地区：黑龙江省黑河市；辽宁省大连市；北京市朝阳区；辽宁省沈阳市于洪区；河北省石家庄市。为有效控制和降低疫情传播风险，保障全市人民群众生命安全和身体健康，特就疫情防控相关事宜紧急提醒如下:1. 近14天内有上述重点管控地区旅居史的人员请第一时间主动向居住地所在社区（村）和单位报备情况，并按照辖区安排，到市或县集中隔离点进行集中隔离医学观察，期间进行2次核酸检测，隔离期限至来（返）辽阳满14天。2. 近14天内从上述重点关注地区来（返）辽阳人员，请第一时间主动向居住地所在社区（村）和单位报备相关情况，出示7日内核酸检测阴性证明。如无法提供核酸检测阴性证明，需第一时间接受核酸检测，我市提供免费核酸检测。来（返）辽阳人员要同时做好14天居家健康管理，注意自身健康监测，如出现发热、干咳等不适症状，应做好防护措施，避免乘坐公共交通工具，尽快到就近的医疗机构发热门诊就诊，就诊时请主动告知医生旅行史、接触史，便于及时排查。3. 建议广大市民近期如无必要，不要前往上述重点管控地区及周边地区。4. 境外人员集中隔离14天、解除隔离来（返）辽阳后，要严格执行7天居家隔离观察（不具备居家隔离条件的，实行集中隔离），第7天进行一次核酸检测，结果为阴性者接受21天健康管理，并在来（返）辽阳第28天再做一次核酸检测。5.目前正处于冬季呼吸道传染病高发季节，新冠疫情风险增加。请广大市民朋友积极落实疫情防控措施，进入公共场所要主动提供健康码，科学佩戴口罩，及时洗手、常通风，保持一米社交距离；注意饮食卫生，生熟分开、烧熟煮透，倡导使用公筷、公勺，减少交叉感染。辽阳市疾病预防控制中心2021年1月4日 原图 ,辽阳,新冠疫情,辽阳,JBCcPwjOt,0,0,1,辽阳身边事,男,辽宁,126,220062,无,新浪微博4G版
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=1,2021-01-04 14:20,网信延长:春节为什么不能像国庆一样流动？　1月1日，中国工程院院士张伯礼表示，去年国庆节，“几亿人口在流动都没有事儿”，但春节期间流动，“不行”。　　张伯礼表示，因为现在正处于寒冷季节，非常适合病毒生存。张伯礼称，现在到2月底，防疫非常关键，挺过去，迎来春暖花开，加上新冠疫苗普遍接种，疫情防控形势基本就会大好转，乃至迎来决定性胜利。http://t.cn/A6qmRWMQ ,,新冠疫情,,JBCcLoau3,0,0,0,网信延长,男,陕西,35,1332,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%96%B0%E5%86%A0%E7%96%AB%E6%83%85&advancedfilter=1&starttime=2020-12-05-06&endtime=2021-01-03-07&sort=time&page=2,2021-01-04 14:20,网信延长:春节为什么不能像国庆一样流动？　1月1日，中国工程院院士张伯礼表示，去年国庆节，“几亿人口在流动都没有事儿”，但春节期间流动，“不行”。　　张伯礼表示，因为现在正处于寒冷季节，非常适合病毒生存。张伯礼称，现在到2月底，防疫非常关键，挺过去，迎来春暖花开，加上新冠疫苗普遍接种，疫情防控形势基本就会大好转，乃至迎来决定性胜利。http://t.cn/A6qmRWMQ ,,新冠疫情,,JBCcLoau3,0,0,0,网信延长,男,陕西,35,1332,无,微博 weibo.com
