source,public_time,content,topic,url
百家号,2021-01-04,众所周知，日本政府为了催婚，出台了很多鼓励措施。类似于拉长产假，增加育儿假，再给补贴。除了这些积极的引导，也有变相的打压，比如不结婚就会变得孤苦伶仃，不结婚要受到社会的指责，千言万语汇成一句话，结婚吧。当然，催婚这股热潮的背后，也少不了影视剧的助阵，据不完全统计，跟婚恋题材沾边的日剧连起来可以绕地球一圈。其中不乏一些震惊全家的设定。比如过了30年还没结婚就要被扔进学校里回炉再造，比如公务员到了适婚年龄，要按照要求和指派的对象结婚。今天要推荐的这部日剧更狠了，44岁中年人和24岁的年轻人结婚？没事，国家很支持――《年龄差婚姻》年の差婚你能接受年龄差婚姻是多少岁？像刘强东和奶茶妹妹，差了17岁。而吴奇隆和刘诗诗也差了17岁。随着社会发展，10岁左右的年龄差还是比较普遍的。但甚少有差到20、30岁的，毕竟年代感都差出来了。而且在我们的观念里，这种年龄差异巨大的婚姻也特别容易被外人说三道四，比如老牛吃嫩草，要么就是sugardaddy。但在日本，差20岁怎么了，支持，能结婚的都支持。话说，舞衣子是一个刚刚毕业的大学生，家里贼拉有钱，称得上是白富美。按理说，吃穿不愁，精神又富足，这种家庭是绝对不会诞生恨嫁这个词汇的。但舞衣子不同，她的母亲很早就去世了，父亲掌管着公司忙里忙外，一不小心就得了一场大病。人到中年，身体健康就变得越来越重要。从鬼门关走了一通的父亲，看着女儿还一脸不谙世事的样子，就突然做出了一个大胆的决定。给女儿相亲。只有女儿的下半生有着落了，这个做父亲才能彻底放心。相亲是日本目前很流行的配对恋爱方式，其中不乏一些精英人士。大家坐在一起交换信息，合适就留下，不适合就离开。效率极高。舞衣子也谈过不少恋爱，但对方不是吃软饭的就是一事无成的小混混，实在难等大雅之堂。看到父亲苦口婆心的神态，舞衣子也不好拒绝，于是就答应了这个要求，不就相亲嘛，去呗。只是她万万没想到，父亲让她去见的，竟然是和父亲年龄差不多的公司客户。44岁，还离过婚。20多岁的白富美，清清白白，长得还甜，怎么可能看得上44岁还离过婚的男人？可是编剧就让他们一见钟情了。当然，这男的除了有钱，还很帅，44岁的身材不输小鲜肉。饰演男主的就是竹财辉之助。演过剧场版的《假面骑士》，还在去年《东京男子图鉴》里演过寻找人生轨迹的佐东翔太。你以为44岁的离异男都是大腹便便，但人家不但不是，还很绅士。虽然只是相亲这短短的几分钟，舞衣子就被他迷得神魂颠倒了。然后就同意了第二次约会，而且为了照顾到这位70后，90后的舞衣子也是没少费心思。比如向年长的同事打听怎么应对年长的男友。同事的回应特别有意思，别去卡拉OK，会尴尬。因为对方点的歌跟你听的歌，完全不是一个年代的。另外就是滚床单，40多岁的年纪，身体上难免会有一些吃力，要格外注意这点。所以不要在两个人亲密时，表现得欲求不满，这会伤了对方的自尊心。这种跨了两个10年的恋情，注定是不平凡的。不过舞衣子已经铁了心要跟大叔走下去，第二次约会就表现得极为主动。大叔也被吓了一跳，最后直接求了婚。然后舞衣子同意了！他们就这样闪婚了！只能说日本人也太丧心病狂了吧，为了催大家结婚，拍同龄人甜甜的偶像剧已经满足不了他们了，得用这种年龄差来做实验。仿佛在说，看吧，20岁也不是问题，大胆追求爱吧。两个人闪婚之后，还安排了一场极为羞耻的床戏，一个是没啥经验的小女生，一个是经验老道的都能当他爸爸的大叔。有些场面，脑补就好。婚后为了体现年龄差所带来的优越感，该剧用了大量戏份来描述大叔的细节和体贴。比如早上舞衣子一醒来，早饭就已经准备好，而且大叔连晨跑都已经结束回来了。舞衣子享受的不仅是妻子的待遇，还是女儿的待遇，别提多舒心了。不过两个人之间还是有个定时炸弹，大叔的前妻。说来也奇怪，大叔从来不提他的前妻，跟舞衣子闪婚的时候也没说怎么结束的上一段感情，就轻飘飘的一句“性格不合”。就跟现在明星动不动官宣分手一样，性格不合。只是这四个字真的有太多可以解读的空间了，不想不知道，一想就睡不着觉。结果，墨菲定律实现了，前妻直接将电话打到了大叔的手机上，而且一开口就是很熟络的要留宿。惹上这么一个不拿自己当外人的前妻，舞衣子看来要面对不少糟心事。然而更糟心的还在后头，闪婚固然浪漫，但对于躁动不安的年轻人来说，突如其来的束缚怎么可能就轻易将自己套牢。当年轻的肉体开始出现在四周，当前妻总是神出鬼没，这段相差20岁的婚姻又该何去何从？不过作为一部婚后小甜剧，即使是20岁的年龄差，也请不要指望该剧有什么发人深省的台词和对白。国内的甜宠剧泛滥，那是平台为了圈钱。而日本的婚后甜宠泛滥，那可是光明正大的为了催婚。看了会心动，那就对了。只要能让人感觉到结婚的甜蜜从而产生结婚的欲望，别说20岁，估计将来30岁的年龄差都不是问题。,"为了催婚,日本连父女恋都开始拍了!",https://baijiahao.baidu.com/s?id=1687924131405327526&wfr=spider&for=pc
百家号,2021-01-04,日本生活系列最后一篇，集齐全套开启全新生活！最近“打工人”这个词可谓大火：除了含着金钥匙出生的极少数，谁还不是一个普普通通的打工人呢？这个词来形容在日本打工的状态真的是太合适了。要在异国他乡自食其力，就老老实实做个打工人吧：アルバイトをしませんか？生活在日本之一：搭个自己的窝――如何在日本找房子生活在日本之二：开张自己的卡――留日金融服务相关生活在日本之三：办个自己的手机――日本的通讯服务生活在日本之四：治好自己的病――在日就医的感受生活在日本之五：找个自己的工――如何能找到小时工（图1：日本最大连锁餐饮公司的招工主页上的学生特集）问题一留学生必须打工吗？对于打不打工这个问题，基本取决于经济状况。大家可以参考我之前的两篇文章，对日本留学的费用和收入来源做一个总体的了解。[让大数据说话！在日本留学到底要花多少钱？][日本自费留学生的资金都从哪里来？JASSO大数据有话说！]这两篇中就“留学生是否要打工这个问题”，我的大致意见是：首先还是要以学业为主，争取多拿奖学金解决生计；其次提高日语水平，打工也争取找时薪高一点的工；再次，鼓励大家利用打工机会多接触日本文化和社会规则！相信看过《令人心动的offer2》面试篇和第一期的观众都对“unreal”哥瞿泽林留下很深的印象。在面试篇中，由于在美国的硕士留学经历，面试官们很自然地想考验下他的英文能力，于是要求他用英语讲讲南加州的生活。没想到他连说三个“Actually，卡壳了几秒后接了句“lfeelmylifeinCaliforniaisalittlebit….”后想了半天没说出形容词。看到这一段时，我感到非常遗憾。个人觉得不流利的语言可以代表他留学生活的不够投入，没有真正融入到异文化的氛围中。（图2：令人心动的offer面试现场）在现实生活中，如果我面试一个留日回来的学生，我会对他的日语能力和对日本文化的认知力有所期待。学生的角色在责任上是自由的，而在工作中作为一个生产者，获得报酬就要付出相当的努力和承担一定的责任。打工中社会角色的变化带来的锻炼，会成为日后职业发展的一笔财富~问题二怎么找工作？到日本半年内可以以安顿生活为主，半年后陆续可以开始找工作了。再次提醒各位：打工请先办理好《资格外活动许可证》，并在日本法律允许范围内进行。以最常见的餐饮业为例，给大家介绍一下找工作的几个流程。1.收集募集信息。可以通过街边看板，学校的广告板，免费的townwork杂志以及连锁店的主页等找到招人信息。注意看一下地点是否方便，时间是否合理。对于日语是否能达到工作要求，自己不必多考虑，面试时正常表现就可以了。也可以通过朋友介绍了解信息。2.准备一份履历书。日文履历书在便利店就可以买到，填写自己简单的经历即可。对于外国人留学生，在本国的就学情况可以不写，直接写来日本以后的学校就可以了。3.联系面试。虽然可以在网站申请，但是更多时候打电话联系的效率会更高。拿起电话的瞬间还是会很紧张的。第一句话该怎么说呢？比如：すみません、アルバイトを,"日本留学生活篇:学习之余,找个兼职吧~",https://baijiahao.baidu.com/s?id=1687923666990388611&wfr=spider&for=pc
百家号,2021-01-04,日本选美大赛，52岁阿姨得了冠军，她是如何做到的相信所以女性都会有一件相同得到的都有相同的苦恼，那就是随着岁月的流逝人都会变老，容颜也会遭受岁月的侵蚀，随着出现皱纹，出现褶皱，这是广大女性都不愿意看到的事情，那么有没有什么办法让自己延缓衰老，皮肤依然紧致呢？当然有了，那么小编先向大家介绍一位这么一位女性，虽然52岁高龄但是皮肤依然紧致犹如刚步入20岁的年轻女性一样。那么这位大龄女神是谁呢，她就是来自日本的坂村薰，通过小编分享的图片大家可以看出，坂村薰的脸上没有一丝皱纹，丝毫不像五十岁的人，不仅皮肤光滑而且身姿妙曼，前凸后翘凹凸有致，那么就有人问了，她是如何做到的呢，据了解坂村薰平时不仅热爱健身而且作息时间及其规律，饮食习惯也非常好，不仅如此据说坂村薰在之前的日本选美大赛上得到了冠军，大出风头，同时也因此在网络上大红了一把，到这里大家肯定都迫不及待的想要了解一下这位五十岁的女神是怎么做的了吧，那小编就不调大家胃口了，接下来小编就为大家介绍一下她是如何做的？当时这场比赛选手的据可靠消息称坂村薰平时每天早上都会抽出一两个小时来进行一些简单的健身锻炼，每天的饮食也是比较清淡的，虽然清淡但是都是一些高蛋白高营养的食物，因此也为她锻炼好的身材打下了良好的基础，那么有人说了平时工作太忙根本没有时间到健身房锻炼，那么今天小编就为大家介绍几项不需要去健身房也可以得到很好锻炼的健身小技巧第一腿部拉伸在比赛的时候她精致的锁骨，还有毫无赘肉的性感身体令无数人佩服，很难相信她是一位52岁的阿姨了，满满的少女感甚至是秒杀很多的年轻人，再搭配上她独有的成熟女性的魅力瞬间就碾压全场，如果大家想要跟她一样成为冻龄女神的话，就赶快运动起来吧。一、拉伸腿部找一个瑜伽垫，平躺在瑜伽垫上用一件简单的健身，器具拉伸绳，固定在脚部，双手向上拉伸，脚步也向上拉伸，。推荐数量每天3组每组20个。第二站姿拉伸这个动作可以减少胳膊上的赘肉，直立站在瑜伽垫上，脚部踩住拉伸绳，手臂向上提拉，推荐数量每天做3组每组20个和第一个一样平躺在瑜伽垫上，同样固定住拉绳，进行拉伸推荐数量每天3组每组20个想要拥有好的身材不是靠说出来的，所以大家还要每天坚持才能拥有好的身材，自律，坚持，这是成功必不可少的秘诀,"日本选美大赛,52岁阿姨得了冠军,她是如何做到的",https://baijiahao.baidu.com/s?id=1687923478047968535&wfr=spider&for=pc
百家号,2021-01-04,当地时间4日，日本首相菅义伟表示，日本首都圈的东京都、,"由于形势严峻,日本首都圈或将在本周内再次进入紧急状态",https://baijiahao.baidu.com/s?id=1687922788755895993&wfr=spider&for=pc
百家号,2021-01-04,了解三农大百科，来自我们身边的农村事，大家好，我是乡村小小欣！和你们一样关注农村事件。偷窃中方疫苗的日本高层、外媒：真香了…随着全球新冠病毒形势的恶化，各国对新冠疫苗的需求也越来越强烈，特别是感染情况较严重的西方国家，美国辉瑞疫苗在安全性方面已开始全面普及，但在美国和英国都出现了多种新冠疫苗引起的不良反应，这让外界重新审视西方国家的疫苗接种情况。此外，美国辉瑞疫苗和莫德纳疫苗对温度的要求都比较高，零下70度的环境可以保证疫苗的安全和有效，而且这种苛刻的条件并非所有国家都能达到，同时疫苗的推广成本也会大幅增加。根据外媒1月3日的报道，一些日本权贵已经放弃美国疫苗，偷偷接种我们的疫苗，事件曝光后，东京民众对此大骂一片，因为日本当局对外宣称会继续等待美国疫苗，而没有对外承认接种我们的疫苗，然而事实却是民众被打上了烙印，有权有势的日本高层早已接种了安全而有效的中方疫苗，外媒直言，这真是大实话，日本权贵的身体果然比嘴上说的诚实。据报道，日本国内对中方疫苗早已垂涎已久，早在2020年11月就有日本人通过黑市等走私渠道获得中方疫苗，而日本首相菅仪伟则接种了西方研发的新冠疫苗，也就是说，除了平民之外，日本权贵们都已获得了绝对的免疫抗体，不必担心被新冠病毒感染，这也是日本病毒感染迟迟得不到控制的根本原因，毫无疑问，这对民众极为不负责任。为了避免确诊患者而不进行化验，日本成为发达国家中化验总数最少的国家，迄今化验总数达438万人次，占日本人口的4.7%。因为日本医院提高了检测标准，所以许多未达到其要求的新冠状动脉病患者，根本就得不到检测的机会，而这些人在等待中又把病毒传染给了更多人。这种传播方式，加速了日本国内疫情的恶化，尽管在美国确认感染新冠病毒的数千万人似乎很震惊，但在日本国内实际确诊病例的数量如果曝光，将更令人震惊。日本当局先前证实，在国内发现了英国的变异毒株，这种病毒的传播速度提高了70%，一旦在日本传播，国内确诊的人数将在短期内迅速增加。日本权贵没有逃脱“真香法则”，他们注射我国生产的疫苗，表明他们对我国疫苗的信任多于对西方疫苗的信任。对于疫苗外流事件，我国有关部门已明确表示，将高度重视疫苗生产和流通的安全问题，严格实行疫苗全过程管理，防止外流事件发生。本期的内容就到这了，你有什么想法？评论区一起讨论下吧！记得关注我哦！本文由百家号作者乡村小小欣首发，未经许可不得转载！,"日本权贵纷纷偷打国产疫苗,引发东京骂声一片,俄:身体比嘴诚实",https://baijiahao.baidu.com/s?id=1687922516531474831&wfr=spider&for=pc
百家号,2021-01-04,每年都有一堆新动画上映，其中优质的作品也有不少，但并不是每部好番都能获得广泛好评的。总有那么一些番剧因为这样或那样的原因，明明很好看，但就是不火。所以，日本那边就有个网站统计出了一个“应获得更好的评价”的年度动画排行榜，给动画打分的粉丝都是每周收看超过25部动画的资深宅，他们一起列出这样一个榜单――里面排名一的是1月番《异度侵入》――说起这部番也确实是不得了，剧情够硬，节奏够快。那个由“杀意”构成的世界着实让人大开眼界，侦探们可以进入由杀人犯的“杀意”所构造的世界，从中找出与现实案件有关的线索。故事的立意也非常深刻，里面每个案件都是由“爱意”串起来的，里面的犯人甚至主角本人都对某种事物有一种执拗的“爱”，在某种情况下，“爱意”可以转化为“杀意”，而一旦发生转化，后果不堪设想。这个故事的精彩相信大家都有所耳闻，毕竟它在我们国内也爆了一下，B站上的播放量都有1个亿了。残念的是，这部作品在日本那边评价一般，有不少人说看不懂，结果就弃了番，如果那些人能一直看下去，它应该是会出现在“2020年好评动画榜”里吧。除了榜单上的这些，我个人觉得2020年应获得更好评价的动画也有不少。像是同为1月番的《别对映像研出手》――这绝对是一部看完让人上头的动画啊。故事很简单，就是三个妹子凑一块来做动画的故事，但这故事的表现力实在是太强了，里面每一集都有会有个“画风突变”的片段，随着女主兴高采烈地讲述自己的设定，三个人一起进入幻想中的世界。那个世界很简陋，画面就像涂鸦，上色都不全，但肆意挥洒的想象，却是最天马行空的。从这里面你能看到，疯狂的脑洞是动画的核心啊~~同样惊艳的，还有7月份的《大欺诈师》――如果说《映像研》最让人印象深刻的是它的动画表现力，那这部作品最出彩的就是它的剧情了。这动画顾名思义，聊的就是聊欺诈师的故事，在第一集的开头短短2分钟里就给观众展示了一轮主角的骗术。但强中自有强中手，骗术超强的男主在后面10分钟里就被人从日本骗到了洛杉矶，被迫参与一场超级大骗局。整个故事看下来有《骗中骗》的赶脚，不看到最后，真的是猜不到主角们的算计啊~~如果想看温情一点的，还有《隐瞒之事》――用一句话精准概括这个故事，就是新手父亲与懂事女儿的故事。老爸是个画小黄漫，但为了给女儿一个健康的成长环境，豁出了老命把自己的职业隐瞒了下来，天天假装自己是白领，穿着西装革履出门，到了工作室就换成大裤衩。想想也知道，前后画风差距这么大，隐瞒过程总是会多灾多难，也出一堆搞笑的事。但你看到后面才发现，并不是父亲隐瞒得很好，而是女儿本身就很懂事，父亲在给女儿编织一个善意的谎言，但女儿何尝又不是呢？,"日本统计出“应获得更好的评价”动画榜单,《异度侵入》排名第1",https://baijiahao.baidu.com/s?id=1687876566292979129&wfr=spider&for=pc
百家号,2021-01-04,日本羽球名将桃田贤斗的2021年开局又遇到波折。在准备跟随日本队出征泰国前，桃田贤斗在机场被确诊感染新冠，他不得不放弃前往泰国。整个日本羽毛球队也取消了前往泰国参赛的安排。按照计划，日本队原本要在3日从成田机场出发前往泰国。可在离境前所做的新冠检测中，桃田贤斗的检测结果呈阳性，他被确诊感染了新冠，他只能放弃在泰国的比赛，日本羽毛球队全队也取消了前往泰国的安排，退出了接下来的三项赛事。桃田贤斗是当今羽坛一哥，连续两届世锦赛拿到男单冠军，他被视为东京奥运会的男单夺冠大热。可是去年一月份，桃田在马来西亚大师赛夺冠后前往机场离开时却遭遇死亡车祸，他所乘坐车辆的司机当场死亡，桃田也在车祸中受伤。车祸后桃田很快返回日本并接受进一步检查，他被查出右眼窝骨折，不得不接受手术，这给他征战奥运会蒙上一层阴影。所幸东京奥运会因为疫情被推迟到2021年，这给了桃田更多的恢复时间。2020年12月，桃田在日本锦标赛复出，他一路闯入决赛并战胜了常山干太卫冕男单冠军。这次夺冠让桃田信心大增，他非常期待一月份能在泰国有更好的表现。可是造物弄人，桃田在出征前被确诊新冠，他无法前往泰国参赛。据日本羽协介绍，在接受检查的日本队球员中，仅有桃田一人呈阳性反应，他目前并无任何不适的感觉。看起来桃田似乎与奥运会有些八字不合。2016年里约奥运会，处于上升期的桃田就被视为希望之星，有实力去冲击佳绩。可他在奥运会前参与了涉赌事件，结果遭到了日本羽协的禁赛而无缘奥运会。重回赛场后，桃田更加努力成为当今羽坛第一人，可在东京奥运会前他又遇到各种波折，这也给未来增加了更多不确定性。事实上，在2021年第一天，桃田曾按照习惯返回家乡并前往当地的神社许愿，祈求自己能在奥运会上圆冠军梦。可他现在却感染新冠，这让他的奥运之旅又多了波折。桃田贤斗感染新冠，这再次说明目前东京甚至日本的疫情相当严重。近几天东京的日确诊人数已超过千人，政府也开始建议市民晚上八点后不要出门，餐厅在八点后不要营业。如果东京的疫情短期内无法控制，这将给奥运会的举办蒙上阴影。东京和日本方面为奥运会投入巨大，如果现在他们无法控制国内疫情导致奥运会被取消，他们将将损失惨重。按照世界羽联安排，一月份赛事会在泰国重启，将安排两项超级1000赛事和超级赛总决赛。中国队本来也准备全主力参赛，但泰国疫情近期爆发，这让中国队不得不在出征前选择退赛。日本队现在情况类似，他们也在出征前退赛，泰国三项羽联赛事的观赏性将大打折扣。,"劲爆!日本一哥神庙许愿后率队出国比赛,在登机前被确诊感染新冠",https://baijiahao.baidu.com/s?id=1687921912775962802&wfr=spider&for=pc
百家号,2021-01-04,中国商务新闻网日本政府近日公布实现2050年“碳中和”目标的工程表――绿色增长战略。该战略对能源、运输、制造、居家及办公的14个重点领域提出了具体计划目标和年限，希望以低碳转型带动经济持续复苏。该战略的具体内容与日本政府此前透露的一系列“脱碳”政策可谓一脉相承。期望带动经济复苏2020年前两个季度，日本经济按年率计算分别实际下滑2.1%和29.2%，二季度经济下滑幅度之深成为有可比统计以来最大降幅。第三季度日本经济虽然出现创纪录升幅，实际增长22.9%，但预计接下来经济复苏的步伐会比较缓慢。因此日本政府期望借绿色增长战略能刺激民间技术革新和投资。绿色增长战略预计使日本在2050年将再生能源发电占整体发电量比重提高至50%~60%，占比将达现行3倍。据日本政府估算，至2030年该增长战略的经济拉动效果将达到年约90万亿日元，2050年将达到年约190万亿日元。为实现这一目标，日本政府表示将向企业提供税收优惠和其他财务支持，并设立一个2万亿日元的绿色基金，以支持民营企业对绿色技术的投资。日本首相菅义伟一直力推中长期增长战略，通过设立基金等一系列扶助手段引导和推动产业经济向零排放的绿色经济转型。在2020年10月菅义伟就承诺，到本世纪中叶，日本将实现温室气体零排放，强调在防止出现暴发性感染新冠病毒的基础上重启社会经济活动，促进经济早日复苏。菅义伟认为，投资绿色经济是提振日本经济的第一要务。低碳转型挑战重重结构转型的推进势必艰难。在汽车领域，日本的绿色增长战略提出，最迟至21世纪30年代中期，乘用车新车销售市场将禁售传统燃油汽车，新车全部变更为电动汽车、油电混合车、插电式油电混合车、燃料电池车等新能源汽车。争取到2030年将汽车电池成本削减一半以上，至每千瓦时1万日元甚至更低。不过在日本这个每年仍生产数百万辆汽油车的国家，这一计划势必面临着来自汽车行业高管的阻力。此前，丰田汽车社长丰田章男表示，日本还没有条件在2035年停止销售燃料汽车，如果日本政府想要在2035年停止销售燃油车，那么就必须增加投资，增设基础设施，最重要的是保证电力。在绿色增长战略里，日本政府也提出降低充电相关费用，使电动汽车用户的负担降至跟燃油车用户同样水平。不过日本政府此次暂时没有对此设定目标，表示将争取在2021年夏天前后提出目标。再生能源部分将着重离岸风电。日本政府计划在2030年将离岸风电导入量提高至1000万千瓦，2040年进一步提高至3000万~4500万千瓦，以最高值4500万千瓦来看，相当于45座核电厂发电量。而为了要让2030到2035年的固定式离岸风电发电成本下降，日本政府也打算加速国产化进展，本土供应链的设备必须要占60%。尽管日本有大力发展可再生能源的决心，但也面临着可再生能源发展的困境，森林和多山的地形极大限制了日本太阳能和风电的发展空间，使得日本成为全球清洁发电成本最高的国家。因此，日本向清洁能源过渡是一项艰巨的挑战，不仅要对全国能源基础设施进行全面改革和升级，还需要在可再生能源政策方面予以更为明确的激励和支持。非化石能源时代渐近“碳中和”意味着一个以化石能源为主的发展时代开始走向结束，一个向非化石能源过渡的时代来临，将对全球产业链的重组、重构产生深刻影响。2020年7月，在欧盟宣布碳中和计划之前，已有30多个国家宣布碳中和目标。全球重要的经济体，也就是占全球GDP的75%、占全球碳排放量65%的国家开始碳中和。中国明确了2030年“碳达峰”、2060年“碳中和”两大目标。拜登曾表示2035年在美国实现无碳电力，并在2050年之前使美国达到净零碳排放;欧盟还计划到2050年实现净零排放。在2020年12月，欧盟宣布到2030年将温室气体排放量至少减少到1990年的55%。亚洲发展中经济体新的煤电投资也正在迅速减少。从越南、印度尼西亚、菲律宾和孟加拉国的能源部门和政界人士所宣传的政策变化来看，2021年仅有25吉瓦的新煤电项目仍处于开工前的规划阶段。这与5年前计划的125吉瓦相比减少了80%。印度也大幅削减煤电项目，从2015年规划的238吉瓦降至30吉瓦。如今全球在碳中和的大背景下，正在进行新的国际合作、国际分工、形成国际标准。,日本掀开脱碳新政轻纱一角,https://baijiahao.baidu.com/s?id=1687922043469950810&wfr=spider&for=pc
百家号,2021-01-04,中国商务新闻网由于新冠肺炎疫情的再次扩大和变异新冠病毒的出现，各国不得不限制人员流动，甚至采取封区、封城的强硬措施。日本政府12月26日宣布，从本月28日起至2021年1月底，暂停来自所有国家和地区的新入人员，日本人和持有日本在留资格的外国人除外，此前实施的有条件免除回国后2周隔离期的措施也将收紧。日本这一限制出入境的新措施，将对本以疲弱的经济产生十分不利的影响。日本目前新冠感染和死亡人数虽少于欧美，但强力的限制出入境新措施对经济活动的影响巨大。目前政府已被迫紧急叫停全国范围的一系列消费补贴活动。据日本JTB综合研究所预测，2020年12月23日至2021年1月3日的日本国内旅游消费(包括餐饮及土特产购买费)将较封国前的估算减少3187亿日元，游客数较上年减少73%。处于旺季的旅游、餐饮、酒店、娱乐等相关行业遭受重大打击，为此政府将对订单被取消的旅行社及住宿设施等企业补偿50%的旅费。日本经济低迷，民众捂紧荷包谨慎消费。日本银行日前发布的季度报告显示，截至2020年9月底，日本家庭持有的现金和存款数额较2019年同期增加4.9%，增至创纪录的1034万亿日元(1万日元约合634元人民币)。由此看来新冠疫情持续，民众消费意愿下降。日本政府在疫情发生后向每人发放10万日元以拉动经济，然而从日本银行发布的数据看，这笔钱更多变成存款，而非用于消费。而且由于全球经济不景气、商品需求减少，连累日本出口下降。日本财务省此前公布的贸易统计报告显示，2020年11月日本出口额同比降幅由上月的0.2%扩大至4.2%。至此，日本出口已连续24个月同比下降。经济不振，税收锐减。日本日前召开了内阁会议显示，日本税收预计将比2020年度原本预算的减少9.5个百分点，约为57.4万亿日元。为了填补缺口，日本政府不得不发行大量国债。据统计，新发行的国债总额约为43.6万亿日元，政府借款占总收入的比例达到了惊人的40.9%。雪上加霜的是，禽流感也没放过日本的鸡鸭。2020年12月24日，紧邻日本东京的千叶县一家养鸡场检发现200多只鸡集体死亡，经检测确认为H5亚型高致病性禽流感病毒所致。这是2020年日本禽流感疫情暴发以来，首次蔓延到首都圈。发现疫情后，千叶县政府立即对该养鸡场116万只鸡进行扑杀处理。这一数量也创下了日本国内的最高值。自2020年11月初日本时隔近三年再次暴发禽流感以来，不到两个月时间疫情已经蔓延到13个县、共计32家养鸡场，累计扑杀460多万只鸡，扑杀总数也创下了历年新高。日本经济年底真是祸不单行。日本本土疫情增长很快，新冠病毒患者人数创新高，并且还发现了英国的变异新冠病毒在日本出现，境内外防疫形势格外严峻。如果疫情得不到控制，日本已被延迟的奥运会是否能在2021年如期举办?综上各种不利因素叠加，经济学家近期预测，日本第四季度实际经济增长率与此前预期相比将下行。,日本艰难应对经济困局,https://baijiahao.baidu.com/s?id=1687921779809479569&wfr=spider&for=pc
百家号,2021-01-04,俗话说，千里之行，胜读一读；万里之行，胜读一读，旅游可以开阔人的眼界，振作精神，观赏天下大好河山，旅行可以感悟人生，了解各地的风俗习惯，看到各地的奇人异事，大家好，今天的主题是：中国有个让美国和日本嫉妒的湖，价值3000亿美元。中国是世界上最大的国家之一，疆域辽阔，人口众多，自然地理环境极为复杂丰富，5000多年前，中华民族的祖先在土地上劳动、生活、繁盛，在漫长的岁月里，又在不断地开发，利用，改造周围的环境，湖泊的资源，如矿产，森林，土地和河流，在中国，湖泊可以说是我们很重要的自然财富之一。一般根据湖泊盐分含量的不同，湖水可分为淡水湖，咸水湖和盐湖三种，你们知道，在我国最大的内陆，咸水湖是青海湖，盐湖又称自信心耶鲁，察武错，自豪感错等，位于西藏自治区日喀则地区中巴县龙沟区仁多乡境内，藏地盐湖较多，但普遍看来，西藏盐湖的稀有矿产资源要比其他地区的盐湖更多，它是世界上蕴藏着锂，钾，铯等矿物资源的极少的盐湖。锂是银白色的金属元素，质地软而密度最低的金属，用于原子炉，轻合金，电池等，1990年，日本以锂为基础率先开发出了锂离子电池，上世纪90年代美国在全世界率先转换了信息化战略，锂是更重要的国家之一，也就是说，锂离子电池不是单纯的产业技术，而是信息产业和新能源产业的发展、现代、未来军事装备所必需的战略能源。但最近，中国科技队在西藏贾子夜盐湖发现了锂，经测量，世界上所有盐湖中锂的含量可以达到前两项，经济价值3000亿美元，约2.1万亿元，世界上几百万吨级以上的盐湖之一，它有锂含量高，开采成本低，工艺难等优势，西藏将为中国的战略安全贡献更多力量，成为中国的战略资源宝库。即使西藏的每个湖泊都有这样的故事，扎布耶盐湖隐藏得太深，似乎得不到神一样的照顾，现在科学研究表明，大约在200多万年前，贾夫也恰卡就属于龙格古湖，当时湖面分布广阔，湖面比现代盐湖高出100多米，后来由于气候干旱，湖水退化，龙格盆地从高高的湖中冲入低矮的湖盆，形成了茶树盆地，由于雨车最低，地下卤水的补给中溶解了一些盐类成分，形成了一个综合性缺水湖泊。自负盐湖资源十分丰富，实际上从风景上看，它毫不逊色于察加盐湖，这里地广人稀，是西藏旅游的旺季，但由于这里地广人稀，很少有人去，要想看到真正的西藏景色，这是一个很好的选择，湖面海拔4000多米，去时一定要注意高原反应。真心希望今天能把学到的内容都读到这里来，再次感谢大家，在此期间收到对内容的反馈，请您对文章观点的赞同与否，在您的真实想法、建议、批评、撰写的评论中努力做到每一篇都写得更好！这是网络照片，如侵权请予删去！,"中国拥有一个令美国和日本嫉妒的湖泊,价值3000亿美元",https://baijiahao.baidu.com/s?id=1687921708146894213&wfr=spider&for=pc
