source,public_time,content,topic,url
百家号,2021-01-04,随着2021年女排国家集训队名单的公布，大名单上基本都是熟悉的名字，但有几个是让人遗憾的就是老将接应曾春蕾落选，看来是与奥运无缘了，也许只能退役了。其他职位上都有三五个人竞争，唯独这个接应位置只剩一人龚翔宇，那么到底谁会成为候选人，或者成为接应的替补人员呢？八斗觉得这一个接应位置只能从19个人当中挑选出来担当了，我们大胆预测分析下：1、刘晏含刘晏含虽然是主攻位置，多年征战都是主攻方面，但是我们知道去年开始郎平教练就有意改造她成为接应，既可以打主攻也可以打接应，2号位和4号位都可以兼顾，但是从目前效果来说，2号位的效果不如4号位来得好，如果真的改造成接应，必须多加练习和突破下技术。2、栗,"中国女排接应只剩龚翔宇,候选人可能是张常宁、刘晏含,甚至朱婷",https://baijiahao.baidu.com/s?id=1687939991628309865&wfr=spider&for=pc
百家号,2021-01-04,在江门站首场比赛中，中国女排以3:0轻松击败德国女排，从而为比赛开了一个好头。本次比赛，郎道让朱婷和闫妮休息，派出李盈颖和张常宁搭档，副攻是袁欣悦和杨韩愈的双高拦网，中国女排也凭借净胜球优势轻松取胜。中国女排以发球和拦网赢得了首场比赛。在第一场比赛中，张常宁和李盈颖发球帮助中国女排保持领先，两人都直接得分，随着中国女排逐渐适应德国女排的扣球节奏，中国女排也继续利用拦网得分扩大领先优势，虽然中段被德国女排扳平，但最后时刻连续三个盖帽的比分仍然很低，帮助中国女排以25-19赢得首场比赛。第二场比赛，中国女排继续加强拦网，杨涵玉和袁欣悦再次展现网口的拦网力量，帮助中国女排反超比分，而德国女排在中国女排强大的拦网压力下不断犯错。德国女排的第二传接连三次传给洁英，随后德国女排的第二传传传给主攻，主攻也被挡出，因此中国女排继续利用拦网扩大领先优势，虽然德国女排在最后时刻也有发球得分，但由于落后太多，中国女排第二场比赛仍以25比16取胜。在第三场比赛中，胡铭媛代替杨涵玉，德国女排在两场比赛失利后只能加强发球，提高球队的得分效率，中国女排也利用发球影响她们的一传，德国女排在第一传中没有保证，情况下只能靠强攻得分，所以被中国女排挡下，所以中国女排利用拦网再次得分我们必须领先。随后德国女排出现了严重的牌轮，在情况下的一次传球波动中，中国女排再次取得领先。随后刘晓彤替换了场上的张艺谋常宁，李盈莹再次利用她的发球连得三分，她的发球也帮助中国女排打好了比赛的基础，此时倪特地代替王梦洁上场，用漂亮的传球帮助中国女排打出漂亮的进攻，以刘晓彤扣球，中国女排赢得第三局。德国女排在第一场比赛中也派出了全部主力，但在输掉第一场比赛后，德国女排也开始派出年轻球员，几乎每一个发球回合都会派出一名年轻球员，而年轻球员上场后明显表现一般，所以她们很难突破中国女排的拦网，她们只能依靠中国女排的得分失误，所以德国女排输掉了比赛。中国女阿里能赢得这场比赛的第一个原因是球队的拦网对球队帮助很大，中国女排的拦网得分上双多次形成有效拦网，因此德国女排的得分没有连续性。其次，中国女排的发球质量很好，李盈颖、龚、翔宇、张、常宁可以利用发球直接得分，同时破坏对手的一传。最后几名进攻队员状态良好，龚翔宇，张常宁，李盈颖，袁欣悦的得分效率非常高，因此中国女排轻松赢得了比赛。最后，赞扬王梦洁的辩护。在这场比赛中，王梦洁有很多精彩的防守，依靠准确的判断力和出色的位置帮助中国女排打出了不少扣球，正是后排的王梦洁出色的保证，使得前排的进攻更有把握，所以王梦洁也是取胜的关键。,无论是李盈莹还是张常宁大爆发,https://baijiahao.baidu.com/s?id=1687939904530598127&wfr=spider&for=pc
百家号,2021-01-04,最近，中国女排上映的电影《世界冠军》引起了外界的极大关注。女子排球队的精神感动了几代中国人，里约奥运会后又一次达到高潮。“冠军”上映后，女排的帅哥们经常露面，郎平所有的朱婷都出现了。在采访中，郎平谈到了自己对女排精神的理解。我要和你抗争到底，只要有一口气在，中国女排不是素食者。不害怕死亡，我知道退后一步是万丈深渊，我为什么不跳下去，我要向前冲。如果不死的话，就是玩儿生命。要想方设法，挖空心思，你要赢。更坚韧的人，更好地发挥，幸运就会对你微笑。拒不改正的，给予警告，并处以罚款；情节严重的，依法追究刑事责任。在东京奥运会推迟之际，我们要抓住机会恶补短板，专注提升自己。面对如此巨大的变化和考验，要静下心来，稳扎稳打，保持耐心，坚韧不拔。资料图：郎平和中国女排之所以能打动国人，是因为她们经受了太多的磨难，比如五冠王时期如何在落后的条件下与美国等强队顽强抗争，里约奥运会上如何在破釜沉舟中战胜巴西，一次次的艰难困苦造就了一支不可战胜的中国女排。除了郎平之外，中国女排当前最受关注的角色就是队长朱婷！在接过孙杨的接力棒，扛起了中国体育新的一面之后，很多人都在猜测，有谁这么幸运能得到她的芳心？最近，朱婷在直播中露面现身透露自己目前的感情状况，首次回应自己是否有男朋友的问题，虽然还没有具体人选，但大婷很开心，表示自己正在努力。说起朱婷所喜爱的男人类型，很多球迷都知道她是黄晓明的忠实粉丝，如今大婷已经家喻户晓，她和黄晓明也成了现实中的好朋友。之前黄晓明还和大婷开心地合照，为了不让1米8的晓明显得矮小，主动弯下腰，所以照了这么一张照片。不知道将来大婷的男朋友，会不会和晓明一样帅？,"朱婷透露感情现状,郎平谈女排快哭了,我也不是吃素的",https://baijiahao.baidu.com/s?id=1687939245812159676&wfr=spider&for=pc
百家号,2021-01-04,哈喽，大家好！我是张雪雪聊体育，每天带领大家看最新的体育新闻哦~喜欢请关注我呦！在三大球赛中，中国女排是唯一一支赢得世界冠军的球队，因此，它也受到了众多球迷的关注。中国女排精神在里约奥运会上获得女排冠军后，又在国内掀起学习女排精神的热潮。中国女排在今年的排球世界杯上以十连胜赢得了冠军，而在国庆节期间压轴出赛也得到了国人的认可。中国女排之所以能取得如此辉煌的成绩，这与郎平执教时的执教息息相关，郎平大胆使用新人，也正是因为如此，大量的新人，如朱婷、袁心,"再次执教美国女排,还是接受日本女排高薪邀请?郎平最终做出选择",https://baijiahao.baidu.com/s?id=1687938637920127648&wfr=spider&for=pc
百家号,2021-01-04,中国女排已经公布了最新一期集训的大名单，在这一份大名单当中，我们看到了非常熟悉的面孔，他们均是国家队的常客，因此，对于他们的入选，没有太大的意外，但是，也有一些意外和惊喜的地方，那就是两名国家队常客，接应曾春蕾和副攻郑益昕，均没有出现在这一次的大名单当中，令人感到非常遗憾。因此，他们也基本上告别了东京奥运会。同时，接应位置上，出现了一位黑马。那么，对于东京奥运会十二人大名单，究竟有谁呢？主攻位置上，有主攻朱婷、张常宁、李盈莹和刘晓彤，他们基本上已经确定为参加东京奥运会的主攻线。朱婷是中国女排的核心和主要得分王。张常宁攻防平衡，成为朱婷的最佳搭档。副攻位置上，袁心,"东京奥运女排十二人大名单!朱婷领衔出战,接应再现黑马球员",https://baijiahao.baidu.com/s?id=1687934934418705214&wfr=spider&for=pc
百家号,2021-01-04,如今距离中国女排集结仅剩2天的时间，而之前集训名单出炉之时，江苏女排有4人入选，可是被称之为苏门4国手的她们，有谁能够圆梦东京呢？笔者认为有2人几乎没有悬念，1人尚有竞争力，1人则是几乎没有机会。没有悬念的2人则是张常宁和龚翔宇，其中张常宁自从被郎平提至中国女排一线队以来，她的表现就有目共睹，尤其是之前里约奥运会之时，张常宁完美充当了奇兵的角色，当时主攻、接应一肩挑的她，曾在总得分方面高居全队第3，仅次于朱婷和徐云丽，虽然在东京奥运周期当中，张常宁遭遇了诸多非议，可是如今的她已然走出了伤病的困扰，甚至实现了技改，等到东京奥运会之际，张常宁依旧是朱婷首发对角的不二之选，甚至很有可能再和里约奥运会一般，主攻、接应一肩挑，为实现卫冕贡献自己的力量。而龚翔宇则是更加的没有悬念，她作为中国女排的主力接应，近年来几乎没有受到任何的威胁，甚至如今的中国女排当中，都没有龚翔宇理想的替补，未来的东京奥运会，龚翔宇的压力可想而知，至于龚翔宇的技战术，虽然进攻屡屡被外界所诟病，可是从龚翔宇国内联赛的表现来看，她并非是进攻不足，而是战术体系问题，近两个赛季当中，作为江苏女排进攻核心的她，依旧是国内顶尖的边攻手，只不过在中国女排战术体系当中，龚翔宇是任劳任怨的保障核心，为朱婷等人保驾护航。而仍有竞争力的一人则是刁琳宇，作为上赛季的最佳二传，刁琳宇时隔4年之后终于再度蜕变，传球稳定性大幅提升，传球思路等方面都有着不俗的发挥，如果单以上赛季来看，刁琳宇自然是比姚迪发挥得更加出色，可是奥运部署当中，这并非是个人的原因，还有整体的稳定性，尤其是刁琳宇和丁霞风格类似，再加上之前决赛第2场比赛的意外受伤，这令刁琳宇在奥运之争当中处于下风，虽然还有竞争力，可不能否认的是，如今的刁琳宇并不占优势。几乎没有机会的一人则是倪非凡，或许有人认为，倪非凡的表现十分出彩，完全可以效仿师姐龚翔宇，实现逆袭，对此，笔者早在之前就曾表示过，倪非凡还太过稚嫩，满打满算，上赛季只不过是倪非凡主打的第2个赛季，而且在面对恒大女排之时，倪非凡的波动十分明显，尤其是中国女排很有可能只带一名自由人参赛的情况下，倪非凡如果参赛的话，隐患实在是太大，一旦出现波动，那么郎平将无人可用，她依旧是属于未来。如此来看的话，江苏女排虽然是中国女排集训队的国手大户，可是4大国手当中，也只不过是张常宁和龚翔宇锁定了奥运席位而已，刁琳宇虽然还有竞争力，可依旧未能占据优势，至于倪非凡，她几乎没有机会。圆梦东京！江苏女排4国手之一尚有竞争力，1人几乎没有机会我是小来聊体坛，专注于分享体坛趣闻，欢迎读者踊跃评论、转发、参与赛事讨论！,"圆梦东京!江苏女排4国手之一尚有竞争力,1人几乎没有机会",https://baijiahao.baidu.com/s?id=1687932023358515727&wfr=spider&for=pc
百家号,2021-01-04,中国女排国家队公布的2021年第一次集训大名单中，其中朱婷、张常宁、李盈莹都是标准的大主攻。而接应位置是：龚翔宇、刘晏含、栗,和朱婷、张常宁有关!中国女排国家队3大接应竞争一个主力位置,https://baijiahao.baidu.com/s?id=1687928354744397449&wfr=spider&for=pc
百家号,2021-01-04,2020-2021赛季WCBA联赛落下帷幕，总决赛两轮战罢，内蒙古女篮连赢两场提前杀死比赛悬念，以2-0的总比分完胜新疆女篮，史上首次登顶WCBA冠军领奖台。虽然新疆女篮曾在常规赛期间力克内蒙古队，但决赛却未能掀起波澜只能屈居亚军。本赛季是内蒙古女篮征战WCBA的第二个赛季，为了向总冠军发起冲击，休赛期球队连引强援，除了广东女篮李月汝、黄思静和杨力维三大国手的加盟，还有来自山东女篮的国家队后卫李缘，球队主帅则是中国女篮的助教郑薇，因此内蒙古女篮的目标不言而喻，冠军是她们唯一的追求。16场常规赛，头号夺冠热门内蒙古女篮仅输一场，对手正是总决赛的对手新疆女篮。总决赛首轮较量，内蒙古队77-71成功复仇夺得冠军点，第二轮再次交锋，是内蒙古队一气呵成强势登顶，还是新疆女篮扭转战局强势翻盘？WCBA二年级新生内蒙古队未让人失望，她们成功顶住压力，最后时刻扼杀了比赛的悬念。首节黄思静飙中三分，新疆队的王丽丽突破还以颜色，李珊珊连得4分，内蒙古队开局7-3领先。双方拼抢激烈，防守都不遗余力，因此也导致了进攻屡屡遇阻，新疆队12-16落后4分的情况下，王丽丽2分建功，韩旭和吴迪联手送上三分大礼，首节战罢新疆20-23落后三分。第二节李珊珊和李月汝连续进攻得手27-22拉开分差，新疆队突然发力，吴迪三分得手，韩旭被篮命中，吴迪连投带罚不断建功带领新疆33-27强势反超。内蒙古队不甘示弱，李月汝、杨力维、黄思静联手发威之后以37-33重新建立起比分优势，杨力维三分建功，本节战罢内蒙古队44-39继续保持领先。易边再战双方仍打的难解难分，韩旭2分得手之后新疆47-46领先，邱思,"李月汝、杨力维、黄思静合砍73分,内蒙古女篮夺WCBA总冠军",https://baijiahao.baidu.com/s?id=1687924934744111392&wfr=spider&for=pc
百家号,2021-01-04,大家好，我是和你们一样爱好体育，每天关注体育新闻的【白鸽观世界】，跟着我带你们每天看最新资讯。中国女排主教练郎平已经续约，郎平将带领中国女排参加东京奥运会的比赛。在东京奥运会后，尽管球迷们还不知道郎平的具体动作，但绝大多数的球迷都认为郎平应该在东京奥运会后退休，因为郎平现在年纪已经比较大，再执教一支中国女排的可能性已经很小了。大多数球迷都在谈论郎平何时退休的问题。大家都有自己的看法都没有。一致的回答。最近中国女排队长朱婷参加了央视的一个节目，朱婷在节目中向大家透露了很多不为人所知的消息，比如朱婷对中国女排主教练郎平退休一事的回应。中国女排队长的回答让球迷们感到有些意外在被问及郎导在东京奥运会后是否会退役时，朱婷表示：“我们也听说过，但是我们也不知道是真的事还是假事。由于从郎导来到球队的第一天，我们就知道她的伤势很严重。她告诉我们，每天早晨只要起床，身体就会不疼了，她会很开心的。因此，我们也希望她能保持健康。就算她走了，我们也会经常聚在一起，聊排球啊！」不料中国女排队长朱婷也不知道郎平退休这件事的真假。作为中国女排的主教练，郎平对于中国队的作用是非常明显的，所以球迷们也希望郎平能继续执教中国女排。朱婷并未否认郎平继续执教的可能性，因此一些球迷也在猜测事情可能发生了逆转，郎平有可能继续执教。在主持人撒贝宁询问关于郎平执教东京奥运会后退役的传闻时，朱婷首次回答了这个问题，中国女排队长说：“我们也不知道是真的还是假的，我们也没有直接问。郎导身有伤，做了手术，郎导说，每天早上起来，可以有一天身体部位不疼了，她是很高兴的。在排球场上，她始终坚持不懈，为祖国的排球事业作出了贡献，我认为这很不容易，我们希望她身体健康。即使郎指导离开了球队，她也不能没有我们，我们会经常聚在一起，聊排球，谈生意，这样很好，感觉会很好。撒贝宁称赞郎平指导：“听你一说，我们感觉郎指导几十年来为祖国而战，这是和平年代的战士，就像写的古代边塞诗，但让龙城飞不起来，不教胡马度阴山，自己却伤透了心。朱婷的任务是在完成任务的环节中，挑选一位现场嘉宾，与对方对视30秒，并朗诵一首诗。选择撒贝宁的朱婷，两人对视后不禁乐，而朱婷又朗诵了一首诗：“小桥流水人家，古道西风瘦马，断肠人在天涯。”那使撒贝宁忍不住感叹，“你怎么会想到这首诗，看到我，就想到这样凄凉的画面呢？”朱婷表示，“我只是跳出来了，也许更简单。”在朱婷面前，小撒朗诵了一首应景的诗句，“白日依山，黄河入海。再往前走就是了。而且主持人也对自己说：“这也是给女排女孩的，希望到2021年更上一层楼。以上是【白鸽观世界】为大家介绍的，关注我，不迷路，了解更多的体育资讯，感谢你们的点赞，关注和阅读欢迎下方留言本文由百家号作者【白鸽观世界】首发，未经许可不得转载！,朱婷回应郎平退休!事情会有意外反转?女排队长的答案出乎意料,https://baijiahao.baidu.com/s?id=1687924171702153443&wfr=spider&for=pc
百家号,2021-01-04,中国女排超级联赛总决赛第一场，江苏女排3:1战胜天津女排，然而第二场，李盈莹脚过中线，江苏女排的主力二传刁琳宇受伤，最后江苏女排输球了，天津女排在李盈莹带领下卫冕了冠军。朱婷蝉联MVP，李盈莹连续拿到了最佳主攻。赛后江苏女排和天津女排球迷吵得不可开交，现在看起来，有3点建议啊：1）李盈莹的技术打法别具一格，左手扣球，前冲进攻，符合当今女排向男子化发展的国际潮流，国际排联也鼓励进攻球员，脚踩中线的，李盈莹应该鼓励支持。2）比赛场上除了双方球员，还有裁判的，本次比赛中，裁判没有吹哨，攻手没有违规，李盈莹可以放心进攻打球3）国内练兵为奥运夺牌，就必须瞄准国际水平，郎平主教练一直关注联赛总决赛，助理主教练就在场边，队长朱婷就在场上，显然李盈莹没有问题。李盈莹成熟很多了，再也没有在网络上和球迷争辩吵架，之前山东女排孙杰受伤之后，李盈莹就在网上和对手球迷吵架很多啊。球迷的看法不一样啊：天津女排球迷支持李盈莹，没有犯规，成熟不发言，很棒！李盈莹向朱婷学习，心态稳重了，刁琳宇受伤不是李盈莹愿意的。和规则没有关系，规则只是借口罢了！规则不是用来伤害的，一系列伤害事件岂能用规则来垫背？垫脚之后再找垫背能服众吗！呵呵，李盈莹让刁琳宇受伤，如果受伤的是朱婷，江苏女排队员脚过中线，你又何评价？女排姑娘都是好样的。是国家的骄傲。无论朱婷张常宁李盈莹全是国宝。为排球拼了命哪有心思算计人。一群害群之马挑拨离间，造谣生事真是人的品质问题。李盈莹先落地谁也没踩到，刁后落地踩到李盈莹，葳，崴了脚，在场那么多裁判，鹰眼，排管中心主任都在场，江苏队也没挑战，刁也说是意外，证明这件事在排球专业领域没有任何问题！而都是局外人在兴风作浪，无中生有，无事生非！对中国女排的发展有害无益！视频看得清清楚楚，全国亿万观众的眼睛是雪亮的，明显是李盈莹过中线垫脚在前，等待对方拦网队员自由落体下落后造成崴脚，动作细节是经过精心谋划的，先后已造成了八名优秀球员受到伤害。为啥朱婷不脚过中线？朱婷的动作很规范，李盈莹的小动作基础功不够扎实，世界范围内用左手攻球也不少，打小斜线的也不少，扣球砸地板的也不少。我对精彩的动作和有争议的动作，都喜欢反复回放对比，我能看得见的，相信内行人都会看到的，除非是根本不承认。小编认为：李盈莹没有被认为犯规，她就是无罪的。她无心伤人也道歉了，朱婷和张常宁是她学习的榜样，希望以后比赛之中没有任何人受伤啊。大家说说是不是这个意思呢？,关于女排联赛决赛场风波后的3点看法:李盈莹是否值得鼓励呢?,https://baijiahao.baidu.com/s?id=1687921638459861374&wfr=spider&for=pc
