source,public_time,content,topic,sensitive_word,theme,id,up_num,retweet_num,comment_num,nickname,sex,province,following,followed,publish_place,publish_tool
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=1,2021-01-04 18:09,隐忍玩世:朱婷里约夺冠采访朱好可爱看来那时候她压力真的很大很大  ,,朱婷,,JBDHJfdr3,0,0,0,隐忍玩世,男,其他,135,27,无,搜狗高速浏览器
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=1,2021-01-04 17:52,今天爱排球了吗:#朱婷#这个小举动很暖心，分享胜利喜悦的合影不忘带上妹妹，好姐姐！ 今天爱排球了吗的微博视频  ,朱婷,朱婷,朱婷,JBDAIwJQL,2,0,0,今天爱排球了吗,女,北京,40,168792,无,微博云剪
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=1,2021-01-04 17:30,girl英姿飒爽:女排暂停花絮：郎平声情并茂布置战术+朱婷爷们式照顾李盈莹#中国女排##女排精神# girl英姿飒爽的微博视频  ,女排精神,朱婷,女排精神,JBDrKdIty,1,0,0,girl英姿飒爽,女,其他,38,190945,无,微博网页
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=1,2021-01-04 16:59 ,一条咸鱼的日常xj:#新年第一张照片#  迅速赶来参加活动1号刚拿到手机现场拍的朱婷很高很高很高 撒老师十分能聊想要air2pro搭配小米11用@小米手机  [组图共2张] 原图 ,新年第一张照片,朱婷,新年第一张照片,JBDeQ1b7Q,3,0,0,一条咸鱼的日常xj,男,湖南,173,71,无,微博国际版
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=1,2021-01-04 16:47 ,用户5875261568:分享@女排朱婷吧 的@绿洲 动态：#元气满满的早餐# 「朱婷：我会煮面。。。。。」 绿洲  原图 ,元气满满的早餐,朱婷,元气满满的早餐,JBDacbqla,0,0,0,用户5875261568,男,其他,2959,23,无,绿洲APP
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=1,2021-01-04 16:01 ,女孩爱哭:我在2020#微博之夜#活动中，为#朱婷战队T1#助力成功，并为朱婷增加2票，加入战队，为支持的上榜候选人打call助力，还有机会瓜分盛典门票哦！ 朱婷战队T1  ,朱婷战队T1,朱婷,朱婷战队T1,JBCRjpQRc,0,0,0,女孩爱哭,女,四川,39,16,无,微博品牌活动
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=1,2021-01-04 15:48 ,竹林翩影:朱婷里约夺冠采访朱好可爱看来那时候她压力真的很大很大  ,,朱婷,,JBCMagVA3,0,0,0,竹林翩影,女,河北,215,58,无,搜狗高速浏览器
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=1,2021-01-04 15:47 ,girl英姿飒爽:全场集锦：中国女排3:0美国 朱婷天神下凡屡秀教学式攻防#中国女排##女排精神# girl英姿飒爽的微博视频  ,女排精神,朱婷,女排精神,JBCLs222k,2,0,0,girl英姿飒爽,女,其他,38,190945,无,微博网页
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=2,2021-01-04 14:53 ,今天爱排球了吗:#朱婷#潜能都是逼出来了，朱婷在完成这记背身扣球后自己都乐了，而对手却懵了 今天爱排球了吗的微博视频  ,朱婷,朱婷,朱婷,JBCpEoOjp,1,1,0,今天爱排球了吗,女,北京,40,168792,无,微博云剪
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=2,2021-01-04 14:30 ,糖子岩:一起来吧！我在2020#微博之夜#活动中，成功加入了#朱婷战队T11#为Ta打榜~快和我一起送Ta问鼎荣誉宝座，还有机会瓜分盛典门票哦！ 朱婷战队T11  ,朱婷战队T11,朱婷,朱婷战队T11,JBCgd4ZFF,0,0,0,糖子岩,女,河北,592,331,无,微博品牌活动
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=2,2021-01-04 13:55 ,如初贰伍捌:朱婷我抡圆了给你一个赞！愿你在赛场上不断突破自我，生活中远离伤病。在微博陪TA度过的每一天都要来#体坛风云榜# 留下爱TA的痕迹！ http://t.cn/AiWB5Z5j  ,体坛风云榜,朱婷,体坛风云榜,JBC22vAx4,0,0,0,如初贰伍捌,女,其他,160,201,无,微指数
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=2,2021-01-04 13:03 ,飞翔的伊卡洛斯小怪兽:朱婷认为朱婷女王是世界女排第一人的举手  ,,朱婷,,JBBH98RFn,0,0,0,飞翔的伊卡洛斯小怪兽,女,北京,289,172,无,搜狗高速浏览器
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=2,2021-01-04 12:53 ,今天爱排球了吗:#中国女排##朱婷#与金延璟对比，郎平直言还是要朱婷，毕竟是亲闺女。 今天爱排球了吗的微博视频  ,朱婷,朱婷,朱婷,JBBCWt3G6,2,1,1,今天爱排球了吗,女,北京,40,168792,无,体育综合 · 视频社区
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=2,2021-01-04 12:13 ,崇文球球:对郎平不利！朱婷国家队友被禁赛八年，复出无望女排卫冕悬念十足#快资讯# http://t.cn/A6qunZGf  ,快资讯,朱婷,快资讯,JBBmXCzFn,1,0,0,崇文球球,男,北京,3156,8056,无,分享按钮
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=2,2021-01-04 11:53 ,治愈系音乐集:#女排##竞技体育#【首局集锦】朱婷强攻化解胶着比分 银行接连打出进攻高潮 治愈系音乐集的微博视频  ,竞技体育,朱婷,竞技体育,JBBeC19fN,0,0,0,治愈系音乐集,男,北京,46,107484,无,微博网页
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=2,2021-01-04 11:52 ,治愈系音乐集:#女排##竞技体育#朱婷发球显神威 多回合相持对方二传失误 治愈系音乐集的微博视频  ,竞技体育,朱婷,竞技体育,JBBe94IRJ,0,0,0,治愈系音乐集,男,北京,46,107484,无,微博网页
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=3,2021-01-04 11:50 ,Emma云端曼舞:我在2020#微博之夜#活动中，通过@新浪新闻 客户端为我心中的#年度热点人物# 朱婷拉了10票！猛戳下方图片，助Ta登顶微博之夜，还有盛典门票等惊喜福利等你拿！来新浪新闻为微博之夜拉票  ,年度热点人物,朱婷,年度热点人物,JBBdvbdeq,0,0,0,Emma云端曼舞,女,湖南,593,434,无,新浪新闻客户端
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=3,2021-01-04 11:30 ,湖报体育:【#朱婷亮相央视# 被刘德华调侃】中国女排队长#朱婷#获邀亮相央视《撒开聊2021》节目，面对镜头迈着大长腿昂首走进演播室，就连#刘德华#都忍不住惊讶称赞“腿长有1米8”。被追问在2019和2020这两年get什么新技能？朱婷再被刘德华调侃“换灯泡很厉害的”，忍不住笑出声后坦诚做饭会长进并且会煮面，直言打球的前提是自己要吃饱，至于2021年新突破希望文化课方面能够补上。由于2020年东京奥运会被延期到2021年举行，郎平被曝推迟退休计划与中国女排再续约一年，身为高徒的朱婷直言会支持恩师的决定。郎平的伤病情况到底有严重呢？朱婷透露恩师早上起床如果身体是不疼的，如此一来郎平这一天就会很开心。虽然朱婷不舍郎平与中国女排离别的那一天，但还是希望恩师能够身体保持健康，未来还会经常聚会聊聊排球方面的事。性格腼腆的朱婷求教万茜如何在镜头面前表现得更自然，后者谏言做自己就好而无需改变自己，至于表达方面就是想说的时候就说。不同于韦慧晓舰长使用棒球棒颠乒乓球，王树国校长尝试用笔颠气球，陈冬则是用棒球棒颠排球，朱婷在游戏互动环节被撒贝宁增加难度，首先用矿泉水瓶盖玩转颠网球手到擒来，然后妙趣横生地被要求改由刀叉颠球引得笑声不断。http://t.cn/A6qEWIHi ,刘德华,朱婷,刘德华,JBB5cpb7k,0,0,0,湖报体育,女,其他,73,51209,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=3,2021-01-04 11:06 ,你好好想想1129:#朱婷[超话]##朱婷# 2020年唯一一次见你，美好的回忆 你好好想想1129的微博视频  ,朱婷,朱婷,朱婷,JBAVC7SX4,28,3,8,你好好想想1129,女,山西,109,60,无,朱婷超话
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E6%9C%B1%E5%A9%B7&advancedfilter=1&starttime=2020-12-05-10&endtime=2021-01-03-11&sort=time&page=3,2021-01-04 10:58 ,治愈系音乐集:#女排##竞技体育#【集锦】瓦基弗银行3-0加拉塔萨雷 朱婷发挥神勇率队取连胜 治愈系音乐集的微博视频  ,竞技体育,朱婷,竞技体育,JBASsuOxV,0,0,0,治愈系音乐集,男,北京,46,107484,无,微博网页
