source,public_time,content,topic,url
腾讯网,2021-01-04,"不过如果提到圈中的当红女明星的话,杨幂绝对算得上是其中的一位。对于杨幂来讲,她不仅长得非常的漂亮,而且演技也是特别的好。杨幂除了是一名女演员之外,她还是...","从这些小事中,就可以发现杨幂情商高,真的也是当之无愧",https://new.qq.com/omn/20210104/20210104A09BYV00.html
腾讯网,2021-01-04,"每周一更新的《追光吧!哥哥》加料版都会奉上不少幕后内容,都是正片没有播出的片段,最新一期应该是特别嘉宾杨幂最后一次露面,看似平常的探班拍摄细看其实相当精彩,必...","《追光吧》杨幂社交能力不一般,和郑爽分开探班,气氛完全不一样",https://new.qq.com/omn/20210104/20210104A0AP8Y00.html
百家号,2021-01-04,"说到娱乐圈当中的当红女明星,可能很多人都会想到杨幂的这个名字要命,作为当今娱乐圈中最为成功的一位女艺人,一直都深受粉丝们的喜爱,杨幂是以童星出道,近年来在...","“杨幂机器人”售价17000元,引日本宅男哄抢,网友:又贵又吓人",https://baijiahao.baidu.com/s?id=1687944382176142102&wfr=spider&for=pc
网易新闻,2021-01-04,"杨幂红了十几年的秘密终于找到了在娱乐圈这个大名利场,从小就是童星的杨幂混了快二十年一直如鱼得水,四岁就能在央视大剧《唐明皇》和周星驰经典影片《苏乞儿》...",终于找到了杨幂为什么能红十几年的秘密,http://dy.163.com/article/FVGEO46M0517LOGK.html
网易新闻,2021-01-04,"圈里由来已久赵丽颖和杨幂不合,可偏偏这次星光大赏坐在一处,不得不说鹅厂真会玩。果不其然,今天就出了杨幂和李现、吴亦凡玩游戏不带赵丽颖的热搜。 自律成就...","杨幂又替爸爸追星?问烧饼索要门票,曾助老爸与偶像郭德纲合影",http://dy.163.com/article/FVGAQLEB0517O448.html
百家号,2021-01-04,"新浪娱乐讯 1月2日晚,杨幂工作室晒出其参加某综艺的美照。照片中,杨幂身穿条纹毛衣配短裙,大秀好身材。 新浪娱乐讯 1月2日晚,杨幂工作室晒出其参加某综艺的...",组图:杨幂穿毛衣配短裙双腿纤细修长 露出甜笑少女感满满,https://baijiahao.baidu.com/s?id=1687909337290612356&wfr=spider&for=pc
百家号,2021-01-04,"像前几集的白百何、郝蕾、杨紫、咏梅等女演员都把剧情很好的演绎出来,而在这面临收官之际,可以看到最后一集《完美女孩》由杨幂出演,想必大家对她都已经是非常熟悉...","《完美女孩》剧照,杨幂化身“AI机器人”,颜值身材确定没搞错?",https://baijiahao.baidu.com/s?id=1687945698586105957&wfr=spider&for=pc
百家号,2021-01-04,"工作能力很强,是让每个人都心悦诚服的人物,在每一部电影里都是一个很美的角色,在杨幂的表演下都很活泼生动,很多男士也喜欢这样的女人,但更多的人却喜欢她的年...","杨幂在节目中告诉我们,你永远不知道,艺人学习有多刻苦",https://baijiahao.baidu.com/s?id=1687924026863635349&wfr=spider&for=pc
百家号,2021-01-04,"一年过去了,大家都老了,可是,时间似乎忘了让一些人变老,比如今天我们要讲的主角杨幂,杨幂一直被称为“少女幂”,“行走衣架”,说的是,杨幂很会穿搭,同时又很漂...","新的一年,杨幂穿五颜六色开衫下搭蓝色牛仔裤,不愧是少女幂!",https://baijiahao.baidu.com/s?id=1687941081857964998&wfr=spider&for=pc
百家号,2021-01-04,"对比前两期的飞行助力官杨幂,网友显然更喜欢真实的刘敏涛。 杨幂给人的感觉总是“端”着的,来到节目组杨幂就很明显的孤立郑爽。杨幂的坐姿靠向金星,交流也只是和...",刘敏涛来了才知道“端”着的杨幂为什么不受欢迎,https://baijiahao.baidu.com/s?id=1687940991409812613&wfr=spider&for=pc
