source,public_time,content,topic,url
百家号,2021-01-04,文|凌清图|车宇世界、网络温馨提示：车宇世界，只做最真实的车评。有问题，来投稿，我们本年度开通车主来稿栏目，欢迎各位车主交流。在中国车市，造车新势力的表现，受到较大的关注。其中，蔚来汽车、理想汽车、小鹏汽车可以说是稳居第一线阵营。当然，如果算上跨国品牌，那么特斯拉则是当之无愧的造车新势力标杆。蔚来汽车2020年全年，这些车企目前已经公布了其销量数据。从销量数据上看，中国品牌造成新势力中，蔚来汽车、理想汽车、小鹏汽车依然稳居第一阵营。只是，与全球电动车巨头特斯拉相比，这三个车企的销量规模，则比较低了。而且，随着特斯拉在中国车市的国产化，其竞争力得到大幅度的提升，对于以上三个品牌的销量，也将进一步形成压力。特斯拉ModelY数据统计显示，2020年全年，特斯拉实际交付了49.95万辆车，与50万的销量目标相比，几乎一致。这意味着，2020年，特斯拉基本完成了其年度销量目标。在很大程度上，这得益于特斯拉Model3的强势表现。而且，从销量规模上，与蔚来汽车、理想汽车、小鹏汽车相比，特斯拉具有非常明显的销量优势。甚至在一定程度上可以说，上述3家造车新势力与特斯拉的销量规模相比，几乎不在一个“量级”上。蔚来ES6根据蔚来汽车最近公布的销量数据显示，2020年12月份，蔚来汽车共计交付了7007台，这也是其首次单月销量突破7000台。至此，2020年1-12月份，蔚来汽车累计交付量为43728台，与2019年同期相比，销量上升了121%。毋庸置疑，与2019年同期相比，蔚来汽车取得了较高的增长幅度。而且，这个增长幅度，远远高于同期新能源汽车整体增长幅度。理想ONE相比蔚来汽车，理想汽车在造车新势力中，算是起步比较晚的车企。但是，颇有些后来居上的味道。1月2日，理想汽车公布了其2020年12月份销量，数据显示，理想ONE在12月份的交付量为6126台，环比增长31.9%。2020年1-12月份，理想汽车共计交付了32634台理想ONE。从这个销量规模上，理想汽车的销量并不太理想。不过，如果与当前的中国车造车新势力相比，这个销量还是比较出色。值得注意的是，在理想汽车的发展过程中，理想ONE在2020年发生了自燃、断轴等事件，而且断轴的发生概率还很高。这意味着，理想ONE在品控上，还有很大提升空间。小鹏汽车至于小鹏汽车，相比蔚来汽车和理想汽车的交付量，则更低一些。根据小鹏汽车公布的数据显示，2020年12月份，小鹏汽车单月销量为5700台，其中小鹏P7单月销量为3691台，小鹏G3单月销量为2009台。2020年1-12月份，小鹏汽车累计销量为27041台。毋庸置疑，与蔚来汽车和理想汽车相比，小鹏汽车的表现相比较弱势。不过，从销量上看，其依然呈现增长态势。这是一个不错的消息。小鹏P7声明：本文为车宇世界运营部原创文章，凌清审阅，部分图片来源于网络，标注来源的数据及相关资料均为引用。车宇世界原创版权所有，转载请注明来源及作者。爱车，就来车宇世界，您的专属选择。,"特斯拉遥遥领先,蔚来等表现出色,2020造车新势力销量公布",https://baijiahao.baidu.com/s?id=1687930482896991661&wfr=spider&for=pc
百家号,2021-01-04,特斯拉在上海超级工厂落成开工后，产量获得极大提升，连带股价跟着快速上涨。然而根据PingWest自行调查报导，特斯拉在上海的超级工厂看似光鲜亮丽，隐藏在积极扩张背后的质量问题则让人十分忧虑，推测特斯拉为了提高产量接受不合格零件。特斯拉副总裁陶琳则在社群网站发表声明，严正否认特斯拉上海超级工厂有类似情况。该网站其实也并无实际证据，仅声称以匿名方式采访零件供应商以及内部人士，报导中称特斯拉上海超级工厂的物流仓储人员经常发现不合格料件不翼而飞，再加上供应商表示目前特斯拉目标产量过高，在正常标准下难以达成，因此综合各方说法「推测」特斯拉使用不合格料件。此外，文中还提到特斯拉大中华区售后服务总监薛钧成曾表示不能召回，车主回厂保养时若发现有问题可以自行更换，或在车主要求后提供更换服务。不过目前仅有的3次召回纪录，都是针对进口车型发出，还没有出现中国制造的特斯拉召回事件。上海超级工厂在2020年10月已经达成单月2万辆的生产量，非官方管道曾有消息指出特斯拉有意持续扩充产能，从全年25万辆直接翻倍到50万辆的惊人产量，协助特斯拉品牌达成年贩100万辆的目标。从特斯拉新车质量与极速扩充的产能来看，该网站的部分内容确实有些吻合之处，只不过没有实际证据仍为立论根据薄弱之处。因此对于这些相关指控，特斯拉大中华区副总裁陶琳直接发表声明驳斥：「特斯拉严格按照中国法律法规生产，不存在为产量不惜降低质量的现象。」特斯拉虽然有数个大型产线，但上海超级工厂具备了指标性意义，由于中国为电动车最大单一市场，电动车潜在人口数量极为庞大。再加上上海超级工厂不仅提供中国市场所需，也会负责生产部分欧洲市场所需车款，若从这个角度来看，特斯拉不顾质量先冲刺产能的作法，的确显得有些过于冒险。,"Model Y交付在即,为了提高产能,特斯拉存降低质量?",https://baijiahao.baidu.com/s?id=1687930323975488157&wfr=spider&for=pc
百家号,2021-01-04,2021年年初的最大消息就是，就是电动汽车市场的大消息。1月1日，特斯拉突然放出最大的密招：降价！其中，正式开售的国产ModelY，价格最高狂降16.51万元！而在2020年的7月份，五菱宏光miniEV推出，之后半年每个月都攀上销售数量的顶峰，登顶国内汽车销售的冠军，引领国内汽车市场逐步向上。如果说，去年的五菱宏光miniEV的崛起是低价电动汽车点中了中国汽车消费的某一个穴点，那今年特斯拉一开年的价格屠刀又说明了什么呢？特斯拉ModelY大幅降价，为什么？2021年1月1日，元旦初始，特斯拉令人惊诧地宣布，其ModelY长续航版的起售价从48.8万元降为33.99万元，下调了14.81万元，下降幅度高达30%以上；而ModelYPerformance高性能版则从53.5万元降为36.99万元，下调了16.51万元，降幅也高达31%。以高端汽车、高端电动汽车屹立于世的特斯拉正在中国掀起一股降价的风暴，而且是自2021年的初始开始。特斯拉的这个行动具有什么含义吗？说实话，至少从这个既敏感又不敏感的节点来看，显然是有着重要含义的，不过对于特斯拉来讲，其真正的含义我们并不可见，因为就在刚刚过去的2020年12月份，特斯拉对外的宣传还是降价的可能性不大。但是这个特殊的日子必定是世界汽车发展史上一个重要的里程碑和节点。因为，这个节点和行动它不仅仅属于特斯拉。五菱宏光miniEV：2020年的新星如果说，特斯拉在2021年伊始就引爆了行业地震，其实2020年更有一个令汽车行业惊愕的大事件：那就是五菱宏光miniEV的暴起。讲到五菱宏光miniEV，技术方面的参数到处都是，这里不再赘述。但是对于这款车型在2020年下半年的崛起却是异常令人迷惑和兴奋的。迷惑的地方在于，为什么五菱宏光miniEV突然间冒了出来，而且销量月月提升？到2020年11月份，这款车型一直占据着销售榜的榜首。其实这款车也只不过仅仅是在2020年的7月份刚刚推出，能够取得这么大的业绩，着实令人迷惑，难道通用五菱突然“悟”到了什么？兴奋的地方在于，这款车型可不是短期的暴起，而是到现在为止，它已经逐步上行了半年，关键之一是：它是“低端”的“纯电动车”。它的崛起必然表明市场已经发生了某些根本性的变化，这些变化是什么呢？不管是什么变化，它至少它是属于“纯电动车”的，也是属于“五十公里”小范围代步车的。也许是五菱宏光幸运，也许是五菱宏光睿智，不到三万元（最低2.88万元）的价格正好切入和启动了中国三四线城市的代步乘用车市场，让人们对于“电动”和“汽车”的向往在低价的状态下实现了理想。电动汽车已经巨变，其他厂商怎么办？电动汽车的领头羊――特斯拉大幅降价，电动汽车的断后者――五菱宏光miniEV杀进了3万元以内，这让其他车厂怎么办？尤其是那些正在努力的造车新势力们？理想、蔚来们去向哪里？一头一尾的电动汽车厂商发生的巨大变化，它们冲击和占领的是汽车市场本身，也许有人会认为，电动汽车可以作为家庭第二部、甚至是第三部汽车的选择，但是，这个空间还有其他厂商的机会呢？未来，美国肯定会回归巴黎气候协定，这个协定会促进燃油车定期退出乘用车市场，这个退出不是在遥远的将来，而是在不久的将来，也许就在十年以内！这是电动汽车的外部环境，更是行业转变的关键推动者。年前，丰田的管理者还在说，新能源汽车并不环保，因为电还是通过燃烧煤或者油发的，可是这位日本的行业管理者并不听从他的呼吁，毕竟燃油车即将老去，认清这个现实才能够看清未来。这就是特斯拉疯狂降价、五菱宏光miniEV超低价并暴起的真正原因。有时候大势所趋已经到来了，可是总是有些人还在犹豫，而这种犹豫就是被淘汰的先决条件。,"五菱宏光MINI超低价,特斯拉狂降16万,背后已巨变",https://baijiahao.baidu.com/s?id=1687930056325097832&wfr=spider&for=pc
百家号,2021-01-04,【TechWeb】1月4日消息，据国外媒体报道，电动汽车制造商特斯拉、蔚来汽车和理想汽车公布的交付数据显示，2020年全年，特斯拉的交付量约是蔚来汽车的11倍、理想汽车的15倍。上周六，特斯拉公布的交付数据显示，2020年全年，该公司累计交付49.955万辆汽车，同比明显增加。上周日，蔚来汽车公布的交付数据显示，2020年全年，该公司累计交付4.3728万辆汽车，同比增长112.6%，总用户数超7.5万。昨日，理想汽车公布的交付数据显示，2020年1月至12月，理想ONE全年总计交付3.2624万辆。从以上数据来看，2020年全年，特斯拉的汽车交付量约是蔚来汽车的11倍、理想汽车的15倍。目前，特斯拉的市值为6689.05亿美元，蔚来汽车的市值为764.78亿美元、理想汽车258.78亿美元。（小狐狸）,特斯拉2020年交付量约是蔚来汽车的11倍、理想汽车的15倍,https://baijiahao.baidu.com/s?id=1687929774416569186&wfr=spider&for=pc
百家号,2021-01-04,来源：证券时报网作者：胡华雄2021年首个交易日，A股喜迎“开门红”。新年伊始，A股多个重要指数继续猛攻，并创下数年来新高，且两市成交量有明显放大。其中以创业板指数最为突出，大涨3.67％，时隔5年首次站上3000点大关，再创阶段新高。01新年首日A股全面大涨创业板表现凌厉公历2021年首个交易日，A股市场迎来全面上涨。截至1月4日上午收盘，沪指站上3500点，为2018年1月以来首次。深证成指、中小板指继续刷新最近5年多新高，两大指数早盘涨幅均超过2％。最为突出的要属创业板指数，该指数大涨3.67％，盘中一度涨约4％，时隔5年首次站上3000点大关，创出最近5年多新高，截至上午收盘，该指数报3075.21点。创业板市值前20的股票中，除了爱尔眼科、智飞生物等少数股票外，绝大多数均上涨，其中宁德时代、亿纬锂能盘中涨幅超过10％；金龙鱼暴涨8.15％，市值突破6000亿元。各大行业板块上总体也呈普涨态势，农林牧渔、航空、电气设备、有色、旅游等多个板块涨幅超过3％。房地产、银行、保险等板块相对疲弱，拖累市场表现。02特斯拉概念股集体暴涨成创业板狂飙重要推力今天市场还有一大特点，即特斯拉相关概念集体走强，特别是宁德时代、亿纬锂能等大市值特斯拉概念股走强。由于宁德时代、亿纬锂能均属于创业板权重股，这些股票的大幅走强，成为新年首日创业板狂飙的重要推力。2021年的第一天，特斯拉放大招，多款车型大幅降价。2021年1月1日，据特斯拉中国官网消息，特斯拉ModelY长续航版起售价为33.99万元人民币，此前为48.8万元人民币，下调14.81万元。特斯拉ModelYPerformance高性能版起售价为36.99万元人民币，此前为53.5万元人民币，下跌16.51万元。特斯拉此举有望大幅提升其吸引力，增加销量。受到上述消息影响，今天A股市场特斯拉相关概念股集体飙涨。Wind特斯拉指数暴涨近5％。相关概念股中，盘中有超过20股触及涨停或涨幅超过10％。亿纬锂能盘中涨幅一度超过18％，长盈精密盘中暴涨超过16％。作为目前A股市场最高的特斯拉概念股之一，宁德时代盘中暴涨超过14％，股价突破400元，市值突破9000亿元，直逼万亿大关。2020年2月，宁德时代曾公告称，公司拟与Tesla，Inc.以及特斯拉（上海）有限公司（以下合称“特斯拉”）签订《ProductionPricingAgreement（China）》（以下简称“协议”）。协议中约定，宁德时代将向特斯拉供应锂离子动力电池产品。不过根据协议，特斯拉没有责任和义务必须购买公司产品，未对产品采购量进行保证，后续特斯拉将通过订单方式提出采购需求。因此协议对公司未来经营业绩的影响具有不确定性。此外，2021年1月2日，特斯拉发布2020第四季度和全年产销数据，单季产销量均创新高，同环比均大幅增长。渤海证券的研究报告认为，特斯拉系列产品具备性价比优势和高科技属性，同时国产ModelY正式上市、Model3/Y增配降价，其产品序列逐步完善，确定性极强，预计2021年特斯拉中国有望超40万辆；而在美国当选总统拜登对新能源汽车大力支持的预期下，2021年全球销量有望超100万辆，并且后续产能陆续释放，未来空间充满想象。渤海证券建议关注进入并绑定特斯拉供应链的公司。03对于后市机构这样看平安证券的研究观点认为，在2020年年末的交替之际，资本市场在经历了大起大落后迎来了一系列的利好新变化，有些甚至是划时代的变化。在此背景下，对于2021年的权益市场开局更为乐观，2021年会是一个继往开来的年份。整体来看，一是开年的流动性稳健定调加大了对权益市场的估值支撑，加大权益公募基金的发展也有助于居民配置资金的流入；二是全球正式进入疫苗修复阶段，国内外的经济修复有望拉动周期企业、出口企业和服务企业的盈利；三是历时七年的中欧协定达成，我国在海外合作方面打开了更多出口型企业及卡脖技术企业的发展可能性和空间。平安证券认为，尽管当前整体市场估值分位相对较高，大小盘估值整体在80％分位左右，但是考虑到用wind一致预期的2020年预期估值来看，中小创的预期估值历史分位数的水平大致在50％-60％区间内。然而，考虑到盈利兑现的不确定性，预期估值实际可能还是会更高一些。但是当前流动性的边际改善有利于对市场估值形成支撑，市场逻辑更多转向盈利确定性。,"果然开门红!创业板狂飙近4%,沪指站上3500,特斯拉概念火爆全场...",https://baijiahao.baidu.com/s?id=1687930156663806432&wfr=spider&for=pc
百家号,2021-01-04,2021年初，特斯拉CEO马斯克可能无法像往年一样例行对中国的访问，但这并未影响特斯拉的SUV新车型ModelY如约而至。1月4日A股新年首个交易日早盘，受到元旦假期特斯拉ModelY大幅降价消息提振，特斯拉概念股早盘全线飙涨，多家供应商股价涨停。截至上午收盘，翔丰华上涨20%、优德精密和长盈精密上涨14%左右、宁德时代上涨13%、雅化集团、模塑科技、诺德股份、三花智控、拓普集团等多家企业股价涨停。特斯拉上海超级工厂自2018年正式启动生产以来，就不断加码供应链本土化。2020年末，特斯拉全球副总裁陶琳在接受第一财经记者专访时表示：“特斯拉本土化率已经基本实现目标，产品降价是一种能力的体现。”特斯拉目前在中国的零部件供应商主要包括新能源汽车热管理供应商、轻量化铝合金底盘供应商、电池供应商、减震器供应商等。根据第一财经记者不完全统计，国产特斯拉ModelY的供应商包括万丰奥威、联创电子、福耀玻璃、华达科技、永利股份、旭升股份、双林股份、银邦股份、常熟汽饰、和晶科技、北特科技等。其中一些供应商的产品仍处于开发阶段，尚未交付。在核心的电池零部件方面，国产ModelY首批电池供应商选择了韩国锂电池LG化学，LG也成为特斯拉ModelY唯一的电池供应商。尽管如此，特斯拉锁定了中国电池级氢氧化锂供应商雅化集团未来5年的产能。2020年底，特斯拉与雅化集团旗下全资子公司雅安锂业与特斯拉签订电池级氢氧化锂供货合同，约定从2021年起至2025年，特斯拉将向雅安锂业采购价值总计6.3亿-8.8亿美元的电池级氢氧化锂产品。受此消息提振，雅化集团股价已经连续三个交易日涨停。早在2020年初，特斯拉还和中国最大的锂化合物生产商赣锋锂业签订了电池级氢氧化锂采购订单，向后者采购的产品数量约为公司氢氧化锂年总产能的20%。赣锋锂业周一早盘股价大涨7.4%。特斯拉绕过电池供应商直接采购电池原料可能是为将来自主研发生产电池做准备。对此，陶琳在近日接受第一财经记者专访时也做出了回应：“不管是特斯拉自己生产电池，还是向供应商采购电池，对于消费者来说结果都是受益的，我们希望进一步控制电池的成本。”电动车的电池包通产含数千个电池单元，这是汽车中最昂贵的部分。2020年12月，特斯拉CEO埃隆・马斯克（ElonMusk）曾通过社交媒体表示，特斯拉将于2021年在位于德国柏林的工厂生产具有新型结构设计和技术的电池来供应其SUV车型ModelY，但他同时警告称，这可能会导致“重大的生产风险”。特斯拉的新型电池单元是一种叫做4680的圆柱体电池，可以存储更多的能量而且更容易制造，这对于降低电池成本具有重要意义。通过生产这种电池，特斯拉有望实现将电池成本降低一半，并实现到2030年将电池产量提升近100倍的目标。马斯克还称，这种电池技术要大规模生产普及还需要至少两年。他表示：“特斯拉位于加州弗里蒙特和上海的工厂要采用这项新技术，还需要两年的过渡期。”特斯拉动力总成和能源工程高级副总裁德鲁・巴格利诺（DrewBaglino）表示：“更大的电池单元，以及特斯拉正在进行的其他制造和设计变更，最终将使其汽车续航能力提高50％以上。”一位电池行业的资深人士对第一财经记者表示：“特斯拉的电池是圆柱形电池，这是它的创新，好处是成本更低。目前其他整车厂商都是采用的方形的电池，而且技术路线很难调整。宁德时代有少量的圆柱形电池，但不太可能大规模转向圆柱形。”他还对第一财经记者表示，尽管特斯拉正在进行生产制造工艺方面的研发，但是何时能够大规模生产出这种新型电池还很难预计。首尔大新证券（DaeshinSecurities）分析师韩相元（HanSang-won）表示：“特斯拉可能需要要花大量时间才能生产出新电池。”,特斯拉概念股集体飙涨 Model Y国产化加码,https://baijiahao.baidu.com/s?id=1687929144419549541&wfr=spider&for=pc
百家号,2021-01-04,来源：北京商报评论员陶凤一刀砍向自己，一手把重磅炸弹丢给对手。2021年第一天，特斯拉够狠！ModelY狂降16万，特斯拉一刀砍向自己，一手把一颗重磅炸弹丢给对手。每次说没有“降价空间”的特斯拉，一次比一次豪横，从Model3到ModelY从未手软过。降价的野心不言而喻。ModelY被视为Model3“SUV版”，而SUV一直是中国市场颇受欢迎的车型。这次精准对标，无论从价格、性能、品牌力等角度看，对于所有主攻高端新能源市场的自主品牌，甚至包括BBA在内的传统豪华品牌，都具有普遍的杀伤力。尽管特斯拉频繁被爆出存在问题，但是人们对它的热情并未减退。只是特斯拉头顶的光环，难免会因为人们走近了，看多了，明白了，了解了，而渐渐暗淡。相比之下，由于充电设施的不完善和充电速度仍无法与加油媲美，续航里程仍是Model3到ModelY最大的掣肘。尽管伤了不少老用户的心，特斯拉在不同时期的降价策略，一向别有用心。早在中国工厂还未建成时，特斯拉调价意在为国产版铺平道路，又能顺便将库存的进口车销售一空。而此后当中国工厂具有大规模交付能力时，将原本“充满空间”的标准续航升级版价格降至一个足够引发市场震荡的价位，则是拿出了要与对手火拼的诚意。（图片来源：视觉中国）如约获得中国新能源汽车外资股比限制放开的第一张“门票”，特斯拉来到中国市场不易，注定来者不善。随着特斯拉在华工厂落地，中国新能源车市场的竞争力也到了要拼真本事的时候。竞争是相互的，压力是彼此的。特斯拉不再“高高在上”，而对手早就不是什么“凡夫俗子”。无论是如早年的比亚迪如今名声大噪，还是后起之秀蔚来和小鹏逐渐风生水起，在补贴渐渐褪去之后，能留下的没点真本事恐怕不行。前有狼，后有虎。特斯拉看着中国新能源车市场长大，看着自己的对手强大。特斯拉也到了必须疯狂的时候了。对自己的情况心知肚明，想真正打开中国市场，特斯拉在和时间赛跑，和中国市场对进口品牌的“祛魅”赛跑。换句话说，特斯拉也在和走下神坛的自己赛跑。早年特斯拉的粉丝，有新浪的曹国伟、汽车之家的李想、UC优视的俞永福等，他们身上有着鲜明的标签：创新、资本、潮流、锐气。人们会因此多看特斯拉一眼，因为你是特斯拉。特斯拉也机灵地保持着高冷，和气质上的特立独行，让人们坚信特斯拉不一样。特斯拉是下一个苹果吗？有人说这是对特斯拉极致的赞扬，也有人说这是对特斯拉泡沫的提醒。过去几年，马斯克站在聚光灯中心，2020年，特斯拉股价一飞冲天，马斯克也打败盖茨，成了全球第二大富豪。这个问题反复被问，马斯克自己已经懒得回答。有趣的是，决定造车的苹果说不定会成为下一个特斯拉。评论员丨陶凤编辑丨胡可,"西街观察丨特斯拉,“不疯魔不成活”?",https://baijiahao.baidu.com/s?id=1687929797226258996&wfr=spider&for=pc
百家号,2021-01-04,特斯拉早些时候宣布，其在2020年一共生产了509737辆电动车，而全年的交付数量为499550辆――这一数字未能实现ElonMusk曾说过的在2020年交付50万辆的目标。但特斯拉表示，最终计算结果可能相差多至0.5％，因此到1月底公布全年业绩时，有可能达到50万交付量的里程碑。特斯拉曾在去年1月表示希望“舒服地’’超过在年底之前向全球交付50万辆车的目标。不过2020年情况特殊，该公司不得不让各造车工厂关停一段时间，相信这或多或少对其产量（进而影响到交付量）造成了影响。回到数据上，2020全年生产的车辆中，有454932辆是价格相对亲民的Model3/Y，而高端的车型ModelS和X仅生产了54805辆。上述两部分的交付量对应为442511辆和57039辆。考虑到特斯拉上海工厂也已开始生产国产版ModelY（已于1月1日在国内正式上市），以及国内消费者对中国制造ModelY的火热追捧程度，不知2021年特斯拉能否破纪录啊。,特斯拉“差一点”就能达成 2020 全年交付 50 万辆车的目标,https://baijiahao.baidu.com/s?id=1687928547983908332&wfr=spider&for=pc
百家号,2021-01-04,来源：金融界网站东方铁塔公告称，公司南方电网项目，其合同的履行将对公2021年经营工作和经营业绩产生积极的影响。广和通公告称，公司控股股东、实控人张天瑜于2020年12月31日减持公司股份达到1％。威海广泰公告称，收到与特殊客户签订的5份《装备订购合同》，合计金额为2.24亿元，将对公司2021年经营业绩产生积极影响。继峰股份：向特斯拉国产ModelY供应座椅后中扶手、扶手支撑件等产品继峰股份在互动平台表示，公司向特斯拉国产ModelY供应座椅后中扶手、扶手支撑件等产品。除了特斯拉外，公司及控股子公司格拉默还与宝马、奥迪、理想等多家汽车主机厂达成新能源车型的合作，并将积极助力新能源汽车的发展。目前，新能源汽车业务收入占集团收入比例较小。南京聚隆：公司高分子改性材料少量产品应用于特斯拉新能源车南京聚隆在互动平台表示，公司高分子改性材料少量产品应用于特斯拉新能源车，占主营业务比例较小，对公司业绩影响不大。圣农发展：预计2025年实现10亿羽肉鸡规模圣农发展在互动平台表示，现公司正在制定5年发展规划（2021年-2025年），预计2025年实现10亿羽肉鸡规模，同时食品端的营收目标也较之前规划有所上调。,午间公告集锦:威海广泰收到金额为2.24亿元装备订购合同,https://baijiahao.baidu.com/s?id=1687928393747971033&wfr=spider&for=pc
百家号,2021-01-04,ModelY在中国上市引起震撼效应，不仅特斯拉官网被刷爆、展示中心人山人海，对手蔚来电动车也被爆有转单潮，一切都是因为中国制造的ModelY实在太香。中国特斯拉在2021年1月1日宣布推出中国制造ModelY，长续航版仅台币147万元，性能版更不用160万元，在动力性能、自驾科技丝毫未减，又配备全新内饰和超香价格的种种利多下，ModelY一上架就势如破竹杀出，而且先杀的是自家官网。由于ModelY过多的订单和瞬间流量直接瘫痪特斯拉网站，上市首日一度让许多粉丝无法顺利开启网页，自然也就无法完成订单，甚至逼得特斯拉客服团队必须出来安抚客户「稍后片刻」，鼓励「错峰下单」，真让人不知道这是在抢iPhone还是买电动车？而在ModelY进驻展示中心的此刻，也可见到特斯拉门店被挤得水泄不通，全都是为了ModelY而来：有传言说，ModelY首日在短短十小时内就已经突破十万辆订单，如此夸张的数字虽无法证实，但过去特斯拉热销如Model3也没有传出网站瘫痪的问题，这回ModelY却遇上了，因此即使十万台可能夸张了，但ModelY受欢迎的程度已是毋庸置疑。而在ModelY引爆中国车坛的同时，另一个EV新势力蔚来，也一些动态传出。有网友放消息说，中国制造ModelY一上架后，蔚来就爆出了大批转单潮。由于蔚来并没有全额退订的机制，但ModelY实在太香，因此网络上涌现了许多蔚来订户抛单转让的需求，包括ES、EC系列都被影响。这个消息同样没有办法验证，甚至也引发一些争论，但只要稍微搜寻一下，就会发现确实有些蔚来订单在网络上公开征求买主，但还无法得知影响范围，也很难定论真的是有大批订单流失的现象。总之，147万元的ModelY双马达长续航版本很快就会在中国交车，这价格不仅让中国车迷疯狂，全球车主也都非常羡慕.,"一天十万台?Model Y让特斯拉官网门店瘫痪,对手蔚来大量转单",https://baijiahao.baidu.com/s?id=1687927951856724594&wfr=spider&for=pc
