source,public_time,content,topic,url
网易新闻,2021-01-04,"02特斯拉概念股集体暴涨 成创业板狂飙重要推力 今天市场还有一大特点,即特斯拉相关概念集体走强,特别是宁德时代、亿纬锂能等大市值特斯拉概念股走强。由于宁德时代、...","果然开门红!沪指站上3500,特斯拉概念火爆全场…后市机构这样看",http://dy.163.com/article/FVGFK5RA0519D4UH.html
网易新闻,2021-01-04,"新年伊始,在所有汽车企业都进入3天的休假沉寂时,特斯拉却亮出了“獠牙”。 1月1日,特斯拉宣布国产Model Y正式上市,并大幅调低售价。国产Model Y共推出长续航版和...",特斯拉打响了新年“第一枪”,http://dy.163.com/article/FVG8CI3U0519W880.html
百家号,2021-01-04,"车圈的朋友可能注意到了,元旦假期间,特斯拉国产Model Y“降价”的消息刷爆了朋友圈。 2021年1月1日,特斯拉中国正式发售国产中型SUV Model Y长续航版和Performance高...","特斯拉“割韭菜”:价格一降再降,事故一升再升",https://baijiahao.baidu.com/s?id=1687928669897915894&wfr=spider&for=pc
百家号,2021-01-04,"新年伊始,特斯拉就为车市投出“重磅炸弹”,其国产SUV车型Model Y开始正式发售,并且价格直降14万-16万元,比诸多国产新能源汽车还要便宜。降价消息传出后,不少特斯...",特斯拉大幅降价抢占市场份额 小鹏、蔚来纷纷回应,https://baijiahao.baidu.com/s?id=1687928575177701883&wfr=spider&for=pc
腾讯网,2021-01-04,"刚刚,据特斯拉中国官网消息,特斯拉ModelY长续航版起售价为33.99万元人民币,此前为48.8万元人民币,下调14.81万元。 特斯拉ModelY高性能版起售价为36.99万元人民币...",难以置信!特斯拉突然宣布!更大风暴或将到来!,https://new.qq.com/omn/20210104/20210104A0210000.html
百家号,2021-01-04,"2021年第一天,特斯拉够狠! Model Y狂降16万,特斯拉一刀砍向自己,一手把一颗重磅炸弹丢给对手。每次说没有“降价空间”的特斯拉,一次比一次豪横,从Model 3到Mod...","西街观察丨特斯拉,“不疯魔不成活”?",https://baijiahao.baidu.com/s?id=1687929797226258996&wfr=spider&for=pc
百家号,2021-01-04,"1月4日,资本邦获悉,1月1日特斯拉(TSLA.US)突然宣布继国产Model 3之后,正式开售国产Model Y。 1月1日上午,特斯拉在其中国官网上更新了ModelY的售价,价格最高狂...",特斯拉突降16.5万元!蔚来、小鹏汽车CEO下场回应,https://baijiahao.baidu.com/s?id=1687926890332181063&wfr=spider&for=pc
汽车头条,2021-01-04,"特斯拉进行了又一次在中国割韭菜的节奏。在元旦当天,特斯拉国产Model Y正式发售,新车一上市就直接掀起了一轮购车风潮。 《汽车年轮》了解到,国产Model Y长续航版起...","鲶鱼变鲨鱼!特斯拉Model Y暴降16万,脑瓜子嗡嗡的吧?",https://www.qctt.cn/news/903146
百家号,2021-01-04,"新年伊始,一则重磅消息在新能源汽车圈炸了锅,特斯拉中国大幅调整了上海超级工厂生产的Model Y车型的价格,特斯拉ModelY长续航版起售价为33.99万元人民币,此前为48...",特斯拉Model Y的成本能下降这么多吗?,https://baijiahao.baidu.com/s?id=1687923030869560158&wfr=spider&for=pc
手机凤凰网,2021-01-04,"引言:如果把特斯拉IPO十年,简单地拆分成两部分,那就是厚积和薄发;前面九年是上半部分厚积,那么下半部分的薄发,集中在过去大约12个月,而且中国因素占据绝对重要...",特斯拉IPO十载:笑傲世界汽车江湖,http://auto.ifeng.com/c/82jjORgDrr8
