source,public_time,content,topic,url
百家号,2021-01-04,北京时间1月4日，快船大战太阳的比赛，出现了跌宕起伏的剧情，在保罗乔治的带领之下，快船一度领先太阳31分，可是却被对方疯狂追分，最终112-107险胜对手。本场上半段保罗乔治手感爆棚，他半场12投8中、三分7中4狂飙22分2个篮板3个助攻和2个抢断，甚至还有1个盖帽，强势的填满了5项数据栏，手感非常出色，可是从第3节开始，快船逐渐的被太阳逆转。在半场两边分差20分的情况下，第3节太阳又打了快船一个37:24又追了13分回来，结果到了第4节开始双方只差7分了，也正是因此场上突然出现了争议和对喷的情况。当时这个争议是来自于第4节两边打到98:94的时候，7分20秒保罗-乔治单挑艾顿，连续的胯下变向已经晃开了对方准备上篮的，结果背后佩恩直接冲了过来，过来协防的时候把乔治给撞倒在地，乔治对他非常不爽，而布克作为太阳的老大替兄弟出头，他跟乔治开始对骂。当时乔治站起来之后倒是先没喷什么垃圾话，他只是很不爽的盯了对面佩恩一会，可是布克过来喷他的时候，乔治直接怼他：“你把你的嘴巴给我管好。”布克则是回喷乔治：“你就是个软蛋。（Softassn*****!）”两边吵成一团，队友们赶紧上来把他们给分开了。还好当时乔治的好兄弟雷吉杰克逊和肯纳德都站在他旁边，把乔治给劝住了。不然乔治就要上去打布克这个70分先生了，裁判看了录像回放之后，最终一边吹了一个技术犯规。本来冲突没有那么严重，乔治就是盯着把他放倒的佩恩，可能是也说了两句什么，但主要是布克这句话彻底激怒了保罗乔治，他觉得自己起码也是个超巨，怎么能这样被人挑衅呢？不过反而是这次冲突惹怒了快船，快船后续通过一波进攻狂潮重新稳住了局面，最终拿下胜利。泡椒24投15中、三分10中7狂砍39+3+4，如果不是莱昂纳德这场21投4中只有15分6板3助攻，相信快船应该赢的比较轻松，而太阳这边跟他发生冲突的布克，13中7也拿到了25+4+8的数据，保罗有15分9板5助攻。,"小卡21中4快船险胜!泡椒39+4,却发生冲突被70分小科比大骂软蛋",https://baijiahao.baidu.com/s?id=1687925273899803931&wfr=spider&for=pc
百家号,2021-01-04,在勒布朗漫长的职业生涯中，是否真的有球员可以单换詹姆斯呢？很多人的回答都是：巅峰的霍华德是唯一一位可以单换詹姆斯的男人。后来也都辟谣了，这是魔术管理层自己谣传的，他们的意思是除了詹姆斯，没人能换霍华德。詹姆斯职业生涯只收到过一次交易报价，那就是2007年湖人向骑士提出的交易方案：用科比单换詹姆斯，但最终被骑士拒绝。除此之外，其他球队都没有提出对詹皇的报价。2007年的科比29岁，带队季后赛一轮游，他害怕自己的巅峰被浪费，于是逼宫球队进行补强，否则就要求将自己交易。有传言称：湖人队老板巴斯曾询问科比去克利夫兰这件事，科比当场否决，科比说他自己永远不会去克利夫兰打球。而时年22岁的詹姆斯则率队打进了总决赛，却被巅峰的马刺横扫，他本人则一跃成为了当赛季MVP第二名。无奈他身处克利夫兰，球队无法为他打造冠军班底，如果当时骑士管理层脑子一热，这笔交易发生了，詹姆斯会不会就已经成为历史第一人了呢？在詹姆斯没来到西部之前，很多人都认为如果詹姆斯身处西部，他的职业生涯荣誉是会受到影响的，毕竟自古最佳一阵多数都在西部。但是去年35岁的詹姆斯率领湖人夺冠之后，相信很多人都不会这么想了，是金子在哪儿都会发光。如果当时交易达成，那么詹姆斯的历史地位确实有可能媲美乔丹。洛杉矶是NBA中数一数二的大球市，吸引力太大，而且湖人管理层的操作也比骑士好得太多。2007年，紫金军团得到大加索尔，连波波维奇都认为这是一笔打劫。这笔交易的幕后消息是：湖人老板和灰熊老板都是犹太人，湖人老板背地里给灰熊老板塞了一大堆支票。试想詹姆斯+大加索尔+“小鲨鱼”拜纳姆+“左手魔术师”奥多姆+“老鱼”费舍尔，这样的阵容想想都恐怖，在2008-10赛季拿到三连冠都是有很大概率的。科比生涯起步就在大城市的豪门球队，有热爱球队的老板巴斯，有杰里-韦斯特当总经理，还有历史级别的教练菲尔-杰克逊，这放在其他球队都是难以想象的，老詹的出身与之相比就显得太过卑微。历史无法改写，但未来还会被书写。你认为老詹退役时会有几个总冠军呢？欢迎在评论区留言。,"詹皇十年前就可单换科比?如果真的发生,联盟历史将会被如何改写",https://baijiahao.baidu.com/s?id=1687920132706472323&wfr=spider&for=pc
百家号,2021-01-04,勇士队本赛季的战绩西部倒数第二，因为他们只能够赢季后赛之外的球队，赢不了季后赛内的球队，空有1.7亿的阵容，却因为种种原因，无法打出应有的成绩，所以，大家都认为，库里的带队能力不行。库里是体系篮球的超级巨星吗？或许是吧，但是，就如利拉德所说，“勇士如今所在的一切都是围绕着库里，我们只要让库里打得难受，迫使他传球给其他球员，让他们无法打出节奏，我们就很有机会赢球了。”全世界都知道怎么打勇士队，勇士队怎么会赢球呢？利拉德表态针对库里，全世界都知道针对库里，勇士队就无法赢球，其实，换成任何巨星，基本很难解决勇士队目前的问题，不过历史上还有更强的超级巨星，不畏惧这样的情况，那就是名宿科比。06赛季的科比，因为奥尼尔的离去，阵容简直差到了一定程度，除了奥多姆之外，甚至没有一个能拿得出手的轮换。而科比，在这个赛季开启了狂暴模式，场均35+得分王，各种一对多单挑，没有人能够限制住科比。最终，科比带领着湖人队杀入了季后赛，首轮更是一度3比1领先西部第一的太阳队，差一点就能够创造黑八奇迹了，所以，当潮水慢慢退去，才知道谁是真正的王者，看看被针对的库里，就知道他和科比的差距有多大。大娱说：老大只有一个，当年有很多的遗憾，如果有好的阵容，科比创造的成绩，未必比乔丹差。,06赛季的科比有多伟大?看看被针对的库里就知道差距有多大了,https://baijiahao.baidu.com/s?id=1687919285452021297&wfr=spider&for=pc
百家号,2021-01-04,交易否决权，一个洛杉矶湖人当年为了留下科比而特意为他量身打造的特权。世纪之初，随着奥尼尔和“禅师”杰克逊的相继离开，湖人队当时直接变成了一个烂摊子。为了能够留住年轻的当家核心科比，湖人不但主动送上一份顶薪合同，同时还在这份合同内加上了交易否决权，以表示对科比的信任，而小飞侠最终也用两个总冠军回报了湖人。科比是NBA历史上第一个拥有交易否决权的球员，在联盟历史上拥有过交易否决权的球员屈指可数，他们几乎每一个都是闪耀一时的巨星，强如“飞人”乔丹在芝加哥公牛也没有这样的待遇，而且目前联盟中已经有很多年没人获得过这项象征着至高无上荣誉的权利了。交易否决权本质上是对球员的信任，这种信任包含能力和忠诚两方面。联盟最后一个获得交易否决权的球员是勒布朗-詹姆斯，他于2016年带领骑士在总决赛1：3落后的不利情况下完成大翻盘，从而为克利夫兰带来第一座总冠军奖杯，创造了辉煌的历史。詹姆斯在夺冠后选择第一时间和骑士续约，球队老板吉尔伯特为了表达对詹姆斯的感谢，在续约合同上加上了交易否决权，这对一名球员来说是彰显个人价值的最好证明。詹姆斯在2018年夏天离开骑士加盟湖人的合同中并没有交易否决权，那个时期湖人队沉沦多年，急需大牌球星加盟来带领球队咸鱼翻身。以当时詹姆斯的身份地位和与魔术师的亲密关系，如果索要这一特权，问题并不是很大。但碍于自己初来乍当，且湖人标杆人物科比刚退役，所以詹姆斯并不想太高调。况且，詹姆斯西行的主要目的是带领球队夺冠，并表明了终老洛杉矶的坚定态度，交易否决权对处在这个阶段、这个级别的球星来说意义并不大。库里是目前所有现役球员中在母队效力时间最长的一位，也曾是詹姆斯之后最有希望获得交易否决权的球员。从新秀到帮助勇士三夺总冠军奖杯，库里在这个过程中证明了自己的能力和忠诚，在球迷心目中他已经是金州勇士的象征，库里本人当然也是这样认为。因此，当双方商讨库里的下一份合同时，库里也曾提出希望加上交易否决权和球员选项，但依旧遭到了勇士的拒绝。不过，勇士为库里开出了5年没有球员选项的超级顶薪合同来表达感谢，而没能获得交易否决权也可能是库里职业生涯最大的遗憾之一。,"NBA史上最顶级的特权是什么?乔丹从未享受,詹姆斯成为绝唱",https://baijiahao.baidu.com/s?id=1687917626852841564&wfr=spider&for=pc
百家号,2021-01-04,北京时间1月4日，湖人大战灰熊的比赛，今日展开了一场焦点对决，詹姆斯继续带伤登场，而湖人则是改变了自己的首发。本场面对灰熊可以说湖人没有任何的压力，毕竟连对手的绝对核心莫兰特都因伤休战了，湖人根本不可能输。开局湖人果然也展现出了强大的实力，一上来灰熊倒是先打成两分，安德森突破命中，结果湖人很快送给了对手一个8:0，第1次进球来自于詹姆斯的一个三分，詹皇轻松命中，后续又是小加索尔给詹姆斯送出了助攻，詹姆斯反跑冲到篮下，同样也是上篮再进，前5分都来自于他一个人。随后这个球也是来自于詹姆斯的策动和组织，当时在一系列配合之后，浓眉哥又把球给到了詹皇，詹姆斯从弧顶拿球杀到内线，吸引对方三人防守，把球传到了外线的库兹马手里，库兹马三分命中。刚刚首发的他就有建功，一上来勒布朗拿到5分1篮板1助攻，看来这场球他是冲着三双去了。反倒是灰熊的第1次进攻之后，接下来的4次进攻全部无功而返。暂停回来灰熊篮下继续强攻，结果瓦兰丘纳斯又被盖帽，库兹马又是一个底角三分，开局11:2，湖人已经打疯了。伴随着接下来小加索尔的又是一个转身中投，湖人13:4又把灰熊打停。他们明显做出了一个巨大的调整，开局丹尼斯-施罗德已经没有进攻了，而是把球权都给到队友们，队友的手感和表现，也都对得起他的分享球。小加索尔则在球队当中，起到了更大的重要性，他得到球权并且传球的机会明显也更多了，灰熊一波流就被打爆。小科比库兹马在开场之后，个人的进攻欲望也是非常的强烈，好不容易趁着波普受伤进入了首发，他当然要抓住机会证明自己。而詹姆斯仍然像之前一样承担了湖人的进攻重任，不仅自己投中三分和连续送出助攻，而且也抢到两个篮板。后续伴随着库兹马的第3个三分命中，湖人仍然保持着18:11的领先优势，一上来三分线外4投3中的库兹马成为了湖人的第1号的得分点，在此之前他的三分命中率是41.4%。另外浓眉哥到现在都还没有出手呢，湖人最强的进攻武器目前还在沉寂。,"开局11-0!湖人先声夺人,小科比三分3连中,詹皇半节5+2+2冲三双",https://baijiahao.baidu.com/s?id=1687910202692625381&wfr=spider&for=pc
百家号,2021-01-04,当灰熊主场对阵公牛时，双方都试图赢得第一个赛季，公牛队在第二节突然哑口无言，灰熊趁机打出11-2小高潮取得领先，然而科比怀特突然爆发，先是在第三节得到7分，然后在第四节命中2个三分球帮助公牛队超越比分，最后，凭借稳定的罚球，公牛队110-102击败灰熊，赢得了本赛季的第一场胜利。公牛队方面，13名排名靠前的科比扎・克雷文得到37分、6个篮板、4次助攻和3次抢断，发挥出色马尔卡宁在双打中得到9分和11个篮板，也被称为怀特的科比，替补上场的16投10中中得到25分和6个篮板，两个科比加起来得到62分，帮助球队获胜。在灰熊方面，莫兰特继续处于低迷状态，他只投了3中9球，只得到10分和5次助攻，瓦兰丘纳斯斯得到10分和13个篮板，克劳德得到13分和9个篮板。比赛开始、莫兰特和拉文各命中一个三分球，然后灰熊不断利用内线优势制造犯规，公牛队依靠团队合作来抢分，双方得分都很焦虑，杰克逊和莫兰德连续获胜，拉文得分5分做出回应，本节结束时，公牛队连续三次进攻获胜，灰熊依靠安德森的三分球保持领先，29-25结束第一节。第二节，哈里森命中，但随后公牛队陷入得分荒，灰熊抓住机会，连续打反击，古杜力克连得5分，阿伦得3分，灰熊和波11-2分，差距扩大到两位数。公牛队并没有找到好的得分方式，只靠马尔卡宁勉强得分，灰熊继续领先，拉文和波特相继命中3分，但克劳德也回敬了2分3分，半场结束时，双方的分差仍为13分。在另一场长打中，世界杯黑马萨托兰斯垒变成了2+1，带领公牛打出7-0追上比分，灰熊暂停也没能阻止公牛的进攻，马尔卡宁加了2分，杰克逊三分命中终于止住了灰熊的流血，但科比怀特突然爆发，他在一场比赛中得到7分排，公牛队以79比81落后2分。第四节伊始，杰克逊率先得分，科比怀特再得3分，随后灰熊倒下，科比怀特打出第二个三分球，公牛打出13-4小高潮超越比分，而灰熊连续错失良机，最终公牛主场以102-110逆转，错失第一个赢。,"两场“科比”拿下62分,公牛队逆转灰熊赢得首场胜利",https://baijiahao.baidu.com/s?id=1687902508163681730&wfr=spider&for=pc
百家号,2021-01-04,就曾几何时而言，我发现身边的NBA粉丝越来越少，大家对NBA的关注度也在渐行下降NBA中没有中国玩家科比的意外死亡科比和他的女儿在一架直升机上意外坠毁，一代巨星失踪。众所周知，科比的球迷占据了中国球迷的半壁江山，如果偶像死了，粉丝们会很沮丧，NBA的关注度会大大降低。NBA的死亡演说去年，火箭队经理Murray对香港做出不负责任的言论，激起了球迷的愤怒，拒绝道歉！之后，NBA总裁和几名球员无视中国，默许莫雷的言论。因此央视宣布暂停NBA游戏，中国粉丝也发起了对NBA活动的大规模抵制，这时，NBA掉进了中国的低谷！年龄的原因对于那些喜欢上NBA的人来说，他们大多数都是学生！随着年龄的增长，我们大学毕业，经历了朝九晚五，经历了结婚生子，生活重心的转移也逐渐降低了我们对NBA的热情，也降低了我们同龄朋友的热情，所以身边喜欢NBA的人越来越少了！,"时光是易腐的,谈NBA老粉丝的衰落",https://baijiahao.baidu.com/s?id=1687894942343880264&wfr=spider&for=pc
百家号,2021-01-04,我相信大多数粉丝都没有心情去关注NBA的季前赛，莫雷事件发酵以来，有愈演愈烈的趋势，正当粉丝们期待回复NBA时，NBA总裁的当前肖华公开支持莫雷的不当言论。之前，中国已基本停止与火箭的各种合作，随着粉丝们越来越愤怒，越来越多的人说他们将不再看所有与NBA相关的东西，到之前为止，联盟面临着许多的挑战，但这一次他们可能遇到了前所未有的挑战。说到这个话题，也许很多人首先想到的是四大控卫纵横交错的时代，随着那时候NBA刚刚被介绍给世界，越来越多的人开始在电视上看NBA。科比・布莱恩特，艾弗森，卡特和麦迪都是那个时代的宠儿，他们有自己的技能。在“一人一城”的时代，他们自己支持一支队伍，他们为自己从不轻视帮助其他明星而自豪，也许装满火药的NBA才是真正的NBA。现在四个控卫的时代已经过去，联盟现在是控卫的世界，一人一城的时代已经结束，没有哪个明星会“傻”想到只靠一个人来支持一个团队。很多粉丝在青春中都有一位不可替代的明星，NBA就像一位与人一起成长的老朋友，如果他真的想向我们挥手告别，你会想念他吗？,"如果NBA现在离开我们,你会怀念四大控卫如火如荼的时代吗?",https://baijiahao.baidu.com/s?id=1687892734683748914&wfr=spider&for=pc
百家号,2021-01-04,湖人在对阵詹姆斯火箭的比赛中得到31分，距离超过科比还差还有80分，后者：他是湖人的成员，也是我们的兄弟，湖人巨星科比接受媒体采访，谈及詹姆斯职业生涯得分超越他。科比承认勒布朗正在做一些非常“在勒布朗来到洛杉矶时，他是湖人队的一员了，是我们兄弟情谊的一部分，是我们群体的一部分，而我们应该以这种（兄弟的）方式拥抱他。”的事情，并敦促大家给他足够的支持。根据“你该为其庆贺...欣赏他在这里作为一名运动员时的表现，”科比的数据，“欣赏他这个人，赞美他的成就，因为这真的很了不起。”詹姆斯到之前为止，他的职业生涯已经得到了33563分，与还差科比相差80分，是历史上第三位。科比届时不会参加祝贺，但会私下参加祝贺，他一定不想赢得詹姆斯的荣誉，不管怎样，他们都是NBA历史上的伟大玩家！他们都在篮球史上留下了很深的印记。抛开名利，回归对篮球的热爱，无论得分，享受比赛。我是老薛，给你带来最纯粹的篮球报告！,"总比分NBA詹姆斯将超过科比,历史上的第三个人",https://baijiahao.baidu.com/s?id=1687884083031954039&wfr=spider&for=pc
百家号,2021-01-04,有玩家有效地防守詹姆斯吗？没有这种事。如果有这样的选手，那么詹姆斯将无法连续八年进入决赛。只要他们引进这样的球员，他们将与詹姆斯在一起球队展开一场硬仗，而詹姆斯个人表现则会相当低。事实上之前的詹姆斯在季后赛场均得分从未低于20分，甚至仅在一个赛季季后赛场均得分就低于25分，在三巨头形成的第一个赛季中，这一比例已经达到23.7%。要限制詹姆斯，他必须具有以下特征：有一个小组帮助防止。任何能够限制詹姆斯的团队都有一个很好的防御系统，比如马刺，勇士就是最好的例子。因此要真正限制詹姆斯，必须满足以上三个条件。否则，不可能成功将限制像勒布朗詹姆斯这样的全能球员。安德烈伊戈达拉当谈到擅长防守詹姆斯的球员时，伊戈达拉不能错过。伊戈达拉连续四年担任詹姆斯的主力后卫，这也显示了他强大的防守能力。勇士队通过伊戈达拉的防守赢得了三个冠军。即使到了36岁，仍然有许多支球队愿意每年向伊戈达拉支付数千万美元，因为伊戈达拉是少数能够限制詹姆斯的球员之一。伦纳德：伦纳德有独特的天赋，尤其是一双大手，可以帮助他有效地防守每一个球员。许多联盟的超级巨星被他封锁了。他比詹姆斯，韦德，安东尼和其他进攻球员都强，他们无法摆脱他。他对库里和保罗这样的射手也很有防御性。伦纳德还以他的“死亡纠缠”赢得了许多荣誉。两名NBA年度最佳防守球员，三名NBA年度最佳防守球员中的第一名，以及第一名NBA最佳抢断球员，所有这些荣誉都足以证明他出色的防守能力。因此伦纳德是有效保护詹姆斯的玩家之一。科比布莱恩特,"对詹姆斯的攻击有多可怕,上篮被描述为“谁拦,谁就”",https://baijiahao.baidu.com/s?id=1687883731349427259&wfr=spider&for=pc
