source,public_time,content,topic,url
腾讯网,2021-01-04,"乔丹是联盟历史毫无疑问的第1分卫,而在耐克品牌内部亦是如此;乔丹之后,科比自然是继承其衣钵;再到现在呢?放眼整个联盟,第1分卫或许是阿迪旗下的詹姆斯·哈登,但...","欧文新战靴曝光!乔丹玩剩下的,科比后耐克又给了欧文",https://new.qq.com/omn/20210104/20210104A046PJ00.html
腾讯网,2021-01-04,"小科比库兹马在开场之后,个人的进攻欲望也是非常的强烈,好不容易趁着波普受伤进入了首发,他当然要抓住机会证明自己。而詹姆斯仍然像之前一样承担了湖人的进攻重任,不...","开局11-0!湖人先声夺人,小科比三分3连中,詹皇半节5+2+2冲三双",https://new.qq.com/omn/20210104/20210104A0179A00.html
百家号,2021-01-03,"到这个月26号,科比和女儿Gigi离开我们已经一年的时间。相信不少人提起他,依然会有心疼和惋惜的感觉。而对于科比的家人来说,过去的一年,更是在难以言喻的悲伤中,...","唏嘘!科比去世后妻子官司不断,被亲妈勒索3000万遗产?",https://baijiahao.baidu.com/s?id=1687869550482029523&wfr=spider&for=pc
百家号,2021-01-04,"詹姆斯职业生涯只收到过一次交易报价,那就是2007年湖人向骑士提出的交易方案:用科比单换詹姆斯,但最终被骑士拒绝。除此之外,其他球队都没有提出对詹皇的报价。 200...","詹皇十年前就可单换科比?如果真的发生,联盟历史将会被如何改写",https://baijiahao.baidu.com/s?id=1687920132706472323&wfr=spider&for=pc
百家号,2021-01-02,"转眼间,篮球巨星科比已经离开我们快一年了,月底就是他去世一周年的纪念日了,在过去的一年里再也没有了科比熟悉的声音和那平易近人的面容,无数球迷都只能通过往日...","科比去世一年!17岁大女儿首次透露减压方法,球迷:太煎熬了",https://baijiahao.baidu.com/s?id=1687766011509871560&wfr=spider&for=pc
百家号,2021-01-03,"科比离开已经四个多月了,一场飞机事故夺走了所有人的生命,NBA超级巨星科比和他的女儿Gigi在飞机事故中离开了我们,整个NBA甚至所有喜欢他的粉丝都感到心痛,但最心痛...","真挚的爱的爱情,凡妮莎·科比的情话纹在身上,网友:还没结婚?",https://baijiahao.baidu.com/s?id=1687873015630735164&wfr=spider&for=pc
网易新闻,2021-01-02,"湖人队的科比处于巅峰时期,而马刺是石佛带队,最后湖人凭借4比1的比分淘汰马刺,成功进入了总决赛。接下来让我们回忆一下这次比赛主要球员具体发挥: 1、科比 由于科比...","重温!08年西部决赛回顾:邓肯压制加嫂,怎奈科比中投无解",http://dy.163.com/article/FVBB6PDV0549N0L1.html
百家号,2021-01-04,"最终,科比带领着湖人队杀入了季后赛,首轮更是一度3比1领先西部第一的太阳队,差一点就能够创造黑八奇迹了,所以,当潮水慢慢退去,才知道谁是真正的王者,看看被针...",06赛季的科比有多伟大?看看被针对的库里就知道差距有多大了,https://baijiahao.baidu.com/s?id=1687919285452021297&wfr=spider&for=pc
百家号,2021-01-04,"湖人在对阵詹姆斯火箭的比赛中得到31分,距离超过科比还差还有80分,后者:他是湖人的成员,也是我们的兄弟,湖人巨星科比接受媒体采访,谈及詹姆斯职业生涯得分超越他。科...","总比分NBA詹姆斯将超过科比,历史上的第三个人",https://baijiahao.baidu.com/s?id=1687884083031954039&wfr=spider&for=pc
网易新闻,2021-01-04,"湖人一夜3消息!美媒晒5领跑数据,下战伤情出炉,新星回忆科比2021-01-04 08:45 烘焙技巧教学 湖人在过去几场比赛中已经能有不错的表现,而美媒Mike Trudell也在...","湖人一夜3消息!美媒晒5领跑数据,下战伤情出炉,新星回忆科比",http://dy.163.com/article/FVG234DR054299UT.html
