source,public_time,content,topic,url
网易新闻,2021-01-04,"对于一个喜欢小动物的人来说,肖战的温柔,体现在他和他的爱宠的日常上,肖战曾在镜头面前甜蜜地说自己养了一只猫,是一个小姑娘。 在肖战的许多妈妈粉阿姨粉...","国民老公“肖战”霸气回归,又会引起群众 怎样的欢呼?",http://dy.163.com/article/FVG6HJUT0537PDT6.html
百家号,2021-01-04,"俗话说,肖战无疑是娱乐圈的头号流量,他有很多粉丝和黑粉丝,这导致了一件小事,可以在肖战中无限放大,我们都知道肖战回来的时间不长,黑人粉丝也不希望他回来,所...","人们很受欢迎,肖战因为他在片场的嘴挨骂,这算是黑点吗?",https://baijiahao.baidu.com/s?id=1687920887020728761&wfr=spider&for=pc
百家号,2021-01-03,"随着跨年演唱会的结束,肖战再次火了一把,当然这里所说的“火”指的是肖战得到了很多前辈的认可,另外大家对肖战的唱功也有了一个更加深刻的认识,真的很棒。近日...","知名导演爆料肖战,还讲了肖战立足不败之地的原因,很有道理",https://baijiahao.baidu.com/s?id=1687867306926516509&wfr=spider&for=pc
百家号,2021-01-02,"近日,肖战成功出席了东方卫视的跨年演唱会,一连带来多首歌曲,演出非常成功,也让更多的人看到了肖战的唱功,真的很棒!值得一提的是,在跨年演唱会上,肖战和那英...","肖战东方卫视跨年后续,那英直言还想合作,原因很有趣",https://baijiahao.baidu.com/s?id=1687774007013951026&wfr=spider&for=pc
百家号,2021-01-04,"肖战如今在娱乐圈中一直都保持着顶流的位置,可以说是一颦一笑都是热门话题。 从前不久的星光大赏上,肖战可以说是重新回到了大众的视线中。说实话,肖战真的很适...","肖战跨年晚会生图流出,“笑意盈盈”,我却注意到他的眼神变了!",https://baijiahao.baidu.com/s?id=1687922291709879006&wfr=spider&for=pc
百家号,2021-01-04,"有一句话叫做功夫不负有心人,只要尊重原著,用心去饰演、去打磨一个角色,在这个粗制乱造的时代定会制作出真正的良心好剧,而这正是一个好演员需要做的,肖战无...","肖战再获最佳男主角,鹅厂为他开启专属频道,网友:史无前例",https://baijiahao.baidu.com/s?id=1687899911956123755&wfr=spider&for=pc
百家号,2021-01-03,"要知道娱乐圈最炙手可热的偶像,一定非肖战莫属。不过2020年对于肖战来说是很曲折的一年。开年即巅峰,各大晚会活动都有他出席,不过人红是非多,肖战随后就陷入了...","肖战又有新代言,粉丝凌晨蹲守只为抢购,但是不少人却买错了",https://baijiahao.baidu.com/s?id=1687860535282328282&wfr=spider&for=pc
百家号,2021-01-02,"跨年刚刚过去,大家印象最深刻的应该就是肖战的“跨年舞台秀”,真的太精彩了!不由自主的会发出由衷的赞叹!同时也满足了“小飞侠们”的愿望,那就是如愿在跨年之夜...","肖战参加东方卫视跨年一片祥和?其实还有一个小插曲,黑粉太过分",https://baijiahao.baidu.com/s?id=1687756153842734628&wfr=spider&for=pc
百家号,2021-01-03,"这次番茄台给足了对方面子,肖战甚至直接被安排在了零点之前作为压轴出场,这真是给了肖战的粉丝们一个大惊喜,引得粉丝们连连尖叫。看到肖战作为压轴出场,作为肖战...","肖战压轴东方卫视跨年晚会,粉丝为他撑起排面,红海燃爆全场!",https://baijiahao.baidu.com/s?id=1687870212409362535&wfr=spider&for=pc
百家号,2021-01-03,"肖战符合“当红”和“顶流”的标准,但却拥有不一样的状态:长期“隐身”,偶尔“空降”。 最近,肖战的工作室却很反常,引来粉丝的感慨,直言:“这种幸福是真实存在...","肖战工作室很反常,粉丝在疑问中感慨,直言:是真实存在的吗",https://baijiahao.baidu.com/s?id=1687842346632671993&wfr=spider&for=pc
