source,public_time,content,topic,url
网易新闻,2021-01-04,"说起胡歌,大家都知道是因为出演仙剑奇侠传一被大家孰知。 而仙剑奇侠传一仿佛是为胡歌量身打造一般,如此契合,以至于演活了这一角色。 但是胡歌饰演李逍遥的成功却...",古装戏黑名单胡歌的逆袭之路。,http://dy.163.com/article/FVG9QFM305371ZK9.html
百家号,2021-01-04,"像胡歌这样出色的演员,应该没人不喜欢吧。自胡歌出道以来,有过许多精彩的影视作品,而且每一部都非常成功。在这些作品中,《仙剑奇侠传》、《神话》这些相信每个人都...","12年前演胡歌岳母,七年后演胡歌女友,网友:下次演胡歌女儿吗?",https://baijiahao.baidu.com/s?id=1687919234415145635&wfr=spider&for=pc
百家号,2021-01-04,"《如梦之梦》是赖声川的经典作品之一,目前一共出了两个版本,一个是2005年由汪明荃主演的香港版,另一个就是由许晴、胡歌等演员主演的2013年大陆版。《如梦之梦》...","肖战挑战话剧!出演《如梦之梦》向胡歌请教,另一位主演曾夸过他",https://baijiahao.baidu.com/s?id=1687920960859866211&wfr=spider&for=pc
百家号,2021-01-04,"曾经有网友说:刘诗诗和胡歌在一起吧! 之后刘诗诗就和吴奇隆结婚了。 关于两人为什么没有在一起,我觉得是这些原因: 之前有一个采访,《仙剑》剧组演员一起接受的一...",为什么刘诗诗和胡歌没能在一起呢,https://baijiahao.baidu.com/s?id=1687920724067956579&wfr=spider&for=pc
腾讯网,2021-01-02,"胡歌私下也是很低调的,从未传出过任何的绯闻,兢兢业业在娱乐圈中多年,可是这个也是很让人头疼的一点。 ''景天''和''白豆腐''被网友笑称为老干部,可如今''...","胡歌合影都是“礼貌微笑”,偏偏和他一起爱搞怪:这是真爱吗!",https://new.qq.com/omn/20210102/20210102A07P2900.html
腾讯网,2021-01-02,"熟悉胡歌的朋友都知道,他的成名作是05年上映的《仙剑奇侠传一》。 剧中他饰演的李逍遥一角,给观众们留下了深刻印象,此后在《仙剑奇侠传三》中,胡歌还担任主角...","玩仙剑玩成明星后,胡歌又沉迷新游戏,发微博找队友一下来了22万人",https://new.qq.com/omn/20210102/20210102A0B2GI00.html
网易新闻,2021-01-03,"《仙剑五》,可对于游戏和仙剑迷来说,他们并没有承认这部剧的存在,并不仅仅是因为“无胡歌不仙剑”这句话,更多的是因为《仙剑五》无论是剧情还是人设上,都无法...","5换编剧,《仙剑4》终将来袭,但看完剧情,胡歌不演是对的!",http://dy.163.com/article/FVE38G9J05444ZGY.html
百家号,2021-01-03,"《射雕英雄传》郭靖,可以说这是郭靖最帅的版本,我觉得金庸的武侠剧成了偶像剧,一开始,我们都看了胡歌,但是胡歌用演技征服了我们。 这应该是《神话》一小川中唯一...",经典的胡歌形象和古装的人神称号都不随意,https://baijiahao.baidu.com/s?id=1687875395362377849&wfr=spider&for=pc
百家号,2021-01-02,"胡歌就是这样一个低调的人,他演技很好,他整天不知道做什么,也没有时间拍电视剧,他很长时间没看新剧了,他说他很忙,没看过几部电影,当然,胡歌的生产必须是优秀...","白娼胡歌这么多年了,你想说什么,粉丝们:我还有机会见到胡嫂",https://baijiahao.baidu.com/s?id=1687777958606624054&wfr=spider&for=pc
百家号,2021-01-01,"2006年8月,胡歌在车祸中幸存,送到医院抢救醒来后,他没有感受到重生的喜悦,呆在病床上沉思了很久,因为就在前几个小时,他被告知自己的经纪人张冕经抢救无效死亡 ...","她用自己的生命换回了胡歌的生命,11年来胡歌用这样的方式报恩",https://baijiahao.baidu.com/s?id=1687662787521362068&wfr=spider&for=pc
