source,public_time,content,topic,sensitive_word,theme,id,up_num,retweet_num,comment_num,nickname,sex,province,following,followed,publish_place,publish_tool
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=1,2021-01-04 13:26,和煦6416631666:@胡歌 我在#明星势力榜#内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！明星势力榜第181位   ,明星势力榜,胡歌,明星势力榜,JBBQO4pJN,0,0,0,和煦6416631666,男,北京,445,456,无,荣耀9 美得有声有色
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=1,2021-01-04 13:26,不要熬夜了快去睡:我刚使用会员特权送给了@胡歌 5朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！胡歌已收到443128朵花  ,,胡歌,,JBBQI7BqW,0,0,0,不要熬夜了快去睡,女,海南,489,159,无,明星势力榜鲜花
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=1,2021-01-04 13:24,安然若梦看大剧:发布了头条文章：《两次机会从手中溜走，因得罪人苦等十年，后给胡歌当配角爆红》 两次机会从手中溜走，因得罪人苦等十年，后给胡歌当配角爆红  ,,胡歌,,JBBQ6ia00,0,0,0,安然若梦看大剧,女,福建,546,166703,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=2,2021-01-04 13:22,综艺CP社:#刘诗诗演技#胡歌刘诗诗同台访谈经典片段 相互调侃终身大事，两人都好逗！ 综艺CP社的微博视频  ,刘诗诗演技,胡歌,刘诗诗演技,JBBOQ120a,2,1,1,综艺CP社,男,天津,163,607235,无,综艺大咖秀超话
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=2,2021-01-04 13:20,风和日丽岁月如歌:我在2020#微博之夜#活动中，通过粉丝群互动为胡歌拉了10票！为Ta打榜，登顶#微博KING和QUEEN#，快来应援走起http://t.cn/A6qyVTch ！微博之夜  ,微博KING和QUEEN,胡歌,微博KING和QUEEN,JBBO2F1zB,0,0,0,风和日丽岁月如歌,男,湖南,188,279,无,微博群聊
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=2,2021-01-04 13:20,晚安-小-猪-:我为#胡歌[超话]#贡献42影响力，超话目前在明星超话No.81！还差2544影响力超越上一名！戳这里→http://t.cn/RrKBOdk 跟我一起助TA荣登超话封面吧~  ,胡歌[超话],胡歌,胡歌[超话],JBBO1s0oS,0,0,0,晚安-小-猪-,女,山东,788,345,无,超话
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=2,2021-01-04 13:19,娱乐星期九:#胡歌#“没有人把我认出来…我很高兴。” 只有胡椒粉才能感应到这句话的心境吧？ 娱乐星期九的微博视频  ,胡歌,胡歌,胡歌,JBBNMEk9P,0,0,0,娱乐星期九,男,河北,347,115326,无,微博云剪
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=2,2021-01-04 13:19,楠楠楠朋友2020:#胡歌# 还有小乌鸡歌歌今天可以翻我牌子吗@胡歌 南昌  显示地图 [组图共2张] 原图 ,胡歌,胡歌,胡歌,JBBNxBf36,1,0,1,楠楠楠朋友2020,女,江西,155,80,@胡歌,nova 5i Pro
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=2,2021-01-04 13:18,扒圈有鱼:由胡歌主演的仙侠剧《仙剑奇侠传》评分涨了一分，已达到了9分高分大作（评分人数达到19.3万）。本以为是仙侠剧开始，没想到是巅峰了。至此胡歌完成了两部9分以上高质量作品。另外一部是国剧经典《琅琊榜》，评分9.4分 （评分人数49.9万）。琅琊榜获奖无数，飘逸的正剧，飞天奖优秀电视剧，胡歌更是提名飞天优秀演员，获得白玉兰金鹰节双视帝，相信很多人看过无数次了，台词都得背出来了，经典永流传。 [组图共5张] 原图 ,,胡歌,,JBBNgdzi7,135,44,44,扒圈有鱼,男,陕西,773,2260506,无,nova5Pro人像超级夜景
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E8%83%A1%E6%AD%8C&advancedfilter=1&starttime=2020-12-05-05&endtime=2021-01-03-06&sort=time&page=2,2021-01-04 13:15,肯肯长智齿了:男神是胡歌偶像是赵丽颖老婆是刘亦菲和辣lisa老公是王一博最喜欢的是唐尼的钢铁侠梦中情人是寡姐  ,,胡歌,,JBBM9AR11,0,0,0,肯肯长智齿了,女,北京,84,69,无,荣耀V20 4800万3D相机
