source,public_time,content,topic,url
百家号,2021-01-02,喜迎2021元旦假日 亲朋好友相聚难免小酌几杯 但总有人心存侥幸酒后驾车 为坚决遏止酒后驾驶违法行为 交警持续不定点开展酒驾查处 蜀黍一直向大家“唠叨” 开车不喝酒...,"元旦假期,这份报告请查阅",https://baijiahao.baidu.com/s?id=1687790263636952669&wfr=spider&for=pc
百家号,2021-01-02,"欢迎你,2021年元旦 文/刘运喜(邵阳) 2020年的日历我翻到了最后一页 我突然明白我们已经走过了 给人类带来太多灾难的鼠年 我高兴我庆幸 经历大疫大灾后 我和我...",第21期同题诗:元旦抒怀,https://baijiahao.baidu.com/s?id=1687789435795730693&wfr=spider&for=pc
腾讯网,2021-01-02,"大家好,我是賨人客,很高兴分享文章给大家。今天咱们来聊一聊元旦节的由来。 首先,元旦节不是中国的四大传统节日,就像劳动、儿童、妇女节等,都是后来形成的,而我...","“元旦”在古代是春节,现在为何变成元旦节?",https://new.qq.com/omn/20210102/20210102A0CASI00.html
百家号,2021-01-02,"新华社发(吴拯 摄) ↑1月2日,小朋友在江苏省南通市科技馆的“神奇通道”体验游玩。新华社发(翟慧勇 摄) ↑1月2日,孩子们在南京科技馆通过“眩光通道”。",元旦假期缤纷多彩,https://baijiahao.baidu.com/s?id=1687777941246910905&wfr=spider&for=pc
百家号,2021-01-02,"刘国强说,今年元旦假期遇上大风降雪降温天气,西郊救援站提前维护保养所有消防器材,对消防通讯设备增加防护套,为消防车辆增加防护防滑链条,对车辆驾驶员进行培训。 除...","元旦,坚守中的他们,最美!",https://baijiahao.baidu.com/s?id=1687777274826866714&wfr=spider&for=pc
央视网,2021-01-02,"央视网消息(新闻联播):元旦假期,各地在做好常态化疫情防控的同时,举办丰富多彩的活动,人们在欢笑中乐享假期。 节日的夜晚流光溢彩。在西安灞河两岸,以迎接全运会为...",各地举办多彩活动欢庆元旦,http://news.cctv.com/2021/01/02/ARTIH02WLuPp69PbHw1Tyemg210102.shtml
百家号,2021-01-02,"元旦假日期间 科区公安民辅警 坚守在工作一线 让人民群众平安过节 告别2020,启航2021 科区公安将继续在岗位上 用奉献换群众安宁 用忠诚守万家团圆 用最热情的一面...",元旦在岗保平安,https://baijiahao.baidu.com/s?id=1687785099499545860&wfr=spider&for=pc
百家号,2021-01-02,"本文转自【人民网】;2021年1月1日是新年第一天,众多劳动者坚守岗位,在忙碌中度过元旦。2021年1月1日,河北省邢台市内丘县公安交通警察大队民警在路口指挥交通。新...",坚守岗位过元旦,https://baijiahao.baidu.com/s?id=1687746834033211348&wfr=spider&for=pc
澎湃新闻,2021-01-01,"多少国家和人类陷入困境却欲罢不能,但我们国家在世界之林中,最早有效地控制了疫情,使全国人民快速地回归正常的生活和工作,这就是2021年元旦新年来临时最值得自豪的...",又到元旦新年时,http://www.thepaper.cn/newsDetail_forward_10635925
腾讯网,2021-01-01,"“元旦”的“元”,指开始,是第一的意思;“旦”,上面的“日”代表太阳,下面的“一”代表地平线,“旦”即太阳从地平线上冉冉升起,象征一日的开始。人们把“...",【元旦快乐】你知道元旦的由来吗?,https://new.qq.com/omn/20210101/20210101A0DDL200.html
